rx_role,recv_ms,run_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,238068,R0,N01,6,31967,A,1,0.82,0.74,30.0,U,-25.0,9.25,True,,2026-06-22T18:40:09.794+00:00,/dev/cu.usbserial-576B0005451,"RX,238068,R0,N01,6,31967,A,1,0.82,0.74,30,U,-25,9.25"
RX,243141,R0,N01,7,37040,A,1,0.82,0.74,30.0,U,-25.0,9.5,True,,2026-06-22T18:40:14.867+00:00,/dev/cu.usbserial-576B0005451,"RX,243141,R0,N01,7,37040,A,1,0.82,0.74,30,U,-25,9.50"
RX,248214,R0,N01,8,42113,A,1,0.82,0.74,30.0,U,-24.0,9.5,True,,2026-06-22T18:40:19.940+00:00,/dev/cu.usbserial-576B0005451,"RX,248214,R0,N01,8,42113,A,1,0.82,0.74,30,U,-24,9.50"
RX,253287,R0,N01,9,47186,A,1,0.82,0.74,30.0,U,-25.0,9.75,True,,2026-06-22T18:40:25.014+00:00,/dev/cu.usbserial-576B0005451,"RX,253287,R0,N01,9,47186,A,1,0.82,0.74,30,U,-25,9.75"
RX,258360,R0,N01,10,52259,A,1,0.82,0.74,30.0,U,-24.0,9.5,True,,2026-06-22T18:40:30.087+00:00,/dev/cu.usbserial-576B0005451,"RX,258360,R0,N01,10,52259,A,1,0.82,0.74,30,U,-24,9.50"
RX,263434,R0,N01,11,57332,A,1,0.82,0.74,30.0,U,-25.0,12.0,True,,2026-06-22T18:40:35.160+00:00,/dev/cu.usbserial-576B0005451,"RX,263434,R0,N01,11,57332,A,1,0.82,0.74,30,U,-25,12.00"
RX,268507,R0,N01,12,62405,A,1,0.82,0.74,30.0,U,-24.0,9.5,True,,2026-06-22T18:40:40.233+00:00,/dev/cu.usbserial-576B0005451,"RX,268507,R0,N01,12,62405,A,1,0.82,0.74,30,U,-24,9.50"
RX,273580,R0,N01,13,67478,A,1,0.82,0.74,30.0,U,-24.0,9.5,True,,2026-06-22T18:40:45.306+00:00,/dev/cu.usbserial-576B0005451,"RX,273580,R0,N01,13,67478,A,1,0.82,0.74,30,U,-24,9.50"
RX,278653,R0,N01,14,72551,A,1,0.82,0.74,30.0,U,-25.0,9.5,True,,2026-06-22T18:40:50.379+00:00,/dev/cu.usbserial-576B0005451,"RX,278653,R0,N01,14,72551,A,1,0.82,0.74,30,U,-25,9.50"
RX,283726,R0,N01,15,77624,A,1,0.82,0.74,30.0,U,-25.0,10.0,True,,2026-06-22T18:40:55.452+00:00,/dev/cu.usbserial-576B0005451,"RX,283726,R0,N01,15,77624,A,1,0.82,0.74,30,U,-25,10.00"
RX,288799,R0,N01,16,82697,A,1,0.82,0.74,30.0,U,-24.0,9.75,True,,2026-06-22T18:41:00.525+00:00,/dev/cu.usbserial-576B0005451,"RX,288799,R0,N01,16,82697,A,1,0.82,0.74,30,U,-24,9.75"
RX,293872,R0,N01,17,87770,A,1,0.82,0.74,30.0,U,-24.0,9.5,True,,2026-06-22T18:41:05.598+00:00,/dev/cu.usbserial-576B0005451,"RX,293872,R0,N01,17,87770,A,1,0.82,0.74,30,U,-24,9.50"
RX,298945,R0,N01,18,92843,A,1,0.82,0.74,30.0,U,-24.0,9.75,True,,2026-06-22T18:41:10.671+00:00,/dev/cu.usbserial-576B0005451,"RX,298945,R0,N01,18,92843,A,1,0.82,0.74,30,U,-24,9.75"
RX,304018,R0,N01,19,97916,A,1,0.82,0.74,30.0,U,-24.0,9.75,True,,2026-06-22T18:41:15.744+00:00,/dev/cu.usbserial-576B0005451,"RX,304018,R0,N01,19,97916,A,1,0.82,0.74,30,U,-24,9.75"
RX,304402,R0,N16,0,1545,B,1,0.91,0.8,30.0,U,-59.0,9.75,True,,2026-06-22T18:41:16.128+00:00,/dev/cu.usbserial-576B0005451,"RX,304402,R0,N16,0,1545,B,1,0.91,0.80,30,U,-59,9.75"
RX,309091,R0,N01,20,102989,A,1,0.82,0.74,30.0,U,-24.0,9.5,True,,2026-06-22T18:41:20.817+00:00,/dev/cu.usbserial-576B0005451,"RX,309091,R0,N01,20,102989,A,1,0.82,0.74,30,U,-24,9.50"
RX,309474,R0,N16,1,6617,B,1,0.91,0.8,30.0,U,-56.0,9.75,True,,2026-06-22T18:41:21.200+00:00,/dev/cu.usbserial-576B0005451,"RX,309474,R0,N16,1,6617,B,1,0.91,0.80,30,U,-56,9.75"
RX,314164,R0,N01,21,108062,A,1,0.82,0.74,30.0,U,-24.0,9.25,True,,2026-06-22T18:41:25.890+00:00,/dev/cu.usbserial-576B0005451,"RX,314164,R0,N01,21,108062,A,1,0.82,0.74,30,U,-24,9.25"
RX,314547,R0,N16,2,11690,B,1,0.91,0.8,30.0,U,-54.0,9.25,True,,2026-06-22T18:41:26.274+00:00,/dev/cu.usbserial-576B0005451,"RX,314547,R0,N16,2,11690,B,1,0.91,0.80,30,U,-54,9.25"
RX,319237,R0,N01,22,113135,A,1,0.82,0.74,30.0,U,-24.0,9.25,True,,2026-06-22T18:41:30.963+00:00,/dev/cu.usbserial-576B0005451,"RX,319237,R0,N01,22,113135,A,1,0.82,0.74,30,U,-24,9.25"
RX,319620,R0,N16,3,16763,B,1,0.91,0.8,30.0,U,-55.0,9.25,True,,2026-06-22T18:41:31.346+00:00,/dev/cu.usbserial-576B0005451,"RX,319620,R0,N16,3,16763,B,1,0.91,0.80,30,U,-55,9.25"
RX,324310,R0,N01,23,118208,A,1,0.82,0.74,30.0,U,-24.0,9.5,True,,2026-06-22T18:41:36.036+00:00,/dev/cu.usbserial-576B0005451,"RX,324310,R0,N01,23,118208,A,1,0.82,0.74,30,U,-24,9.50"
RX,324693,R0,N16,4,21836,B,1,0.91,0.8,30.0,U,-55.0,9.0,True,,2026-06-22T18:41:36.420+00:00,/dev/cu.usbserial-576B0005451,"RX,324693,R0,N16,4,21836,B,1,0.91,0.80,30,U,-55,9.00"
RX,329383,R0,N01,24,123281,A,1,0.82,0.74,30.0,U,-24.0,9.5,True,,2026-06-22T18:41:41.110+00:00,/dev/cu.usbserial-576B0005451,"RX,329383,R0,N01,24,123281,A,1,0.82,0.74,30,U,-24,9.50"
RX,329766,R0,N16,5,26909,B,1,0.91,0.8,30.0,U,-54.0,9.25,True,,2026-06-22T18:41:41.492+00:00,/dev/cu.usbserial-576B0005451,"RX,329766,R0,N16,5,26909,B,1,0.91,0.80,30,U,-54,9.25"
