rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,1685219,R4,TXB,N16,42,215020,B,1,0.91,0.8,30.0,U,-49.0,10.0,True,,2026-06-22T21:42:06.488+00:00,/dev/cu.usbserial-576B0005451,"RX,1685219,R4,TXB,N16,42,215020,B,1,0.91,0.80,30,U,-49,10.00"
RX,1688093,R4,TXA,N01,56,286167,A,1,0.82,0.74,30.0,U,-54.0,9.75,True,,2026-06-22T21:42:09.363+00:00,/dev/cu.usbserial-576B0005451,"RX,1688093,R4,TXA,N01,56,286167,A,1,0.82,0.74,30,U,-54,9.75"
RX,1690302,R4,TXB,N16,43,220103,B,1,0.91,0.8,30.0,U,-52.0,11.25,True,,2026-06-22T21:42:11.571+00:00,/dev/cu.usbserial-576B0005451,"RX,1690302,R4,TXB,N16,43,220103,B,1,0.91,0.80,30,U,-52,11.25"
RX,1693176,R4,TXA,N01,57,291250,A,1,0.82,0.74,30.0,U,-55.0,9.25,True,,2026-06-22T21:42:14.446+00:00,/dev/cu.usbserial-576B0005451,"RX,1693176,R4,TXA,N01,57,291250,A,1,0.82,0.74,30,U,-55,9.25"
RX,1695385,R4,TXB,N16,44,225186,B,1,0.91,0.8,30.0,U,-50.0,9.5,True,,2026-06-22T21:42:16.654+00:00,/dev/cu.usbserial-576B0005451,"RX,1695385,R4,TXB,N16,44,225186,B,1,0.91,0.80,30,U,-50,9.50"
RX,1698259,R4,TXA,N01,58,296333,A,1,0.82,0.74,30.0,U,-57.0,9.5,True,,2026-06-22T21:42:19.529+00:00,/dev/cu.usbserial-576B0005451,"RX,1698259,R4,TXA,N01,58,296333,A,1,0.82,0.74,30,U,-57,9.50"
RX,1700468,R4,TXB,N16,45,230269,B,1,0.91,0.8,30.0,U,-50.0,9.75,True,,2026-06-22T21:42:21.737+00:00,/dev/cu.usbserial-576B0005451,"RX,1700468,R4,TXB,N16,45,230269,B,1,0.91,0.80,30,U,-50,9.75"
RX,1703342,R4,TXA,N01,59,301416,A,1,0.82,0.74,30.0,U,-55.0,9.25,True,,2026-06-22T21:42:24.612+00:00,/dev/cu.usbserial-576B0005451,"RX,1703342,R4,TXA,N01,59,301416,A,1,0.82,0.74,30,U,-55,9.25"
RX,1705551,R4,TXB,N16,46,235352,B,1,0.91,0.8,30.0,U,-50.0,9.75,True,,2026-06-22T21:42:26.821+00:00,/dev/cu.usbserial-576B0005451,"RX,1705551,R4,TXB,N16,46,235352,B,1,0.91,0.80,30,U,-50,9.75"
RX,1708425,R4,TXA,N01,60,306499,A,1,0.82,0.74,30.0,U,-54.0,9.75,True,,2026-06-22T21:42:29.695+00:00,/dev/cu.usbserial-576B0005451,"RX,1708425,R4,TXA,N01,60,306499,A,1,0.82,0.74,30,U,-54,9.75"
RX,1710634,R4,TXB,N16,47,240435,B,1,0.91,0.8,30.0,U,-51.0,9.5,True,,2026-06-22T21:42:31.904+00:00,/dev/cu.usbserial-576B0005451,"RX,1710634,R4,TXB,N16,47,240435,B,1,0.91,0.80,30,U,-51,9.50"
RX,1713508,R4,TXA,N01,61,311582,A,1,0.82,0.74,30.0,U,-56.0,9.5,True,,2026-06-22T21:42:34.778+00:00,/dev/cu.usbserial-576B0005451,"RX,1713508,R4,TXA,N01,61,311582,A,1,0.82,0.74,30,U,-56,9.50"
RX,1715717,R4,TXB,N16,48,245518,B,1,0.91,0.8,30.0,U,-50.0,9.5,True,,2026-06-22T21:42:36.987+00:00,/dev/cu.usbserial-576B0005451,"RX,1715717,R4,TXB,N16,48,245518,B,1,0.91,0.80,30,U,-50,9.50"
RX,1718591,R4,TXA,N01,62,316665,A,1,0.82,0.74,30.0,U,-54.0,9.5,True,,2026-06-22T21:42:39.861+00:00,/dev/cu.usbserial-576B0005451,"RX,1718591,R4,TXA,N01,62,316665,A,1,0.82,0.74,30,U,-54,9.50"
