rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,584192,R5,TXA,N01,67,342080,A,1,0.3,0.25,30.0,R,-51.0,10.0,True,,2026-06-23T16:57:26.928+00:00,/dev/cu.usbserial-576B0005451,"RX,584192,R5,TXA,N01,67,342080,A,1,0.30,0.25,30,R,-51,10.00"
RX,587341,R5,TXB,N16,54,276016,B,1,0.9,0.8,30.0,U,-52.0,9.75,True,,2026-06-23T16:57:30.077+00:00,/dev/cu.usbserial-576B0005451,"RX,587341,R5,TXB,N16,54,276016,B,1,0.90,0.80,30,U,-52,9.75"
RX,589275,R5,TXA,N01,68,347163,A,1,0.3,0.25,30.0,R,-50.0,9.75,True,,2026-06-23T16:57:32.011+00:00,/dev/cu.usbserial-576B0005451,"RX,589275,R5,TXA,N01,68,347163,A,1,0.30,0.25,30,R,-50,9.75"
RX,592425,R5,TXB,N16,55,281099,B,1,0.9,0.8,30.0,U,-52.0,9.75,True,,2026-06-23T16:57:35.160+00:00,/dev/cu.usbserial-576B0005451,"RX,592425,R5,TXB,N16,55,281099,B,1,0.90,0.80,30,U,-52,9.75"
RX,594358,R5,TXA,N01,69,352246,A,1,0.3,0.25,30.0,R,-51.0,9.5,True,,2026-06-23T16:57:37.093+00:00,/dev/cu.usbserial-576B0005451,"RX,594358,R5,TXA,N01,69,352246,A,1,0.30,0.25,30,R,-51,9.50"
RX,597508,R5,TXB,N16,56,286182,B,1,0.9,0.8,30.0,U,-52.0,10.0,True,,2026-06-23T16:57:40.244+00:00,/dev/cu.usbserial-576B0005451,"RX,597508,R5,TXB,N16,56,286182,B,1,0.90,0.80,30,U,-52,10.00"
RX,599441,R5,TXA,N01,70,357329,A,1,0.3,0.25,30.0,R,-47.0,9.5,True,,2026-06-23T16:57:42.177+00:00,/dev/cu.usbserial-576B0005451,"RX,599441,R5,TXA,N01,70,357329,A,1,0.30,0.25,30,R,-47,9.50"
RX,602591,R5,TXB,N16,57,291265,B,1,0.9,0.8,30.0,U,-50.0,9.5,True,,2026-06-23T16:57:45.326+00:00,/dev/cu.usbserial-576B0005451,"RX,602591,R5,TXB,N16,57,291265,B,1,0.90,0.80,30,U,-50,9.50"
RX,604524,R5,TXA,N01,71,362412,A,1,0.3,0.25,30.0,R,-46.0,9.75,True,,2026-06-23T16:57:47.260+00:00,/dev/cu.usbserial-576B0005451,"RX,604524,R5,TXA,N01,71,362412,A,1,0.30,0.25,30,R,-46,9.75"
RX,607674,R5,TXB,N16,58,296348,B,1,0.9,0.8,30.0,U,-50.0,9.75,True,,2026-06-23T16:57:50.409+00:00,/dev/cu.usbserial-576B0005451,"RX,607674,R5,TXB,N16,58,296348,B,1,0.90,0.80,30,U,-50,9.75"
RX,609607,R5,TXA,N01,72,367495,A,1,0.3,0.25,30.0,R,-45.0,9.75,True,,2026-06-23T16:57:52.343+00:00,/dev/cu.usbserial-576B0005451,"RX,609607,R5,TXA,N01,72,367495,A,1,0.30,0.25,30,R,-45,9.75"
RX,612757,R5,TXB,N16,59,301431,B,1,0.9,0.8,30.0,U,-51.0,9.75,True,,2026-06-23T16:57:55.492+00:00,/dev/cu.usbserial-576B0005451,"RX,612757,R5,TXB,N16,59,301431,B,1,0.90,0.80,30,U,-51,9.75"
RX,614690,R5,TXA,N01,73,372578,A,1,0.3,0.25,30.0,R,-46.0,9.5,True,,2026-06-23T16:57:57.426+00:00,/dev/cu.usbserial-576B0005451,"RX,614690,R5,TXA,N01,73,372578,A,1,0.30,0.25,30,R,-46,9.50"
RX,617840,R5,TXB,N16,60,306514,B,1,0.9,0.8,30.0,U,-51.0,9.5,True,,2026-06-23T16:58:00.575+00:00,/dev/cu.usbserial-576B0005451,"RX,617840,R5,TXB,N16,60,306514,B,1,0.90,0.80,30,U,-51,9.50"
RX,619773,R5,TXA,N01,74,377661,A,1,0.3,0.25,30.0,R,-46.0,10.0,True,,2026-06-23T16:58:02.509+00:00,/dev/cu.usbserial-576B0005451,"RX,619773,R5,TXA,N01,74,377661,A,1,0.30,0.25,30,R,-46,10.00"
RX,622923,R5,TXB,N16,61,311597,B,1,0.9,0.8,30.0,U,-51.0,10.0,True,,2026-06-23T16:58:05.659+00:00,/dev/cu.usbserial-576B0005451,"RX,622923,R5,TXB,N16,61,311597,B,1,0.90,0.80,30,U,-51,10.00"
RX,624856,R5,TXA,N01,75,382744,A,1,0.3,0.25,30.0,R,-45.0,9.5,True,,2026-06-23T16:58:07.592+00:00,/dev/cu.usbserial-576B0005451,"RX,624856,R5,TXA,N01,75,382744,A,1,0.30,0.25,30,R,-45,9.50"
