rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,1709875,R7,TXA,N01,44,49141,A,1,0.3,0.25,30.0,R,-51.0,10.0,True,,2026-06-23T17:16:12.603+00:00,/dev/cu.usbserial-576B0005451,"RX,1709875,R7,TXA,N01,44,49141,A,1,0.30,0.25,30,R,-51,10.00"
RX,1710865,R7,TXB,N16,35,39409,B,1,0.9,0.8,30.0,U,-53.0,9.5,True,,2026-06-23T17:16:13.594+00:00,/dev/cu.usbserial-576B0005451,"RX,1710865,R7,TXB,N16,35,39409,B,1,0.90,0.80,30,U,-53,9.50"
RX,1710958,R7,TXA,N01,45,50224,A,1,0.3,0.25,30.0,R,-52.0,9.75,True,,2026-06-23T17:16:13.686+00:00,/dev/cu.usbserial-576B0005451,"RX,1710958,R7,TXA,N01,45,50224,A,1,0.30,0.25,30,R,-52,9.75"
RX,1711948,R7,TXB,N16,36,40492,B,1,0.9,0.8,30.0,U,-53.0,10.0,True,,2026-06-23T17:16:14.677+00:00,/dev/cu.usbserial-576B0005451,"RX,1711948,R7,TXB,N16,36,40492,B,1,0.90,0.80,30,U,-53,10.00"
RX,1712041,R7,TXA,N01,46,51307,A,1,0.3,0.25,30.0,R,-50.0,9.5,True,,2026-06-23T17:16:14.769+00:00,/dev/cu.usbserial-576B0005451,"RX,1712041,R7,TXA,N01,46,51307,A,1,0.30,0.25,30,R,-50,9.50"
RX,1713031,R7,TXB,N16,37,41575,B,1,0.9,0.8,30.0,U,-52.0,9.75,True,,2026-06-23T17:16:15.760+00:00,/dev/cu.usbserial-576B0005451,"RX,1713031,R7,TXB,N16,37,41575,B,1,0.90,0.80,30,U,-52,9.75"
RX,1713124,R7,TXA,N01,47,52390,A,1,0.3,0.25,30.0,R,-50.0,9.5,True,,2026-06-23T17:16:15.852+00:00,/dev/cu.usbserial-576B0005451,"RX,1713124,R7,TXA,N01,47,52390,A,1,0.30,0.25,30,R,-50,9.50"
RX,1714114,R7,TXB,N16,38,42658,B,1,0.9,0.8,30.0,U,-52.0,9.5,True,,2026-06-23T17:16:16.843+00:00,/dev/cu.usbserial-576B0005451,"RX,1714114,R7,TXB,N16,38,42658,B,1,0.90,0.80,30,U,-52,9.50"
RX,1714207,R7,TXA,N01,48,53473,A,1,0.3,0.25,30.0,R,-51.0,10.0,True,,2026-06-23T17:16:16.935+00:00,/dev/cu.usbserial-576B0005451,"RX,1714207,R7,TXA,N01,48,53473,A,1,0.30,0.25,30,R,-51,10.00"
RX,1715197,R7,TXB,N16,39,43741,B,1,0.9,0.8,30.0,U,-51.0,9.75,True,,2026-06-23T17:16:17.926+00:00,/dev/cu.usbserial-576B0005451,"RX,1715197,R7,TXB,N16,39,43741,B,1,0.90,0.80,30,U,-51,9.75"
RX,1715290,R7,TXA,N01,49,54556,A,1,0.3,0.25,30.0,R,-50.0,10.0,True,,2026-06-23T17:16:18.018+00:00,/dev/cu.usbserial-576B0005451,"RX,1715290,R7,TXA,N01,49,54556,A,1,0.30,0.25,30,R,-50,10.00"
RX,1716280,R7,TXB,N16,40,44824,B,1,0.9,0.8,30.0,U,-52.0,10.0,True,,2026-06-23T17:16:19.009+00:00,/dev/cu.usbserial-576B0005451,"RX,1716280,R7,TXB,N16,40,44824,B,1,0.90,0.80,30,U,-52,10.00"
RX,1716373,R7,TXA,N01,50,55639,A,1,0.3,0.25,30.0,R,-50.0,9.75,True,,2026-06-23T17:16:19.101+00:00,/dev/cu.usbserial-576B0005451,"RX,1716373,R7,TXA,N01,50,55639,A,1,0.30,0.25,30,R,-50,9.75"
RX,1717363,R7,TXB,N16,41,45907,B,1,0.9,0.8,30.0,U,-52.0,9.75,True,,2026-06-23T17:16:20.092+00:00,/dev/cu.usbserial-576B0005451,"RX,1717363,R7,TXB,N16,41,45907,B,1,0.90,0.80,30,U,-52,9.75"
RX,1717456,R7,TXA,N01,51,56722,A,1,0.3,0.25,30.0,R,-50.0,9.75,True,,2026-06-23T17:16:20.184+00:00,/dev/cu.usbserial-576B0005451,"RX,1717456,R7,TXA,N01,51,56722,A,1,0.30,0.25,30,R,-50,9.75"
RX,1718446,R7,TXB,N16,42,46990,B,1,0.9,0.8,30.0,U,-52.0,9.75,True,,2026-06-23T17:16:21.175+00:00,/dev/cu.usbserial-576B0005451,"RX,1718446,R7,TXB,N16,42,46990,B,1,0.90,0.80,30,U,-52,9.75"
RX,1718539,R7,TXA,N01,52,57805,A,1,0.3,0.25,30.0,R,-54.0,9.75,True,,2026-06-23T17:16:21.267+00:00,/dev/cu.usbserial-576B0005451,"RX,1718539,R7,TXA,N01,52,57805,A,1,0.30,0.25,30,R,-54,9.75"
RX,1719529,R7,TXB,N16,43,48073,B,1,0.9,0.8,30.0,U,-51.0,9.25,True,,2026-06-23T17:16:22.258+00:00,/dev/cu.usbserial-576B0005451,"RX,1719529,R7,TXB,N16,43,48073,B,1,0.90,0.80,30,U,-51,9.25"
RX,1719622,R7,TXA,N01,53,58888,A,1,0.3,0.25,30.0,R,-52.0,10.0,True,,2026-06-23T17:16:22.350+00:00,/dev/cu.usbserial-576B0005451,"RX,1719622,R7,TXA,N01,53,58888,A,1,0.30,0.25,30,R,-52,10.00"
RX,1720612,R7,TXB,N16,44,49156,B,1,0.9,0.8,30.0,U,-55.0,10.0,True,,2026-06-23T17:16:23.341+00:00,/dev/cu.usbserial-576B0005451,"RX,1720612,R7,TXB,N16,44,49156,B,1,0.90,0.80,30,U,-55,10.00"
