rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,2152200,R8,TXB,N16,29,32911,B,1,0.9,0.8,30.0,U,-57.0,9.5,True,,2026-06-23T17:23:34.929+00:00,/dev/cu.usbserial-576B0005451,"RX,2152200,R8,TXB,N16,29,32911,B,1,0.90,0.80,30,U,-57,9.50"
RX,2152437,R8,TXA,N01,37,41560,A,1,0.3,0.25,30.0,R,-44.0,9.5,True,,2026-06-23T17:23:35.165+00:00,/dev/cu.usbserial-576B0005451,"RX,2152437,R8,TXA,N01,37,41560,A,1,0.30,0.25,30,R,-44,9.50"
RX,2153283,R8,TXB,N16,30,33994,B,1,0.9,0.8,30.0,U,-71.0,9.5,True,,2026-06-23T17:23:36.011+00:00,/dev/cu.usbserial-576B0005451,"RX,2153283,R8,TXB,N16,30,33994,B,1,0.90,0.80,30,U,-71,9.50"
RX,2153520,R8,TXA,N01,38,42643,A,1,0.3,0.25,30.0,R,-47.0,9.5,True,,2026-06-23T17:23:36.248+00:00,/dev/cu.usbserial-576B0005451,"RX,2153520,R8,TXA,N01,38,42643,A,1,0.30,0.25,30,R,-47,9.50"
RX,2154367,R8,TXB,N16,31,35077,B,1,0.9,0.8,30.0,U,-66.0,10.25,True,,2026-06-23T17:23:37.095+00:00,/dev/cu.usbserial-576B0005451,"RX,2154367,R8,TXB,N16,31,35077,B,1,0.90,0.80,30,U,-66,10.25"
RX,2154603,R8,TXA,N01,39,43726,A,1,0.3,0.25,30.0,R,-44.0,10.25,True,,2026-06-23T17:23:37.332+00:00,/dev/cu.usbserial-576B0005451,"RX,2154603,R8,TXA,N01,39,43726,A,1,0.30,0.25,30,R,-44,10.25"
RX,2155449,R8,TXB,N16,32,36160,B,1,0.9,0.8,30.0,U,-64.0,9.0,True,,2026-06-23T17:23:38.177+00:00,/dev/cu.usbserial-576B0005451,"RX,2155449,R8,TXB,N16,32,36160,B,1,0.90,0.80,30,U,-64,9.00"
RX,2155686,R8,TXA,N01,40,44809,A,1,0.3,0.25,30.0,R,-45.0,9.75,True,,2026-06-23T17:23:38.415+00:00,/dev/cu.usbserial-576B0005451,"RX,2155686,R8,TXA,N01,40,44809,A,1,0.30,0.25,30,R,-45,9.75"
RX,2156533,R8,TXB,N16,33,37243,B,1,0.9,0.8,30.0,U,-70.0,9.5,True,,2026-06-23T17:23:39.261+00:00,/dev/cu.usbserial-576B0005451,"RX,2156533,R8,TXB,N16,33,37243,B,1,0.90,0.80,30,U,-70,9.50"
RX,2156769,R8,TXA,N01,41,45892,A,1,0.3,0.25,30.0,R,-45.0,9.5,True,,2026-06-23T17:23:39.498+00:00,/dev/cu.usbserial-576B0005451,"RX,2156769,R8,TXA,N01,41,45892,A,1,0.30,0.25,30,R,-45,9.50"
RX,2157616,R8,TXB,N16,34,38326,B,1,0.9,0.8,30.0,U,-73.0,9.5,True,,2026-06-23T17:23:40.343+00:00,/dev/cu.usbserial-576B0005451,"RX,2157616,R8,TXB,N16,34,38326,B,1,0.90,0.80,30,U,-73,9.50"
RX,2157852,R8,TXA,N01,42,46975,A,1,0.3,0.25,30.0,R,-44.0,9.5,True,,2026-06-23T17:23:40.581+00:00,/dev/cu.usbserial-576B0005451,"RX,2157852,R8,TXA,N01,42,46975,A,1,0.30,0.25,30,R,-44,9.50"
RX,2158698,R8,TXB,N16,35,39409,B,1,0.9,0.8,30.0,U,-78.0,10.0,True,,2026-06-23T17:23:41.427+00:00,/dev/cu.usbserial-576B0005451,"RX,2158698,R8,TXB,N16,35,39409,B,1,0.90,0.80,30,U,-78,10.00"
RX,2158935,R8,TXA,N01,43,48058,A,1,0.3,0.25,30.0,R,-45.0,9.25,True,,2026-06-23T17:23:41.664+00:00,/dev/cu.usbserial-576B0005451,"RX,2158935,R8,TXA,N01,43,48058,A,1,0.30,0.25,30,R,-45,9.25"
RX,2159782,R8,TXB,N16,36,40492,B,1,0.9,0.8,30.0,U,-60.0,9.5,True,,2026-06-23T17:23:42.510+00:00,/dev/cu.usbserial-576B0005451,"RX,2159782,R8,TXB,N16,36,40492,B,1,0.90,0.80,30,U,-60,9.50"
RX,2160018,R8,TXA,N01,44,49141,A,1,0.3,0.25,30.0,R,-44.0,9.25,True,,2026-06-23T17:23:42.746+00:00,/dev/cu.usbserial-576B0005451,"RX,2160018,R8,TXA,N01,44,49141,A,1,0.30,0.25,30,R,-44,9.25"
RX,2160865,R8,TXB,N16,37,41575,B,1,0.9,0.8,30.0,U,-55.0,9.75,True,,2026-06-23T17:23:43.593+00:00,/dev/cu.usbserial-576B0005451,"RX,2160865,R8,TXB,N16,37,41575,B,1,0.90,0.80,30,U,-55,9.75"
RX,2161101,R8,TXA,N01,45,50224,A,1,0.3,0.25,30.0,R,-43.0,9.0,True,,2026-06-23T17:23:43.830+00:00,/dev/cu.usbserial-576B0005451,"RX,2161101,R8,TXA,N01,45,50224,A,1,0.30,0.25,30,R,-43,9.00"
RX,2161948,R8,TXB,N16,38,42658,B,1,0.9,0.8,30.0,U,-52.0,10.0,True,,2026-06-23T17:23:44.676+00:00,/dev/cu.usbserial-576B0005451,"RX,2161948,R8,TXB,N16,38,42658,B,1,0.90,0.80,30,U,-52,10.00"
RX,2162184,R8,TXA,N01,46,51307,A,1,0.3,0.25,30.0,R,-41.0,9.5,True,,2026-06-23T17:23:44.912+00:00,/dev/cu.usbserial-576B0005451,"RX,2162184,R8,TXA,N01,46,51307,A,1,0.30,0.25,30,R,-41,9.50"
RX,2163031,R8,TXB,N16,39,43741,B,1,0.9,0.8,30.0,U,-51.0,9.75,True,,2026-06-23T17:23:45.758+00:00,/dev/cu.usbserial-576B0005451,"RX,2163031,R8,TXB,N16,39,43741,B,1,0.90,0.80,30,U,-51,9.75"
RX,2163267,R8,TXA,N01,47,52390,A,1,0.3,0.25,30.0,R,-43.0,10.25,True,,2026-06-23T17:23:45.995+00:00,/dev/cu.usbserial-576B0005451,"RX,2163267,R8,TXA,N01,47,52390,A,1,0.30,0.25,30,R,-43,10.25"
RX,2164113,R8,TXB,N16,40,44824,B,1,0.9,0.8,30.0,U,-50.0,9.5,True,,2026-06-23T17:23:46.842+00:00,/dev/cu.usbserial-576B0005451,"RX,2164113,R8,TXB,N16,40,44824,B,1,0.90,0.80,30,U,-50,9.50"
RX,2164350,R8,TXA,N01,48,53473,A,1,0.3,0.25,30.0,R,-43.0,9.5,True,,2026-06-23T17:23:47.078+00:00,/dev/cu.usbserial-576B0005451,"RX,2164350,R8,TXA,N01,48,53473,A,1,0.30,0.25,30,R,-43,9.50"
RX,2165197,R8,TXB,N16,41,45907,B,1,0.9,0.8,30.0,U,-50.0,10.0,True,,2026-06-23T17:23:47.925+00:00,/dev/cu.usbserial-576B0005451,"RX,2165197,R8,TXB,N16,41,45907,B,1,0.90,0.80,30,U,-50,10.00"
RX,2165433,R8,TXA,N01,49,54556,A,1,0.3,0.25,30.0,R,-42.0,9.5,True,,2026-06-23T17:23:48.162+00:00,/dev/cu.usbserial-576B0005451,"RX,2165433,R8,TXA,N01,49,54556,A,1,0.30,0.25,30,R,-42,9.50"
RX,2166279,R8,TXB,N16,42,46990,B,1,0.9,0.8,30.0,U,-50.0,9.75,True,,2026-06-23T17:23:49.007+00:00,/dev/cu.usbserial-576B0005451,"RX,2166279,R8,TXB,N16,42,46990,B,1,0.90,0.80,30,U,-50,9.75"
RX,2166516,R8,TXA,N01,50,55639,A,1,0.3,0.25,30.0,R,-43.0,9.0,True,,2026-06-23T17:23:49.244+00:00,/dev/cu.usbserial-576B0005451,"RX,2166516,R8,TXA,N01,50,55639,A,1,0.30,0.25,30,R,-43,9.00"
RX,2167363,R8,TXB,N16,43,48073,B,1,0.9,0.8,30.0,U,-51.0,9.75,True,,2026-06-23T17:23:50.091+00:00,/dev/cu.usbserial-576B0005451,"RX,2167363,R8,TXB,N16,43,48073,B,1,0.90,0.80,30,U,-51,9.75"
RX,2167599,R8,TXA,N01,51,56722,A,1,0.3,0.25,30.0,R,-42.0,9.75,True,,2026-06-23T17:23:50.328+00:00,/dev/cu.usbserial-576B0005451,"RX,2167599,R8,TXA,N01,51,56722,A,1,0.30,0.25,30,R,-42,9.75"
RX,2168446,R8,TXB,N16,44,49156,B,1,0.9,0.8,30.0,U,-50.0,10.25,True,,2026-06-23T17:23:51.174+00:00,/dev/cu.usbserial-576B0005451,"RX,2168446,R8,TXB,N16,44,49156,B,1,0.90,0.80,30,U,-50,10.25"
RX,2168682,R8,TXA,N01,52,57805,A,1,0.3,0.25,30.0,R,-43.0,9.5,True,,2026-06-23T17:23:51.411+00:00,/dev/cu.usbserial-576B0005451,"RX,2168682,R8,TXA,N01,52,57805,A,1,0.30,0.25,30,R,-43,9.50"
RX,2169529,R8,TXB,N16,45,50239,B,1,0.9,0.8,30.0,U,-50.0,9.5,True,,2026-06-23T17:23:52.257+00:00,/dev/cu.usbserial-576B0005451,"RX,2169529,R8,TXB,N16,45,50239,B,1,0.90,0.80,30,U,-50,9.50"
RX,2169765,R8,TXA,N01,53,58888,A,1,0.3,0.25,30.0,R,-43.0,9.25,True,,2026-06-23T17:23:52.493+00:00,/dev/cu.usbserial-576B0005451,"RX,2169765,R8,TXA,N01,53,58888,A,1,0.30,0.25,30,R,-43,9.25"
RX,2170612,R8,TXB,N16,46,51322,B,1,0.9,0.8,30.0,U,-50.0,9.5,True,,2026-06-23T17:23:53.340+00:00,/dev/cu.usbserial-576B0005451,"RX,2170612,R8,TXB,N16,46,51322,B,1,0.90,0.80,30,U,-50,9.50"
RX,2170848,R8,TXA,N01,54,59971,A,1,0.3,0.25,30.0,R,-43.0,9.0,True,,2026-06-23T17:23:53.576+00:00,/dev/cu.usbserial-576B0005451,"RX,2170848,R8,TXA,N01,54,59971,A,1,0.30,0.25,30,R,-43,9.00"
RX,2171695,R8,TXB,N16,47,52405,B,1,0.9,0.8,30.0,U,-50.0,9.75,True,,2026-06-23T17:23:54.423+00:00,/dev/cu.usbserial-576B0005451,"RX,2171695,R8,TXB,N16,47,52405,B,1,0.90,0.80,30,U,-50,9.75"
RX,2171931,R8,TXA,N01,55,61054,A,1,0.3,0.25,30.0,R,-43.0,9.0,True,,2026-06-23T17:23:54.660+00:00,/dev/cu.usbserial-576B0005451,"RX,2171931,R8,TXA,N01,55,61054,A,1,0.30,0.25,30,R,-43,9.00"
RX,2172778,R8,TXB,N16,48,53488,B,1,0.9,0.8,30.0,U,-50.0,9.25,True,,2026-06-23T17:23:55.506+00:00,/dev/cu.usbserial-576B0005451,"RX,2172778,R8,TXB,N16,48,53488,B,1,0.90,0.80,30,U,-50,9.25"
RX,2173014,R8,TXA,N01,56,62137,A,1,0.3,0.25,30.0,R,-42.0,9.75,True,,2026-06-23T17:23:55.743+00:00,/dev/cu.usbserial-576B0005451,"RX,2173014,R8,TXA,N01,56,62137,A,1,0.30,0.25,30,R,-42,9.75"
RX,2173861,R8,TXB,N16,49,54571,B,1,0.9,0.8,30.0,U,-51.0,9.25,True,,2026-06-23T17:23:56.589+00:00,/dev/cu.usbserial-576B0005451,"RX,2173861,R8,TXB,N16,49,54571,B,1,0.90,0.80,30,U,-51,9.25"
RX,2174097,R8,TXA,N01,57,63220,A,1,0.3,0.25,30.0,R,-43.0,9.25,True,,2026-06-23T17:23:56.826+00:00,/dev/cu.usbserial-576B0005451,"RX,2174097,R8,TXA,N01,57,63220,A,1,0.30,0.25,30,R,-43,9.25"
RX,2174944,R8,TXB,N16,50,55654,B,1,0.9,0.8,30.0,U,-50.0,9.75,True,,2026-06-23T17:23:57.672+00:00,/dev/cu.usbserial-576B0005451,"RX,2174944,R8,TXB,N16,50,55654,B,1,0.90,0.80,30,U,-50,9.75"
RX,2175180,R8,TXA,N01,58,64303,A,1,0.3,0.25,30.0,R,-43.0,9.25,True,,2026-06-23T17:23:57.908+00:00,/dev/cu.usbserial-576B0005451,"RX,2175180,R8,TXA,N01,58,64303,A,1,0.30,0.25,30,R,-43,9.25"
RX,2176027,R8,TXB,N16,51,56737,B,1,0.9,0.8,30.0,U,-50.0,9.75,True,,2026-06-23T17:23:58.755+00:00,/dev/cu.usbserial-576B0005451,"RX,2176027,R8,TXB,N16,51,56737,B,1,0.90,0.80,30,U,-50,9.75"
RX,2176263,R8,TXA,N01,59,65386,A,1,0.3,0.25,30.0,R,-43.0,9.5,True,,2026-06-23T17:23:58.992+00:00,/dev/cu.usbserial-576B0005451,"RX,2176263,R8,TXA,N01,59,65386,A,1,0.30,0.25,30,R,-43,9.50"
RX,2177110,R8,TXB,N16,52,57820,B,1,0.9,0.8,30.0,U,-50.0,9.25,True,,2026-06-23T17:23:59.837+00:00,/dev/cu.usbserial-576B0005451,"RX,2177110,R8,TXB,N16,52,57820,B,1,0.90,0.80,30,U,-50,9.25"
RX,2177346,R8,TXA,N01,60,66469,A,1,0.3,0.25,30.0,R,-43.0,9.25,True,,2026-06-23T17:24:00.074+00:00,/dev/cu.usbserial-576B0005451,"RX,2177346,R8,TXA,N01,60,66469,A,1,0.30,0.25,30,R,-43,9.25"
RX,2178193,R8,TXB,N16,53,58903,B,1,0.9,0.8,30.0,U,-50.0,10.0,True,,2026-06-23T17:24:00.921+00:00,/dev/cu.usbserial-576B0005451,"RX,2178193,R8,TXB,N16,53,58903,B,1,0.90,0.80,30,U,-50,10.00"
RX,2178429,R8,TXA,N01,61,67552,A,1,0.3,0.25,30.0,R,-42.0,9.5,True,,2026-06-23T17:24:01.158+00:00,/dev/cu.usbserial-576B0005451,"RX,2178429,R8,TXA,N01,61,67552,A,1,0.30,0.25,30,R,-42,9.50"
RX,2179276,R8,TXB,N16,54,59986,B,1,0.9,0.8,30.0,U,-50.0,9.5,True,,2026-06-23T17:24:02.003+00:00,/dev/cu.usbserial-576B0005451,"RX,2179276,R8,TXB,N16,54,59986,B,1,0.90,0.80,30,U,-50,9.50"
RX,2179512,R8,TXA,N01,62,68635,A,1,0.3,0.25,30.0,R,-43.0,9.25,True,,2026-06-23T17:24:02.241+00:00,/dev/cu.usbserial-576B0005451,"RX,2179512,R8,TXA,N01,62,68635,A,1,0.30,0.25,30,R,-43,9.25"
RX,2180359,R8,TXB,N16,55,61069,B,1,0.9,0.8,30.0,U,-50.0,9.5,True,,2026-06-23T17:24:03.087+00:00,/dev/cu.usbserial-576B0005451,"RX,2180359,R8,TXB,N16,55,61069,B,1,0.90,0.80,30,U,-50,9.50"
RX,2180595,R8,TXA,N01,63,69718,A,1,0.3,0.25,30.0,R,-43.0,9.25,True,,2026-06-23T17:24:03.324+00:00,/dev/cu.usbserial-576B0005451,"RX,2180595,R8,TXA,N01,63,69718,A,1,0.30,0.25,30,R,-43,9.25"
RX,2181442,R8,TXB,N16,56,62152,B,1,0.9,0.8,30.0,U,-50.0,9.5,True,,2026-06-23T17:24:04.170+00:00,/dev/cu.usbserial-576B0005451,"RX,2181442,R8,TXB,N16,56,62152,B,1,0.90,0.80,30,U,-50,9.50"
RX,2181678,R8,TXA,N01,64,70801,A,1,0.3,0.25,30.0,R,-43.0,9.25,True,,2026-06-23T17:24:04.407+00:00,/dev/cu.usbserial-576B0005451,"RX,2181678,R8,TXA,N01,64,70801,A,1,0.30,0.25,30,R,-43,9.25"
RX,2182525,R8,TXB,N16,57,63235,B,1,0.9,0.8,30.0,U,-50.0,9.75,True,,2026-06-23T17:24:05.252+00:00,/dev/cu.usbserial-576B0005451,"RX,2182525,R8,TXB,N16,57,63235,B,1,0.90,0.80,30,U,-50,9.75"
RX,2182761,R8,TXA,N01,65,71884,A,1,0.3,0.25,30.0,R,-43.0,9.5,True,,2026-06-23T17:24:05.490+00:00,/dev/cu.usbserial-576B0005451,"RX,2182761,R8,TXA,N01,65,71884,A,1,0.30,0.25,30,R,-43,9.50"
RX,2183608,R8,TXB,N16,58,64318,B,1,0.9,0.8,30.0,U,-50.0,9.5,True,,2026-06-23T17:24:06.336+00:00,/dev/cu.usbserial-576B0005451,"RX,2183608,R8,TXB,N16,58,64318,B,1,0.90,0.80,30,U,-50,9.50"
RX,2183844,R8,TXA,N01,66,72967,A,1,0.3,0.25,30.0,R,-43.0,9.0,True,,2026-06-23T17:24:06.573+00:00,/dev/cu.usbserial-576B0005451,"RX,2183844,R8,TXA,N01,66,72967,A,1,0.30,0.25,30,R,-43,9.00"
RX,2184691,R8,TXB,N16,59,65401,B,1,0.9,0.8,30.0,U,-50.0,10.25,True,,2026-06-23T17:24:07.419+00:00,/dev/cu.usbserial-576B0005451,"RX,2184691,R8,TXB,N16,59,65401,B,1,0.90,0.80,30,U,-50,10.25"
RX,2184927,R8,TXA,N01,67,74050,A,1,0.3,0.25,30.0,R,-42.0,10.0,True,,2026-06-23T17:24:07.656+00:00,/dev/cu.usbserial-576B0005451,"RX,2184927,R8,TXA,N01,67,74050,A,1,0.30,0.25,30,R,-42,10.00"
RX,2185774,R8,TXB,N16,60,66484,B,1,0.9,0.8,30.0,U,-50.0,10.0,True,,2026-06-23T17:24:08.502+00:00,/dev/cu.usbserial-576B0005451,"RX,2185774,R8,TXB,N16,60,66484,B,1,0.90,0.80,30,U,-50,10.00"
RX,2186010,R8,TXA,N01,68,75133,A,1,0.3,0.25,30.0,R,-43.0,9.0,True,,2026-06-23T17:24:08.739+00:00,/dev/cu.usbserial-576B0005451,"RX,2186010,R8,TXA,N01,68,75133,A,1,0.30,0.25,30,R,-43,9.00"
RX,2186857,R8,TXB,N16,61,67567,B,1,0.9,0.8,30.0,U,-50.0,9.5,True,,2026-06-23T17:24:09.585+00:00,/dev/cu.usbserial-576B0005451,"RX,2186857,R8,TXB,N16,61,67567,B,1,0.90,0.80,30,U,-50,9.50"
RX,2187093,R8,TXA,N01,69,76216,A,1,0.3,0.25,30.0,R,-43.0,9.0,True,,2026-06-23T17:24:09.821+00:00,/dev/cu.usbserial-576B0005451,"RX,2187093,R8,TXA,N01,69,76216,A,1,0.30,0.25,30,R,-43,9.00"
RX,2187940,R8,TXB,N16,62,68650,B,1,0.9,0.8,30.0,U,-50.0,9.75,True,,2026-06-23T17:24:10.668+00:00,/dev/cu.usbserial-576B0005451,"RX,2187940,R8,TXB,N16,62,68650,B,1,0.90,0.80,30,U,-50,9.75"
RX,2188176,R8,TXA,N01,70,77299,A,1,0.3,0.25,30.0,R,-43.0,9.0,True,,2026-06-23T17:24:10.905+00:00,/dev/cu.usbserial-576B0005451,"RX,2188176,R8,TXA,N01,70,77299,A,1,0.30,0.25,30,R,-43,9.00"
RX,2189023,R8,TXB,N16,63,69733,B,1,0.9,0.8,30.0,U,-50.0,9.75,True,,2026-06-23T17:24:11.751+00:00,/dev/cu.usbserial-576B0005451,"RX,2189023,R8,TXB,N16,63,69733,B,1,0.90,0.80,30,U,-50,9.75"
RX,2189259,R8,TXA,N01,71,78382,A,1,0.3,0.25,30.0,R,-42.0,9.25,True,,2026-06-23T17:24:11.988+00:00,/dev/cu.usbserial-576B0005451,"RX,2189259,R8,TXA,N01,71,78382,A,1,0.30,0.25,30,R,-42,9.25"
RX,2190106,R8,TXB,N16,64,70816,B,1,0.9,0.8,30.0,U,-50.0,9.5,True,,2026-06-23T17:24:12.834+00:00,/dev/cu.usbserial-576B0005451,"RX,2190106,R8,TXB,N16,64,70816,B,1,0.90,0.80,30,U,-50,9.50"
RX,2190342,R8,TXA,N01,72,79465,A,1,0.3,0.25,30.0,R,-43.0,9.0,True,,2026-06-23T17:24:13.071+00:00,/dev/cu.usbserial-576B0005451,"RX,2190342,R8,TXA,N01,72,79465,A,1,0.30,0.25,30,R,-43,9.00"
