rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,3652111,R10,TXA,N01,40,34849,A,1,0.3,0.25,30.0,R,-50.0,10.0,True,,2026-06-23T17:48:34.841+00:00,/dev/cu.usbserial-576B0005451,"RX,3652111,R10,TXA,N01,40,34849,A,1,0.30,0.25,30,R,-50,10.00"
RX,3652653,R10,TXB,N16,29,25701,B,1,0.9,0.8,30.0,U,-53.0,9.5,True,,2026-06-23T17:48:35.383+00:00,/dev/cu.usbserial-576B0005451,"RX,3652653,R10,TXB,N16,29,25701,B,1,0.90,0.80,30,U,-53,9.50"
RX,3652944,R10,TXA,N01,41,35682,A,1,0.3,0.25,30.0,R,-48.0,10.0,True,,2026-06-23T17:48:35.675+00:00,/dev/cu.usbserial-576B0005451,"RX,3652944,R10,TXA,N01,41,35682,A,1,0.30,0.25,30,R,-48,10.00"
RX,3653486,R10,TXB,N16,30,26534,B,1,0.9,0.8,30.0,U,-52.0,10.5,True,,2026-06-23T17:48:36.217+00:00,/dev/cu.usbserial-576B0005451,"RX,3653486,R10,TXB,N16,30,26534,B,1,0.90,0.80,30,U,-52,10.50"
RX,3653777,R10,TXA,N01,42,36515,A,1,0.3,0.25,30.0,R,-49.0,9.5,True,,2026-06-23T17:48:36.508+00:00,/dev/cu.usbserial-576B0005451,"RX,3653777,R10,TXA,N01,42,36515,A,1,0.30,0.25,30,R,-49,9.50"
RX,3654319,R10,TXB,N16,31,27367,B,1,0.9,0.8,30.0,U,-53.0,9.5,True,,2026-06-23T17:48:37.049+00:00,/dev/cu.usbserial-576B0005451,"RX,3654319,R10,TXB,N16,31,27367,B,1,0.90,0.80,30,U,-53,9.50"
RX,3654610,R10,TXA,N01,43,37348,A,1,0.3,0.25,30.0,R,-50.0,9.5,True,,2026-06-23T17:48:37.341+00:00,/dev/cu.usbserial-576B0005451,"RX,3654610,R10,TXA,N01,43,37348,A,1,0.30,0.25,30,R,-50,9.50"
RX,3655152,R10,TXB,N16,32,28200,B,1,0.9,0.8,30.0,U,-53.0,9.25,True,,2026-06-23T17:48:37.883+00:00,/dev/cu.usbserial-576B0005451,"RX,3655152,R10,TXB,N16,32,28200,B,1,0.90,0.80,30,U,-53,9.25"
RX,3655443,R10,TXA,N01,44,38181,A,1,0.3,0.25,30.0,R,-49.0,9.5,True,,2026-06-23T17:48:38.174+00:00,/dev/cu.usbserial-576B0005451,"RX,3655443,R10,TXA,N01,44,38181,A,1,0.30,0.25,30,R,-49,9.50"
RX,3655985,R10,TXB,N16,33,29033,B,1,0.9,0.8,30.0,U,-53.0,10.0,True,,2026-06-23T17:48:38.716+00:00,/dev/cu.usbserial-576B0005451,"RX,3655985,R10,TXB,N16,33,29033,B,1,0.90,0.80,30,U,-53,10.00"
RX,3656276,R10,TXA,N01,45,39014,A,1,0.3,0.25,30.0,R,-49.0,10.0,True,,2026-06-23T17:48:39.007+00:00,/dev/cu.usbserial-576B0005451,"RX,3656276,R10,TXA,N01,45,39014,A,1,0.30,0.25,30,R,-49,10.00"
RX,3656818,R10,TXB,N16,34,29866,B,1,0.9,0.8,30.0,U,-55.0,9.75,True,,2026-06-23T17:48:39.549+00:00,/dev/cu.usbserial-576B0005451,"RX,3656818,R10,TXB,N16,34,29866,B,1,0.90,0.80,30,U,-55,9.75"
