rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,2109383,R12,TXA,N01,0,1529,A,1,0.25,0.2,30.0,R,-55.0,10.0,True,,2026-06-24T18:03:31.568+00:00,/dev/cu.usbserial-576B0005451,"RX,2109383,R12,TXA,N01,0,1529,A,1,0.25,0.20,30,R,-55,10.00"
RX,2110465,R12,TXA,N01,1,2612,A,1,0.3,0.25,30.0,R,-49.0,10.0,True,,2026-06-24T18:03:32.650+00:00,/dev/cu.usbserial-576B0005451,"RX,2110465,R12,TXA,N01,1,2612,A,1,0.30,0.25,30,R,-49,10.00"
RX,2111548,R12,TXA,N01,2,3695,A,1,0.35,0.3,30.0,R,-45.0,9.5,True,,2026-06-24T18:03:33.733+00:00,/dev/cu.usbserial-576B0005451,"RX,2111548,R12,TXA,N01,2,3695,A,1,0.35,0.30,30,R,-45,9.50"
RX,2111808,R12,TXB,N16,0,1545,B,1,0.3,0.2,30.0,U,-45.0,9.5,True,,2026-06-24T18:03:33.992+00:00,/dev/cu.usbserial-576B0005451,"RX,2111808,R12,TXB,N16,0,1545,B,1,0.30,0.20,30,U,-45,9.50"
RX,2112631,R12,TXA,N01,3,4778,A,1,0.4,0.35,30.0,R,-44.0,9.75,True,,2026-06-24T18:03:34.816+00:00,/dev/cu.usbserial-576B0005451,"RX,2112631,R12,TXA,N01,3,4778,A,1,0.40,0.35,30,R,-44,9.75"
RX,2112890,R12,TXB,N16,1,2627,B,1,0.3,0.2,30.0,U,-44.0,9.5,True,,2026-06-24T18:03:35.075+00:00,/dev/cu.usbserial-576B0005451,"RX,2112890,R12,TXB,N16,1,2627,B,1,0.30,0.20,30,U,-44,9.50"
RX,2113714,R12,TXA,N01,4,5861,A,1,0.25,0.2,30.0,R,-45.0,9.5,True,,2026-06-24T18:03:35.899+00:00,/dev/cu.usbserial-576B0005451,"RX,2113714,R12,TXA,N01,4,5861,A,1,0.25,0.20,30,R,-45,9.50"
RX,2113973,R12,TXB,N16,2,3710,B,1,0.3,0.2,30.0,U,-45.0,9.5,True,,2026-06-24T18:03:36.158+00:00,/dev/cu.usbserial-576B0005451,"RX,2113973,R12,TXB,N16,2,3710,B,1,0.30,0.20,30,U,-45,9.50"
RX,2114797,R12,TXA,N01,5,6944,A,1,0.3,0.25,30.0,R,-44.0,9.75,True,,2026-06-24T18:03:36.982+00:00,/dev/cu.usbserial-576B0005451,"RX,2114797,R12,TXA,N01,5,6944,A,1,0.30,0.25,30,R,-44,9.75"
RX,2115056,R12,TXB,N16,3,4793,B,1,0.3,0.2,30.0,U,-45.0,9.5,True,,2026-06-24T18:03:37.240+00:00,/dev/cu.usbserial-576B0005451,"RX,2115056,R12,TXB,N16,3,4793,B,1,0.30,0.20,30,U,-45,9.50"
