rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,4049365,R14,TXA,N01,0,1529,A,1,0.25,0.2,30.0,R,-45.0,9.75,True,,2026-06-24T18:35:51.546+00:00,/dev/cu.usbserial-576B0005451,"RX,4049365,R14,TXA,N01,0,1529,A,1,0.25,0.20,30,R,-45,9.75"
RX,4050198,R14,TXA,N01,1,2362,A,1,0.3,0.25,30.0,R,-45.0,9.75,True,,2026-06-24T18:35:52.380+00:00,/dev/cu.usbserial-576B0005451,"RX,4050198,R14,TXA,N01,1,2362,A,1,0.30,0.25,30,R,-45,9.75"
RX,4051031,R14,TXA,N01,2,3195,A,1,0.35,0.3,30.0,R,-45.0,9.5,True,,2026-06-24T18:35:53.211+00:00,/dev/cu.usbserial-576B0005451,"RX,4051031,R14,TXA,N01,2,3195,A,1,0.35,0.30,30,R,-45,9.50"
RX,4051864,R14,TXA,N01,3,4028,A,1,0.4,0.35,30.0,R,-44.0,9.75,True,,2026-06-24T18:35:54.044+00:00,/dev/cu.usbserial-576B0005451,"RX,4051864,R14,TXA,N01,3,4028,A,1,0.40,0.35,30,R,-44,9.75"
RX,4052372,R14,TXB,N16,0,1545,B,1,0.3,0.2,30.0,U,-53.0,9.5,True,,2026-06-24T18:35:54.552+00:00,/dev/cu.usbserial-576B0005451,"RX,4052372,R14,TXB,N16,0,1545,B,1,0.30,0.20,30,U,-53,9.50"
RX,4052697,R14,TXA,N01,4,4861,A,1,0.25,0.2,30.0,R,-44.0,9.5,True,,2026-06-24T18:35:54.878+00:00,/dev/cu.usbserial-576B0005451,"RX,4052697,R14,TXA,N01,4,4861,A,1,0.25,0.20,30,R,-44,9.50"
RX,4053204,R14,TXB,N16,1,2377,B,1,0.3,0.2,30.0,U,-53.0,12.0,True,,2026-06-24T18:35:55.385+00:00,/dev/cu.usbserial-576B0005451,"RX,4053204,R14,TXB,N16,1,2377,B,1,0.30,0.20,30,U,-53,12.00"
RX,4053530,R14,TXA,N01,5,5694,A,1,0.3,0.25,30.0,R,-44.0,9.25,True,,2026-06-24T18:35:55.710+00:00,/dev/cu.usbserial-576B0005451,"RX,4053530,R14,TXA,N01,5,5694,A,1,0.30,0.25,30,R,-44,9.25"
RX,4054037,R14,TXB,N16,2,3210,B,1,0.3,0.2,30.0,U,-53.0,9.25,True,,2026-06-24T18:35:56.217+00:00,/dev/cu.usbserial-576B0005451,"RX,4054037,R14,TXB,N16,2,3210,B,1,0.30,0.20,30,U,-53,9.25"
RX,4054363,R14,TXA,N01,6,6527,A,1,0.35,0.3,30.0,R,-45.0,9.75,True,,2026-06-24T18:35:56.543+00:00,/dev/cu.usbserial-576B0005451,"RX,4054363,R14,TXA,N01,6,6527,A,1,0.35,0.30,30,R,-45,9.75"
RX,4054870,R14,TXB,N16,3,4043,B,1,0.3,0.2,30.0,U,-52.0,9.75,True,,2026-06-24T18:35:57.050+00:00,/dev/cu.usbserial-576B0005451,"RX,4054870,R14,TXB,N16,3,4043,B,1,0.30,0.20,30,U,-52,9.75"
RX,4055196,R14,TXA,N01,7,7360,A,1,0.4,0.35,30.0,R,-44.0,9.75,True,,2026-06-24T18:35:57.376+00:00,/dev/cu.usbserial-576B0005451,"RX,4055196,R14,TXA,N01,7,7360,A,1,0.40,0.35,30,R,-44,9.75"
RX,4055703,R14,TXB,N16,4,4876,B,1,0.3,0.2,30.0,U,-53.0,9.5,True,,2026-06-24T18:35:57.884+00:00,/dev/cu.usbserial-576B0005451,"RX,4055703,R14,TXB,N16,4,4876,B,1,0.30,0.20,30,U,-53,9.50"
RX,4056029,R14,TXA,N01,8,8193,A,1,0.25,0.2,30.0,R,-43.0,9.75,True,,2026-06-24T18:35:58.209+00:00,/dev/cu.usbserial-576B0005451,"RX,4056029,R14,TXA,N01,8,8193,A,1,0.25,0.20,30,R,-43,9.75"
RX,4056536,R14,TXB,N16,5,5709,B,1,0.3,0.2,30.0,U,-53.0,9.5,True,,2026-06-24T18:35:58.717+00:00,/dev/cu.usbserial-576B0005451,"RX,4056536,R14,TXB,N16,5,5709,B,1,0.30,0.20,30,U,-53,9.50"
RX,4056862,R14,TXA,N01,9,9026,A,1,0.3,0.25,30.0,R,-43.0,9.75,True,,2026-06-24T18:35:59.042+00:00,/dev/cu.usbserial-576B0005451,"RX,4056862,R14,TXA,N01,9,9026,A,1,0.30,0.25,30,R,-43,9.75"
RX,4057369,R14,TXB,N16,6,6542,B,1,0.3,0.2,30.0,U,-53.0,9.75,True,,2026-06-24T18:35:59.549+00:00,/dev/cu.usbserial-576B0005451,"RX,4057369,R14,TXB,N16,6,6542,B,1,0.30,0.20,30,U,-53,9.75"
RX,4057695,R14,TXA,N01,10,9859,A,1,0.35,0.3,30.0,R,-44.0,9.5,True,,2026-06-24T18:35:59.875+00:00,/dev/cu.usbserial-576B0005451,"RX,4057695,R14,TXA,N01,10,9859,A,1,0.35,0.30,30,R,-44,9.50"
RX,4058202,R14,TXB,N16,7,7375,B,1,0.3,0.2,30.0,U,-53.0,9.5,True,,2026-06-24T18:36:00.382+00:00,/dev/cu.usbserial-576B0005451,"RX,4058202,R14,TXB,N16,7,7375,B,1,0.30,0.20,30,U,-53,9.50"
RX,4058528,R14,TXA,N01,11,10692,A,1,0.4,0.35,30.0,R,-44.0,9.75,True,,2026-06-24T18:36:00.708+00:00,/dev/cu.usbserial-576B0005451,"RX,4058528,R14,TXA,N01,11,10692,A,1,0.40,0.35,30,R,-44,9.75"
RX,4059035,R14,TXB,N16,8,8208,B,1,0.3,0.2,30.0,U,-53.0,9.25,True,,2026-06-24T18:36:01.215+00:00,/dev/cu.usbserial-576B0005451,"RX,4059035,R14,TXB,N16,8,8208,B,1,0.30,0.20,30,U,-53,9.25"
RX,4059361,R14,TXA,N01,12,11525,A,1,0.25,0.2,30.0,R,-43.0,9.5,True,,2026-06-24T18:36:01.542+00:00,/dev/cu.usbserial-576B0005451,"RX,4059361,R14,TXA,N01,12,11525,A,1,0.25,0.20,30,R,-43,9.50"
RX,4059868,R14,TXB,N16,9,9041,B,1,0.3,0.2,30.0,U,-53.0,9.5,True,,2026-06-24T18:36:02.049+00:00,/dev/cu.usbserial-576B0005451,"RX,4059868,R14,TXB,N16,9,9041,B,1,0.30,0.20,30,U,-53,9.50"
RX,4060194,R14,TXA,N01,13,12358,A,1,0.3,0.25,30.0,R,-50.0,9.0,True,,2026-06-24T18:36:02.374+00:00,/dev/cu.usbserial-576B0005451,"RX,4060194,R14,TXA,N01,13,12358,A,1,0.30,0.25,30,R,-50,9.00"
RX,4060701,R14,TXB,N16,10,9874,B,1,0.3,0.2,30.0,U,-49.0,9.75,True,,2026-06-24T18:36:02.882+00:00,/dev/cu.usbserial-576B0005451,"RX,4060701,R14,TXB,N16,10,9874,B,1,0.30,0.20,30,U,-49,9.75"
RX,4061027,R14,TXA,N01,14,13191,A,1,0.35,0.3,30.0,R,-44.0,9.5,True,,2026-06-24T18:36:03.207+00:00,/dev/cu.usbserial-576B0005451,"RX,4061027,R14,TXA,N01,14,13191,A,1,0.35,0.30,30,R,-44,9.50"
