rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,1341542,R15,TXA,N01,0,1529,A,0,0.25,0.28,30.0,B,-56.0,9.75,True,,2026-06-25T18:28:34.790+00:00,/dev/cu.usbserial-576B0005451,"RX,1341542,R15,TXA,N01,0,1529,A,0,0.25,0.28,30,B,-56,9.75"
RX,1342541,R15,TXA,N01,1,2529,A,0,0.25,0.28,30.0,B,-56.0,9.75,True,,2026-06-25T18:28:35.790+00:00,/dev/cu.usbserial-576B0005451,"RX,1342541,R15,TXA,N01,1,2529,A,0,0.25,0.28,30,B,-56,9.75"
RX,1343541,R15,TXA,N01,2,3529,A,0,0.25,0.28,30.0,B,-59.0,9.5,True,,2026-06-25T18:28:36.790+00:00,/dev/cu.usbserial-576B0005451,"RX,1343541,R15,TXA,N01,2,3529,A,0,0.25,0.28,30,B,-59,9.50"
RX,1344541,R15,TXA,N01,3,4529,A,0,0.25,0.28,30.0,B,-60.0,9.75,True,,2026-06-25T18:28:37.790+00:00,/dev/cu.usbserial-576B0005451,"RX,1344541,R15,TXA,N01,3,4529,A,0,0.25,0.28,30,B,-60,9.75"
RX,1345541,R15,TXA,N01,4,5529,A,0,0.25,0.28,30.0,B,-49.0,9.5,True,,2026-06-25T18:28:38.789+00:00,/dev/cu.usbserial-576B0005451,"RX,1345541,R15,TXA,N01,4,5529,A,0,0.25,0.28,30,B,-49,9.50"
RX,1346408,R15,TXB,N16,0,1545,B,1,0.2,0.2,30.0,U,-51.0,9.75,True,,2026-06-25T18:28:39.656+00:00,/dev/cu.usbserial-576B0005451,"RX,1346408,R15,TXB,N16,0,1545,B,1,0.20,0.20,30,U,-51,9.75"
RX,1346541,R15,TXA,N01,5,6529,A,0,0.25,0.28,30.0,B,-49.0,9.75,True,,2026-06-25T18:28:39.790+00:00,/dev/cu.usbserial-576B0005451,"RX,1346541,R15,TXA,N01,5,6529,A,0,0.25,0.28,30,B,-49,9.75"
RX,1347408,R15,TXB,N16,1,2545,B,1,0.2,0.2,30.0,U,-51.0,9.75,True,,2026-06-25T18:28:40.656+00:00,/dev/cu.usbserial-576B0005451,"RX,1347408,R15,TXB,N16,1,2545,B,1,0.20,0.20,30,U,-51,9.75"
RX,1347541,R15,TXA,N01,6,7529,A,0,0.25,0.28,30.0,B,-48.0,9.25,True,,2026-06-25T18:28:40.790+00:00,/dev/cu.usbserial-576B0005451,"RX,1347541,R15,TXA,N01,6,7529,A,0,0.25,0.28,30,B,-48,9.25"
RX,1348408,R15,TXB,N16,2,3545,B,1,0.2,0.2,30.0,U,-52.0,9.75,True,,2026-06-25T18:28:41.655+00:00,/dev/cu.usbserial-576B0005451,"RX,1348408,R15,TXB,N16,2,3545,B,1,0.20,0.20,30,U,-52,9.75"
