rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,481123,R18,TXA,N01,0,1529,A,0,0.25,0.28,30.0,B,-53.0,9.0,True,,2026-06-26T13:06:22.278+00:00,/dev/cu.usbserial-576B0005451,"RX,481123,R18,TXA,N01,0,1529,A,0,0.25,0.28,30,B,-53,9.00"
RX,481639,R18,TXB,N16,0,2044,B,1,0.2,0.2,30.0,U,-49.0,9.0,True,,2026-06-26T13:06:22.794+00:00,/dev/cu.usbserial-576B0005451,"RX,481639,R18,TXB,N16,0,2044,B,1,0.20,0.20,30,U,-49,9.00"
RX,482122,R18,TXA,N01,1,2529,A,0,0.25,0.28,30.0,B,-50.0,9.75,True,,2026-06-26T13:06:23.277+00:00,/dev/cu.usbserial-576B0005451,"RX,482122,R18,TXA,N01,1,2529,A,0,0.25,0.28,30,B,-50,9.75"
RX,482638,R18,TXB,N16,1,3044,B,1,0.2,0.2,30.0,U,-56.0,9.75,True,,2026-06-26T13:06:23.793+00:00,/dev/cu.usbserial-576B0005451,"RX,482638,R18,TXB,N16,1,3044,B,1,0.20,0.20,30,U,-56,9.75"
RX,483122,R18,TXA,N01,2,3529,A,0,0.25,0.28,30.0,B,-52.0,10.0,True,,2026-06-26T13:06:24.277+00:00,/dev/cu.usbserial-576B0005451,"RX,483122,R18,TXA,N01,2,3529,A,0,0.25,0.28,30,B,-52,10.00"
RX,483638,R18,TXB,N16,2,4044,B,1,0.2,0.2,30.0,U,-52.0,9.75,True,,2026-06-26T13:06:24.793+00:00,/dev/cu.usbserial-576B0005451,"RX,483638,R18,TXB,N16,2,4044,B,1,0.20,0.20,30,U,-52,9.75"
RX,484122,R18,TXA,N01,3,4529,A,0,0.25,0.28,30.0,B,-52.0,9.75,True,,2026-06-26T13:06:25.277+00:00,/dev/cu.usbserial-576B0005451,"RX,484122,R18,TXA,N01,3,4529,A,0,0.25,0.28,30,B,-52,9.75"
RX,484638,R18,TXB,N16,3,5044,B,1,0.2,0.2,30.0,U,-54.0,9.5,True,,2026-06-26T13:06:25.793+00:00,/dev/cu.usbserial-576B0005451,"RX,484638,R18,TXB,N16,3,5044,B,1,0.20,0.20,30,U,-54,9.50"
RX,485122,R18,TXA,N01,4,5529,A,0,0.25,0.28,30.0,B,-53.0,10.0,True,,2026-06-26T13:06:26.277+00:00,/dev/cu.usbserial-576B0005451,"RX,485122,R18,TXA,N01,4,5529,A,0,0.25,0.28,30,B,-53,10.00"
RX,485638,R18,TXB,N16,4,6044,B,1,0.2,0.2,30.0,U,-56.0,9.5,True,,2026-06-26T13:06:26.793+00:00,/dev/cu.usbserial-576B0005451,"RX,485638,R18,TXB,N16,4,6044,B,1,0.20,0.20,30,U,-56,9.50"
