rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,129634,R23,TXA,N01,0,1529,A,1,0.95,0.92,5.0,F,-37.0,9.5,True,,2026-06-27T13:45:40.921+00:00,/dev/cu.usbserial-576B0005451,"RX,129634,R23,TXA,N01,0,1529,A,1,0.95,0.92,5,F,-37,9.50"
RX,130150,R23,TXB,N16,0,2044,A,1,0.95,0.92,5.0,U,-46.0,9.75,True,,2026-06-27T13:45:41.438+00:00,/dev/cu.usbserial-576B0005451,"RX,130150,R23,TXB,N16,0,2044,A,1,0.95,0.92,5,U,-46,9.75"
RX,130633,R23,TXA,N01,1,2529,B,0,0.2,0.18,5.0,F,-35.0,9.75,True,,2026-06-27T13:45:41.921+00:00,/dev/cu.usbserial-576B0005451,"RX,130633,R23,TXA,N01,1,2529,B,0,0.20,0.18,5,F,-35,9.75"
RX,131149,R23,TXB,N16,1,3044,C,1,0.88,0.84,5.0,U,-47.0,10.25,True,,2026-06-27T13:45:42.437+00:00,/dev/cu.usbserial-576B0005451,"RX,131149,R23,TXB,N16,1,3044,C,1,0.88,0.84,5,U,-47,10.25"
RX,131633,R23,TXA,N01,2,3529,C,1,0.88,0.84,5.0,F,-36.0,10.0,True,,2026-06-27T13:45:42.921+00:00,/dev/cu.usbserial-576B0005451,"RX,131633,R23,TXA,N01,2,3529,C,1,0.88,0.84,5,F,-36,10.00"
RX,132149,R23,TXB,N16,2,4044,E,1,0.75,0.79,5.0,U,-46.0,9.75,True,,2026-06-27T13:45:43.437+00:00,/dev/cu.usbserial-576B0005451,"RX,132149,R23,TXB,N16,2,4044,E,1,0.75,0.79,5,U,-46,9.75"
RX,132633,R23,TXA,N01,3,4529,D,0,0.35,0.42,5.0,F,-35.0,10.5,True,,2026-06-27T13:45:43.921+00:00,/dev/cu.usbserial-576B0005451,"RX,132633,R23,TXA,N01,3,4529,D,0,0.35,0.42,5,F,-35,10.50"
RX,133149,R23,TXB,N16,3,5044,G,1,0.65,0.67,5.0,U,-46.0,9.75,True,,2026-06-27T13:45:44.437+00:00,/dev/cu.usbserial-576B0005451,"RX,133149,R23,TXB,N16,3,5044,G,1,0.65,0.67,5,U,-46,9.75"
RX,133633,R23,TXA,N01,4,5529,E,1,0.75,0.79,5.0,F,-36.0,10.0,True,,2026-06-27T13:45:44.921+00:00,/dev/cu.usbserial-576B0005451,"RX,133633,R23,TXA,N01,4,5529,E,1,0.75,0.79,5,F,-36,10.00"
RX,134149,R23,TXB,N16,4,6044,A,1,0.9,0.91,5.0,U,-47.0,10.0,True,,2026-06-27T13:45:45.437+00:00,/dev/cu.usbserial-576B0005451,"RX,134149,R23,TXB,N16,4,6044,A,1,0.90,0.91,5,U,-47,10.00"
RX,134633,R23,TXA,N01,5,6529,F,0,0.1,0.08,5.0,F,-38.0,9.5,True,,2026-06-27T13:45:45.921+00:00,/dev/cu.usbserial-576B0005451,"RX,134633,R23,TXA,N01,5,6529,F,0,0.10,0.08,5,F,-38,9.50"
RX,135149,R23,TXB,N16,5,7044,C,1,0.82,0.77,5.0,U,-51.0,10.0,True,,2026-06-27T13:45:46.437+00:00,/dev/cu.usbserial-576B0005451,"RX,135149,R23,TXB,N16,5,7044,C,1,0.82,0.77,5,U,-51,10.00"
RX,135633,R23,TXA,N01,6,7529,G,1,0.65,0.67,5.0,F,-41.0,9.75,True,,2026-06-27T13:45:46.921+00:00,/dev/cu.usbserial-576B0005451,"RX,135633,R23,TXA,N01,6,7529,G,1,0.65,0.67,5,F,-41,9.75"
RX,136149,R23,TXB,N16,6,8044,E,1,0.72,0.74,5.0,U,-51.0,10.0,True,,2026-06-27T13:45:47.437+00:00,/dev/cu.usbserial-576B0005451,"RX,136149,R23,TXB,N16,6,8044,E,1,0.72,0.74,5,U,-51,10.00"
RX,136633,R23,TXA,N01,7,8529,H,0,0.48,0.49,5.0,F,-41.0,9.75,True,,2026-06-27T13:45:47.920+00:00,/dev/cu.usbserial-576B0005451,"RX,136633,R23,TXA,N01,7,8529,H,0,0.48,0.49,5,F,-41,9.75"
RX,137149,R23,TXB,N16,7,9044,G,1,0.69,0.63,5.0,U,-50.0,9.75,True,,2026-06-27T13:45:48.436+00:00,/dev/cu.usbserial-576B0005451,"RX,137149,R23,TXB,N16,7,9044,G,1,0.69,0.63,5,U,-50,9.75"
RX,137633,R23,TXA,N01,8,9529,A,1,0.9,0.91,5.0,F,-40.0,9.75,True,,2026-06-27T13:45:48.921+00:00,/dev/cu.usbserial-576B0005451,"RX,137633,R23,TXA,N01,8,9529,A,1,0.90,0.91,5,F,-40,9.75"
RX,138155,R23,TXB,N16,8,10044,A,1,0.95,0.92,5.0,U,-51.0,9.5,True,,2026-06-27T13:45:49.442+00:00,/dev/cu.usbserial-576B0005451,"RX,138155,R23,TXB,N16,8,10044,A,1,0.95,0.92,5,U,-51,9.50"
RX,138639,R23,TXA,N01,9,10529,B,0,0.22,0.21,5.0,F,-41.0,9.75,True,,2026-06-27T13:45:49.926+00:00,/dev/cu.usbserial-576B0005451,"RX,138639,R23,TXA,N01,9,10529,B,0,0.22,0.21,5,F,-41,9.75"
RX,139155,R23,TXB,N16,9,11044,C,1,0.88,0.84,5.0,U,-51.0,9.5,True,,2026-06-27T13:45:50.442+00:00,/dev/cu.usbserial-576B0005451,"RX,139155,R23,TXB,N16,9,11044,C,1,0.88,0.84,5,U,-51,9.50"
RX,139639,R23,TXA,N01,10,11529,C,1,0.82,0.77,5.0,F,-41.0,9.75,True,,2026-06-27T13:45:50.926+00:00,/dev/cu.usbserial-576B0005451,"RX,139639,R23,TXA,N01,10,11529,C,1,0.82,0.77,5,F,-41,9.75"
RX,140155,R23,TXB,N16,10,12044,E,1,0.75,0.79,5.0,U,-46.0,10.75,True,,2026-06-27T13:45:51.442+00:00,/dev/cu.usbserial-576B0005451,"RX,140155,R23,TXB,N16,10,12044,E,1,0.75,0.79,5,U,-46,10.75"
RX,140639,R23,TXA,N01,11,12529,D,0,0.4,0.36,5.0,F,-38.0,9.75,True,,2026-06-27T13:45:51.926+00:00,/dev/cu.usbserial-576B0005451,"RX,140639,R23,TXA,N01,11,12529,D,0,0.40,0.36,5,F,-38,9.75"
RX,141155,R23,TXB,N16,11,13044,G,1,0.65,0.67,5.0,U,-46.0,9.75,True,,2026-06-27T13:45:52.442+00:00,/dev/cu.usbserial-576B0005451,"RX,141155,R23,TXB,N16,11,13044,G,1,0.65,0.67,5,U,-46,9.75"
RX,141639,R23,TXA,N01,12,13529,E,1,0.72,0.74,5.0,F,-37.0,9.75,True,,2026-06-27T13:45:52.926+00:00,/dev/cu.usbserial-576B0005451,"RX,141639,R23,TXA,N01,12,13529,E,1,0.72,0.74,5,F,-37,9.75"
RX,142155,R23,TXB,N16,12,14044,A,1,0.9,0.91,5.0,U,-45.0,9.75,True,,2026-06-27T13:45:53.442+00:00,/dev/cu.usbserial-576B0005451,"RX,142155,R23,TXB,N16,12,14044,A,1,0.90,0.91,5,U,-45,9.75"
RX,142639,R23,TXA,N01,13,14529,F,0,0.12,0.15,5.0,F,-36.0,9.75,True,,2026-06-27T13:45:53.926+00:00,/dev/cu.usbserial-576B0005451,"RX,142639,R23,TXA,N01,13,14529,F,0,0.12,0.15,5,F,-36,9.75"
