rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,2381950,R24,TXA,N01,0,1529,A,1,0.95,0.92,5.0,F,-38.0,9.75,True,,2026-06-27T14:23:13.253+00:00,/dev/cu.usbserial-576B0005451,"RX,2381950,R24,TXA,N01,0,1529,A,1,0.95,0.92,5,F,-38,9.75"
RX,2382466,R24,TXB,N16,0,2044,A,1,0.95,0.92,5.0,U,-46.0,10.0,True,,2026-06-27T14:23:13.769+00:00,/dev/cu.usbserial-576B0005451,"RX,2382466,R24,TXB,N16,0,2044,A,1,0.95,0.92,5,U,-46,10.00"
RX,2382938,R24,TXA,N01,1,2529,B,0,0.2,0.18,5.0,F,-37.0,9.75,True,,2026-06-27T14:23:14.241+00:00,/dev/cu.usbserial-576B0005451,"RX,2382938,R24,TXA,N01,1,2529,B,0,0.20,0.18,5,F,-37,9.75"
RX,2383938,R24,TXA,N01,2,3529,C,1,0.88,0.84,5.0,F,-37.0,10.0,True,,2026-06-27T14:23:15.241+00:00,/dev/cu.usbserial-576B0005451,"RX,2383938,R24,TXA,N01,2,3529,C,1,0.88,0.84,5,F,-37,10.00"
RX,2384454,R24,TXB,N16,1,4044,C,1,0.88,0.84,5.0,U,-46.0,10.5,True,,2026-06-27T14:23:15.757+00:00,/dev/cu.usbserial-576B0005451,"RX,2384454,R24,TXB,N16,1,4044,C,1,0.88,0.84,5,U,-46,10.50"
RX,2384938,R24,TXA,N01,3,4529,D,0,0.35,0.42,5.0,F,-36.0,10.25,True,,2026-06-27T14:23:16.241+00:00,/dev/cu.usbserial-576B0005451,"RX,2384938,R24,TXA,N01,3,4529,D,0,0.35,0.42,5,F,-36,10.25"
RX,2385938,R24,TXA,N01,4,5529,E,1,0.75,0.79,5.0,F,-37.0,10.25,True,,2026-06-27T14:23:17.241+00:00,/dev/cu.usbserial-576B0005451,"RX,2385938,R24,TXA,N01,4,5529,E,1,0.75,0.79,5,F,-37,10.25"
RX,2386454,R24,TXB,N16,2,6044,E,1,0.75,0.79,5.0,U,-47.0,10.0,True,,2026-06-27T14:23:17.757+00:00,/dev/cu.usbserial-576B0005451,"RX,2386454,R24,TXB,N16,2,6044,E,1,0.75,0.79,5,U,-47,10.00"
RX,2386938,R24,TXA,N01,5,6529,F,0,0.1,0.08,5.0,F,-37.0,9.75,True,,2026-06-27T14:23:18.241+00:00,/dev/cu.usbserial-576B0005451,"RX,2386938,R24,TXA,N01,5,6529,F,0,0.10,0.08,5,F,-37,9.75"
RX,2387938,R24,TXA,N01,6,7529,G,1,0.65,0.67,5.0,F,-37.0,9.75,True,,2026-06-27T14:23:19.241+00:00,/dev/cu.usbserial-576B0005451,"RX,2387938,R24,TXA,N01,6,7529,G,1,0.65,0.67,5,F,-37,9.75"
RX,2388454,R24,TXB,N16,3,8044,G,1,0.65,0.67,5.0,U,-46.0,10.0,True,,2026-06-27T14:23:19.757+00:00,/dev/cu.usbserial-576B0005451,"RX,2388454,R24,TXB,N16,3,8044,G,1,0.65,0.67,5,U,-46,10.00"
RX,2388938,R24,TXA,N01,7,8529,H,0,0.48,0.49,5.0,F,-36.0,9.75,True,,2026-06-27T14:23:20.241+00:00,/dev/cu.usbserial-576B0005451,"RX,2388938,R24,TXA,N01,7,8529,H,0,0.48,0.49,5,F,-36,9.75"
RX,2389938,R24,TXA,N01,8,9529,A,1,0.9,0.91,5.0,F,-37.0,10.25,True,,2026-06-27T14:23:21.241+00:00,/dev/cu.usbserial-576B0005451,"RX,2389938,R24,TXA,N01,8,9529,A,1,0.90,0.91,5,F,-37,10.25"
RX,2390459,R24,TXB,N16,4,10044,A,1,0.9,0.91,5.0,U,-48.0,9.5,True,,2026-06-27T14:23:21.762+00:00,/dev/cu.usbserial-576B0005451,"RX,2390459,R24,TXB,N16,4,10044,A,1,0.90,0.91,5,U,-48,9.50"
RX,2390943,R24,TXA,N01,9,10529,B,0,0.22,0.21,5.0,F,-37.0,9.75,True,,2026-06-27T14:23:22.246+00:00,/dev/cu.usbserial-576B0005451,"RX,2390943,R24,TXA,N01,9,10529,B,0,0.22,0.21,5,F,-37,9.75"
RX,2391943,R24,TXA,N01,10,11529,C,1,0.82,0.77,5.0,F,-36.0,9.75,True,,2026-06-27T14:23:23.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2391943,R24,TXA,N01,10,11529,C,1,0.82,0.77,5,F,-36,9.75"
RX,2392459,R24,TXB,N16,5,12044,C,1,0.82,0.77,5.0,U,-48.0,9.75,True,,2026-06-27T14:23:23.762+00:00,/dev/cu.usbserial-576B0005451,"RX,2392459,R24,TXB,N16,5,12044,C,1,0.82,0.77,5,U,-48,9.75"
RX,2392944,R24,TXA,N01,11,12529,D,0,0.4,0.36,5.0,F,-37.0,10.0,True,,2026-06-27T14:23:24.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2392944,R24,TXA,N01,11,12529,D,0,0.40,0.36,5,F,-37,10.00"
RX,2393943,R24,TXA,N01,12,13529,E,1,0.72,0.74,5.0,F,-37.0,9.75,True,,2026-06-27T14:23:25.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2393943,R24,TXA,N01,12,13529,E,1,0.72,0.74,5,F,-37,9.75"
RX,2394459,R24,TXB,N16,6,14044,E,1,0.72,0.74,5.0,U,-49.0,9.5,True,,2026-06-27T14:23:25.762+00:00,/dev/cu.usbserial-576B0005451,"RX,2394459,R24,TXB,N16,6,14044,E,1,0.72,0.74,5,U,-49,9.50"
RX,2394943,R24,TXA,N01,13,14529,F,0,0.12,0.15,5.0,F,-37.0,9.75,True,,2026-06-27T14:23:26.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2394943,R24,TXA,N01,13,14529,F,0,0.12,0.15,5,F,-37,9.75"
RX,2395943,R24,TXA,N01,14,15529,G,1,0.69,0.63,5.0,F,-39.0,10.0,True,,2026-06-27T14:23:27.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2395943,R24,TXA,N01,14,15529,G,1,0.69,0.63,5,F,-39,10.00"
RX,2396459,R24,TXB,N16,7,16044,G,1,0.69,0.63,5.0,U,-46.0,9.75,True,,2026-06-27T14:23:27.763+00:00,/dev/cu.usbserial-576B0005451,"RX,2396459,R24,TXB,N16,7,16044,G,1,0.69,0.63,5,U,-46,9.75"
RX,2396943,R24,TXA,N01,15,16529,H,0,0.44,0.46,5.0,F,-37.0,9.75,True,,2026-06-27T14:23:28.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2396943,R24,TXA,N01,15,16529,H,0,0.44,0.46,5,F,-37,9.75"
RX,2397943,R24,TXA,N01,16,17529,A,1,0.95,0.92,5.0,F,-37.0,9.75,True,,2026-06-27T14:23:29.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2397943,R24,TXA,N01,16,17529,A,1,0.95,0.92,5,F,-37,9.75"
RX,2398459,R24,TXB,N16,8,18044,A,1,0.95,0.92,5.0,U,-46.0,9.25,True,,2026-06-27T14:23:29.762+00:00,/dev/cu.usbserial-576B0005451,"RX,2398459,R24,TXB,N16,8,18044,A,1,0.95,0.92,5,U,-46,9.25"
RX,2398943,R24,TXA,N01,17,18529,B,0,0.2,0.18,5.0,F,-37.0,10.0,True,,2026-06-27T14:23:30.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2398943,R24,TXA,N01,17,18529,B,0,0.20,0.18,5,F,-37,10.00"
RX,2399943,R24,TXA,N01,18,19529,C,1,0.88,0.84,5.0,F,-38.0,9.75,True,,2026-06-27T14:23:31.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2399943,R24,TXA,N01,18,19529,C,1,0.88,0.84,5,F,-38,9.75"
RX,2400459,R24,TXB,N16,9,20044,C,1,0.88,0.84,5.0,U,-49.0,9.5,True,,2026-06-27T14:23:31.762+00:00,/dev/cu.usbserial-576B0005451,"RX,2400459,R24,TXB,N16,9,20044,C,1,0.88,0.84,5,U,-49,9.50"
RX,2400943,R24,TXA,N01,19,20529,D,0,0.35,0.42,5.0,F,-38.0,9.25,True,,2026-06-27T14:23:32.250+00:00,/dev/cu.usbserial-576B0005451,"RX,2400943,R24,TXA,N01,19,20529,D,0,0.35,0.42,5,F,-38,9.25"
RX,2401943,R24,TXA,N01,20,21529,E,1,0.75,0.79,5.0,F,-37.0,9.25,True,,2026-06-27T14:23:33.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2401943,R24,TXA,N01,20,21529,E,1,0.75,0.79,5,F,-37,9.25"
RX,2402459,R24,TXB,N16,10,22044,E,1,0.75,0.79,5.0,U,-48.0,9.5,True,,2026-06-27T14:23:33.762+00:00,/dev/cu.usbserial-576B0005451,"RX,2402459,R24,TXB,N16,10,22044,E,1,0.75,0.79,5,U,-48,9.50"
RX,2402944,R24,TXA,N01,21,22529,F,0,0.1,0.08,5.0,F,-38.0,9.75,True,,2026-06-27T14:23:34.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2402944,R24,TXA,N01,21,22529,F,0,0.10,0.08,5,F,-38,9.75"
RX,2404459,R24,TXB,N16,11,24044,G,1,0.65,0.67,5.0,U,-47.0,9.75,True,,2026-06-27T14:23:35.762+00:00,/dev/cu.usbserial-576B0005451,"RX,2404459,R24,TXB,N16,11,24044,G,1,0.65,0.67,5,U,-47,9.75"
RX,2404944,R24,TXA,N01,23,24529,H,0,0.48,0.49,5.0,F,-38.0,9.5,True,,2026-06-27T14:23:36.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2404944,R24,TXA,N01,23,24529,H,0,0.48,0.49,5,F,-38,9.50"
RX,2405944,R24,TXA,N01,24,25529,A,1,0.9,0.91,5.0,F,-38.0,9.75,True,,2026-06-27T14:23:37.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2405944,R24,TXA,N01,24,25529,A,1,0.90,0.91,5,F,-38,9.75"
RX,2406459,R24,TXB,N16,12,26044,A,1,0.9,0.91,5.0,U,-47.0,10.0,True,,2026-06-27T14:23:37.762+00:00,/dev/cu.usbserial-576B0005451,"RX,2406459,R24,TXB,N16,12,26044,A,1,0.90,0.91,5,U,-47,10.00"
RX,2406944,R24,TXA,N01,25,26529,B,0,0.22,0.21,5.0,F,-38.0,9.5,True,,2026-06-27T14:23:38.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2406944,R24,TXA,N01,25,26529,B,0,0.22,0.21,5,F,-38,9.50"
RX,2407944,R24,TXA,N01,26,27529,C,1,0.82,0.77,5.0,F,-38.0,9.5,True,,2026-06-27T14:23:39.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2407944,R24,TXA,N01,26,27529,C,1,0.82,0.77,5,F,-38,9.50"
RX,2408459,R24,TXB,N16,13,28044,C,1,0.82,0.77,5.0,U,-48.0,9.5,True,,2026-06-27T14:23:39.762+00:00,/dev/cu.usbserial-576B0005451,"RX,2408459,R24,TXB,N16,13,28044,C,1,0.82,0.77,5,U,-48,9.50"
RX,2408944,R24,TXA,N01,27,28529,D,0,0.4,0.36,5.0,F,-37.0,9.75,True,,2026-06-27T14:23:40.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2408944,R24,TXA,N01,27,28529,D,0,0.40,0.36,5,F,-37,9.75"
RX,2409944,R24,TXA,N01,28,29529,E,1,0.72,0.74,5.0,F,-38.0,9.5,True,,2026-06-27T14:23:41.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2409944,R24,TXA,N01,28,29529,E,1,0.72,0.74,5,F,-38,9.50"
RX,2410459,R24,TXB,N16,14,30044,E,1,0.72,0.74,5.0,U,-48.0,9.75,True,,2026-06-27T14:23:41.762+00:00,/dev/cu.usbserial-576B0005451,"RX,2410459,R24,TXB,N16,14,30044,E,1,0.72,0.74,5,U,-48,9.75"
RX,2410944,R24,TXA,N01,29,30529,F,0,0.12,0.15,5.0,F,-39.0,9.75,True,,2026-06-27T14:23:42.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2410944,R24,TXA,N01,29,30529,F,0,0.12,0.15,5,F,-39,9.75"
RX,2411944,R24,TXA,N01,30,31529,G,1,0.69,0.63,5.0,F,-38.0,10.25,True,,2026-06-27T14:23:43.247+00:00,/dev/cu.usbserial-576B0005451,"RX,2411944,R24,TXA,N01,30,31529,G,1,0.69,0.63,5,F,-38,10.25"
RX,2412459,R24,TXB,N16,15,32044,G,1,0.69,0.63,5.0,U,-48.0,9.75,True,,2026-06-27T14:23:43.763+00:00,/dev/cu.usbserial-576B0005451,"RX,2412459,R24,TXB,N16,15,32044,G,1,0.69,0.63,5,U,-48,9.75"
