rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,29435,R25,TXA,N01,0,1529,A,1,0.95,0.92,5.0,F,-52.0,10.5,True,,2026-06-28T14:31:19.699+00:00,/dev/cu.usbserial-576B0005451,"RX,29435,R25,TXA,N01,0,1529,A,1,0.95,0.92,5,F,-52,10.50"
RX,29951,R25,TXB,N16,0,2044,A,1,0.95,0.92,5.0,U,-55.0,9.25,True,,2026-06-28T14:31:20.215+00:00,/dev/cu.usbserial-576B0005451,"RX,29951,R25,TXB,N16,0,2044,A,1,0.95,0.92,5,U,-55,9.25"
RX,30422,R25,TXA,N01,1,2529,B,0,0.2,0.18,5.0,F,-52.0,9.75,True,,2026-06-28T14:31:20.687+00:00,/dev/cu.usbserial-576B0005451,"RX,30422,R25,TXA,N01,1,2529,B,0,0.20,0.18,5,F,-52,9.75"
RX,31422,R25,TXA,N01,2,3529,C,1,0.88,0.84,5.0,F,-49.0,9.5,True,,2026-06-28T14:31:21.687+00:00,/dev/cu.usbserial-576B0005451,"RX,31422,R25,TXA,N01,2,3529,C,1,0.88,0.84,5,F,-49,9.50"
RX,31939,R25,TXB,N16,1,4044,C,1,0.88,0.84,5.0,U,-63.0,10.5,True,,2026-06-28T14:31:22.203+00:00,/dev/cu.usbserial-576B0005451,"RX,31939,R25,TXB,N16,1,4044,C,1,0.88,0.84,5,U,-63,10.50"
RX,32422,R25,TXA,N01,3,4529,D,0,0.35,0.42,5.0,F,-49.0,9.75,True,,2026-06-28T14:31:22.687+00:00,/dev/cu.usbserial-576B0005451,"RX,32422,R25,TXA,N01,3,4529,D,0,0.35,0.42,5,F,-49,9.75"
RX,33422,R25,TXA,N01,4,5529,E,1,0.75,0.79,5.0,F,-49.0,9.75,True,,2026-06-28T14:31:23.687+00:00,/dev/cu.usbserial-576B0005451,"RX,33422,R25,TXA,N01,4,5529,E,1,0.75,0.79,5,F,-49,9.75"
RX,33939,R25,TXB,N16,2,6044,E,1,0.75,0.79,5.0,U,-59.0,9.5,True,,2026-06-28T14:31:24.203+00:00,/dev/cu.usbserial-576B0005451,"RX,33939,R25,TXB,N16,2,6044,E,1,0.75,0.79,5,U,-59,9.50"
RX,34422,R25,TXA,N01,5,6529,F,0,0.1,0.08,5.0,F,-48.0,9.75,True,,2026-06-28T14:31:24.687+00:00,/dev/cu.usbserial-576B0005451,"RX,34422,R25,TXA,N01,5,6529,F,0,0.10,0.08,5,F,-48,9.75"
RX,35422,R25,TXA,N01,6,7529,G,1,0.65,0.67,5.0,F,-49.0,9.25,True,,2026-06-28T14:31:25.687+00:00,/dev/cu.usbserial-576B0005451,"RX,35422,R25,TXA,N01,6,7529,G,1,0.65,0.67,5,F,-49,9.25"
