rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,1538410,R31,TXD,N46,0,8630,G,1,0.93,0.9,5.0,U,-43.0,10.5,True,,2026-07-02T11:57:16.150+00:00,/dev/cu.usbserial-576B0005451,"RX,1538410,R31,TXD,N46,0,8630,G,1,0.93,0.90,5,U,-43,10.50"
RX,1546415,R31,TXD,N46,1,16630,G,1,0.93,0.9,5.0,U,-45.0,9.5,True,,2026-07-02T11:57:24.154+00:00,/dev/cu.usbserial-576B0005451,"RX,1546415,R31,TXD,N46,1,16630,G,1,0.93,0.90,5,U,-45,9.50"
RX,1554415,R31,TXD,N46,2,24630,G,0,0.93,0.9,5.0,U,-45.0,9.75,True,,2026-07-02T11:57:32.154+00:00,/dev/cu.usbserial-576B0005451,"RX,1554415,R31,TXD,N46,2,24630,G,0,0.93,0.90,5,U,-45,9.75"
RX,1562415,R31,TXD,N46,3,32630,G,1,0.93,0.9,5.0,U,-45.0,9.5,True,,2026-07-02T11:57:40.155+00:00,/dev/cu.usbserial-576B0005451,"RX,1562415,R31,TXD,N46,3,32630,G,1,0.93,0.90,5,U,-45,9.50"
RX,1570415,R31,TXD,N46,4,40630,G,1,0.93,0.9,5.0,U,-46.0,9.5,True,,2026-07-02T11:57:48.155+00:00,/dev/cu.usbserial-576B0005451,"RX,1570415,R31,TXD,N46,4,40630,G,1,0.93,0.90,5,U,-46,9.50"
RX,1578415,R31,TXD,N46,5,48630,G,0,0.93,0.9,5.0,U,-48.0,9.75,True,,2026-07-02T11:57:56.155+00:00,/dev/cu.usbserial-576B0005451,"RX,1578415,R31,TXD,N46,5,48630,G,0,0.93,0.90,5,U,-48,9.75"
RX,1586415,R31,TXD,N46,6,56630,G,1,0.93,0.9,5.0,U,-48.0,9.5,True,,2026-07-02T11:58:04.155+00:00,/dev/cu.usbserial-576B0005451,"RX,1586415,R31,TXD,N46,6,56630,G,1,0.93,0.90,5,U,-48,9.50"
RX,1602415,R31,TXD,N46,8,72630,G,1,0.93,0.9,5.0,U,-47.0,9.75,True,,2026-07-02T11:58:20.155+00:00,/dev/cu.usbserial-576B0005451,"RX,1602415,R31,TXD,N46,8,72630,G,1,0.93,0.90,5,U,-47,9.75"
RX,1610415,R31,TXD,N46,9,80630,G,1,0.93,0.9,5.0,U,-47.0,10.0,True,,2026-07-02T11:58:28.155+00:00,/dev/cu.usbserial-576B0005451,"RX,1610415,R31,TXD,N46,9,80630,G,1,0.93,0.90,5,U,-47,10.00"
RX,1618415,R31,TXD,N46,10,88630,G,0,0.93,0.9,5.0,U,-46.0,10.25,True,,2026-07-02T11:58:36.155+00:00,/dev/cu.usbserial-576B0005451,"RX,1618415,R31,TXD,N46,10,88630,G,0,0.93,0.90,5,U,-46,10.25"
RX,1626415,R31,TXD,N46,11,96630,G,1,0.93,0.9,5.0,U,-46.0,10.5,True,,2026-07-02T11:58:44.156+00:00,/dev/cu.usbserial-576B0005451,"RX,1626415,R31,TXD,N46,11,96630,G,1,0.93,0.90,5,U,-46,10.50"
RX,1634415,R31,TXD,N46,12,104630,G,1,0.93,0.9,5.0,U,-46.0,9.5,True,,2026-07-02T11:58:52.156+00:00,/dev/cu.usbserial-576B0005451,"RX,1634415,R31,TXD,N46,12,104630,G,1,0.93,0.90,5,U,-46,9.50"
RX,1642415,R31,TXD,N46,13,112630,G,0,0.93,0.9,5.0,U,-46.0,9.75,True,,2026-07-02T11:59:00.156+00:00,/dev/cu.usbserial-576B0005451,"RX,1642415,R31,TXD,N46,13,112630,G,0,0.93,0.90,5,U,-46,9.75"
RX,1650415,R31,TXD,N46,14,120630,G,1,0.93,0.9,5.0,U,-46.0,9.75,True,,2026-07-02T11:59:08.155+00:00,/dev/cu.usbserial-576B0005451,"RX,1650415,R31,TXD,N46,14,120630,G,1,0.93,0.90,5,U,-46,9.75"
RX,1658415,R31,TXD,N46,15,128630,G,1,0.93,0.9,5.0,U,-46.0,10.0,True,,2026-07-02T11:59:16.156+00:00,/dev/cu.usbserial-576B0005451,"RX,1658415,R31,TXD,N46,15,128630,G,1,0.93,0.90,5,U,-46,10.00"
RX,1666415,R31,TXD,N46,16,136630,G,1,0.93,0.9,5.0,U,-45.0,9.5,True,,2026-07-02T11:59:24.156+00:00,/dev/cu.usbserial-576B0005451,"RX,1666415,R31,TXD,N46,16,136630,G,1,0.93,0.90,5,U,-45,9.50"
RX,1674415,R31,TXD,N46,17,144630,G,1,0.93,0.9,5.0,U,-46.0,9.75,True,,2026-07-02T11:59:32.156+00:00,/dev/cu.usbserial-576B0005451,"RX,1674415,R31,TXD,N46,17,144630,G,1,0.93,0.90,5,U,-46,9.75"
RX,1682415,R31,TXD,N46,18,152630,G,0,0.93,0.9,5.0,U,-45.0,9.5,True,,2026-07-02T11:59:40.156+00:00,/dev/cu.usbserial-576B0005451,"RX,1682415,R31,TXD,N46,18,152630,G,0,0.93,0.90,5,U,-45,9.50"
RX,1690415,R31,TXD,N46,19,160630,G,1,0.93,0.9,5.0,U,-45.0,9.75,True,,2026-07-02T11:59:48.156+00:00,/dev/cu.usbserial-576B0005451,"RX,1690415,R31,TXD,N46,19,160630,G,1,0.93,0.90,5,U,-45,9.75"
RX,1698415,R31,TXD,N46,20,168630,G,1,0.93,0.9,5.0,U,-46.0,10.0,True,,2026-07-02T11:59:56.157+00:00,/dev/cu.usbserial-576B0005451,"RX,1698415,R31,TXD,N46,20,168630,G,1,0.93,0.90,5,U,-46,10.00"
RX,1706415,R31,TXD,N46,21,176630,G,0,0.93,0.9,5.0,U,-46.0,9.5,True,,2026-07-02T12:00:04.157+00:00,/dev/cu.usbserial-576B0005451,"RX,1706415,R31,TXD,N46,21,176630,G,0,0.93,0.90,5,U,-46,9.50"
RX,1714415,R31,TXD,N46,22,184630,G,1,0.93,0.9,5.0,U,-50.0,9.5,True,,2026-07-02T12:00:12.156+00:00,/dev/cu.usbserial-576B0005451,"RX,1714415,R31,TXD,N46,22,184630,G,1,0.93,0.90,5,U,-50,9.50"
RX,1722415,R31,TXD,N46,23,192630,G,1,0.93,0.9,5.0,U,-48.0,9.0,True,,2026-07-02T12:00:20.157+00:00,/dev/cu.usbserial-576B0005451,"RX,1722415,R31,TXD,N46,23,192630,G,1,0.93,0.90,5,U,-48,9.00"
RX,1730415,R31,TXD,N46,24,200630,G,1,0.93,0.9,5.0,U,-50.0,9.75,True,,2026-07-02T12:00:28.157+00:00,/dev/cu.usbserial-576B0005451,"RX,1730415,R31,TXD,N46,24,200630,G,1,0.93,0.90,5,U,-50,9.75"
RX,1738415,R31,TXD,N46,25,208630,G,1,0.93,0.9,5.0,U,-50.0,9.75,True,,2026-07-02T12:00:36.157+00:00,/dev/cu.usbserial-576B0005451,"RX,1738415,R31,TXD,N46,25,208630,G,1,0.93,0.90,5,U,-50,9.75"
RX,1746415,R31,TXD,N46,26,216630,G,0,0.93,0.9,5.0,U,-50.0,12.25,True,,2026-07-02T12:00:44.157+00:00,/dev/cu.usbserial-576B0005451,"RX,1746415,R31,TXD,N46,26,216630,G,0,0.93,0.90,5,U,-50,12.25"
RX,1754415,R31,TXD,N46,27,224630,G,1,0.93,0.9,5.0,U,-49.0,10.0,True,,2026-07-02T12:00:52.157+00:00,/dev/cu.usbserial-576B0005451,"RX,1754415,R31,TXD,N46,27,224630,G,1,0.93,0.90,5,U,-49,10.00"
