rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,16005,R33,TXA,N01,0,2627,A,1,0.75,0.72,5.0,F,-40.0,9.75,True,,2026-07-05T22:46:28.797+00:00,/dev/cu.usbserial-576B0005451,"RX,16005,R33,TXA,N01,0,2627,A,1,0.75,0.72,5,F,-40,9.75"
RX,17005,R33,TXA,N01,1,3627,B,0,0.2,0.18,5.0,F,-41.0,10.75,True,,2026-07-05T22:46:29.796+00:00,/dev/cu.usbserial-576B0005451,"RX,17005,R33,TXA,N01,1,3627,B,0,0.20,0.18,5,F,-41,10.75"
RX,18005,R33,TXA,N01,2,4627,C,1,0.81,0.78,5.0,F,-43.0,10.0,True,,2026-07-05T22:46:30.796+00:00,/dev/cu.usbserial-576B0005451,"RX,18005,R33,TXA,N01,2,4627,C,1,0.81,0.78,5,F,-43,10.00"
RX,18272,R33,TXB,N16,0,4893,A,1,0.75,0.72,5.0,U,-58.0,9.5,True,,2026-07-05T22:46:31.063+00:00,/dev/cu.usbserial-576B0005451,"RX,18272,R33,TXB,N16,0,4893,A,1,0.75,0.72,5,U,-58,9.50"
RX,19005,R33,TXA,N01,3,5627,D,1,0.24,0.22,5.0,F,-44.0,9.5,True,,2026-07-05T22:46:31.796+00:00,/dev/cu.usbserial-576B0005451,"RX,19005,R33,TXA,N01,3,5627,D,1,0.24,0.22,5,F,-44,9.50"
RX,20005,R33,TXA,N01,4,6627,E,0,0.87,0.84,5.0,F,-44.0,9.75,True,,2026-07-05T22:46:32.796+00:00,/dev/cu.usbserial-576B0005451,"RX,20005,R33,TXA,N01,4,6627,E,0,0.87,0.84,5,F,-44,9.75"
RX,20271,R33,TXB,N16,1,6893,C,1,0.81,0.78,5.0,U,-59.0,9.75,True,,2026-07-05T22:46:33.063+00:00,/dev/cu.usbserial-576B0005451,"RX,20271,R33,TXB,N16,1,6893,C,1,0.81,0.78,5,U,-59,9.75"
RX,21004,R33,TXA,N01,5,7627,F,1,0.28,0.26,5.0,F,-44.0,10.5,True,,2026-07-05T22:46:33.796+00:00,/dev/cu.usbserial-576B0005451,"RX,21004,R33,TXA,N01,5,7627,F,1,0.28,0.26,5,F,-44,10.50"
RX,21119,R33,TXH,N106,0,7742,G,1,0.93,0.9,5.0,U,-45.0,9.25,True,,2026-07-05T22:46:33.911+00:00,/dev/cu.usbserial-576B0005451,"RX,21119,R33,TXH,N106,0,7742,G,1,0.93,0.90,5,U,-45,9.25"
RX,21908,R33,TXD,N46,0,8530,G,1,0.93,0.9,5.0,U,-49.0,9.5,True,,2026-07-05T22:46:34.699+00:00,/dev/cu.usbserial-576B0005451,"RX,21908,R33,TXD,N46,0,8530,G,1,0.93,0.90,5,U,-49,9.50"
RX,22004,R33,TXA,N01,6,8627,G,1,0.93,0.9,5.0,F,-44.0,9.75,True,,2026-07-05T22:46:34.796+00:00,/dev/cu.usbserial-576B0005451,"RX,22004,R33,TXA,N01,6,8627,G,1,0.93,0.90,5,F,-44,9.75"
RX,22271,R33,TXB,N16,2,8893,E,0,0.87,0.84,5.0,U,-59.0,10.0,True,,2026-07-05T22:46:35.063+00:00,/dev/cu.usbserial-576B0005451,"RX,22271,R33,TXB,N16,2,8893,E,0,0.87,0.84,5,U,-59,10.00"
RX,22753,R33,TXE,N61,0,9379,A,1,0.75,0.72,5.0,U,-46.0,10.25,True,,2026-07-05T22:46:35.544+00:00,/dev/cu.usbserial-576B0005451,"RX,22753,R33,TXE,N61,0,9379,A,1,0.75,0.72,5,U,-46,10.25"
RX,23005,R33,TXA,N01,7,9627,H,0,0.32,0.3,5.0,F,-44.0,10.0,True,,2026-07-05T22:46:35.796+00:00,/dev/cu.usbserial-576B0005451,"RX,23005,R33,TXA,N01,7,9627,H,0,0.32,0.30,5,F,-44,10.00"
RX,23509,R33,TXF,N76,1,10131,G,1,0.93,0.9,5.0,U,-49.0,9.25,True,,2026-07-05T22:46:36.301+00:00,/dev/cu.usbserial-576B0005451,"RX,23509,R33,TXF,N76,1,10131,G,1,0.93,0.90,5,U,-49,9.25"
RX,23764,R33,TXC,N31,0,10381,E,0,0.87,0.84,5.0,U,-42.0,9.5,True,,2026-07-05T22:46:36.555+00:00,/dev/cu.usbserial-576B0005451,"RX,23764,R33,TXC,N31,0,10381,E,0,0.87,0.84,5,U,-42,9.50"
RX,24010,R33,TXA,N01,8,10627,A,1,0.75,0.72,5.0,F,-45.0,9.5,True,,2026-07-05T22:46:36.802+00:00,/dev/cu.usbserial-576B0005451,"RX,24010,R33,TXA,N01,8,10627,A,1,0.75,0.72,5,F,-45,9.50"
RX,24276,R33,TXB,N16,3,10893,G,1,0.93,0.9,5.0,U,-60.0,9.5,True,,2026-07-05T22:46:37.068+00:00,/dev/cu.usbserial-576B0005451,"RX,24276,R33,TXB,N16,3,10893,G,1,0.93,0.90,5,U,-60,9.50"
RX,24757,R33,TXE,N61,1,11379,C,1,0.81,0.78,5.0,U,-47.0,9.75,True,,2026-07-05T22:46:37.548+00:00,/dev/cu.usbserial-576B0005451,"RX,24757,R33,TXE,N61,1,11379,C,1,0.81,0.78,5,U,-47,9.75"
RX,25010,R33,TXA,N01,9,11627,B,1,0.2,0.18,5.0,F,-45.0,9.75,True,,2026-07-05T22:46:37.802+00:00,/dev/cu.usbserial-576B0005451,"RX,25010,R33,TXA,N01,9,11627,B,1,0.20,0.18,5,F,-45,9.75"
RX,25763,R33,TXC,N31,1,12381,G,1,0.93,0.9,5.0,U,-42.0,9.5,True,,2026-07-05T22:46:38.555+00:00,/dev/cu.usbserial-576B0005451,"RX,25763,R33,TXC,N31,1,12381,G,1,0.93,0.90,5,U,-42,9.50"
RX,26010,R33,TXA,N01,10,12627,C,0,0.81,0.78,5.0,F,-45.0,10.0,True,,2026-07-05T22:46:38.802+00:00,/dev/cu.usbserial-576B0005451,"RX,26010,R33,TXA,N01,10,12627,C,0,0.81,0.78,5,F,-45,10.00"
RX,26276,R33,TXB,N16,4,12893,A,1,0.75,0.72,5.0,U,-60.0,9.5,True,,2026-07-05T22:46:39.068+00:00,/dev/cu.usbserial-576B0005451,"RX,26276,R33,TXB,N16,4,12893,A,1,0.75,0.72,5,U,-60,9.50"
RX,26757,R33,TXE,N61,2,13379,E,0,0.87,0.84,5.0,U,-47.0,9.75,True,,2026-07-05T22:46:39.549+00:00,/dev/cu.usbserial-576B0005451,"RX,26757,R33,TXE,N61,2,13379,E,0,0.87,0.84,5,U,-47,9.75"
RX,27010,R33,TXA,N01,11,13627,D,1,0.24,0.22,5.0,F,-44.0,9.75,True,,2026-07-05T22:46:39.802+00:00,/dev/cu.usbserial-576B0005451,"RX,27010,R33,TXA,N01,11,13627,D,1,0.24,0.22,5,F,-44,9.75"
RX,28010,R33,TXA,N01,12,14627,E,1,0.87,0.84,5.0,F,-44.0,10.25,True,,2026-07-05T22:46:40.802+00:00,/dev/cu.usbserial-576B0005451,"RX,28010,R33,TXA,N01,12,14627,E,1,0.87,0.84,5,F,-44,10.25"
RX,28276,R33,TXB,N16,5,14893,C,0,0.81,0.78,5.0,U,-60.0,9.25,True,,2026-07-05T22:46:41.068+00:00,/dev/cu.usbserial-576B0005451,"RX,28276,R33,TXB,N16,5,14893,C,0,0.81,0.78,5,U,-60,9.25"
RX,28757,R33,TXE,N61,3,15379,G,1,0.93,0.9,5.0,U,-47.0,9.5,True,,2026-07-05T22:46:41.548+00:00,/dev/cu.usbserial-576B0005451,"RX,28757,R33,TXE,N61,3,15379,G,1,0.93,0.90,5,U,-47,9.50"
