rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,63548,R35,TXK,N151,0,1764,A,1,0.75,0.72,5.0,U,-72.0,9.5,True,,2026-07-09T14:19:46.771+00:00,/dev/cu.usbserial-576B0005451,"RX,63548,R35,TXK,N151,0,1764,A,1,0.75,0.72,5,U,-72,9.50"
RX,64402,R35,TXA,N01,0,2627,A,1,0.75,0.72,5.0,F,-87.0,9.75,True,,2026-07-09T14:19:47.624+00:00,/dev/cu.usbserial-576B0005451,"RX,64402,R35,TXA,N01,0,2627,A,1,0.75,0.72,5,F,-87,9.75"
RX,65402,R35,TXA,N01,1,3627,B,0,0.2,0.18,5.0,F,-83.0,9.75,True,,2026-07-09T14:19:48.625+00:00,/dev/cu.usbserial-576B0005451,"RX,65402,R35,TXA,N01,1,3627,B,0,0.20,0.18,5,F,-83,9.75"
RX,65547,R35,TXK,N151,1,3763,C,1,0.81,0.78,5.0,U,-71.0,9.25,True,,2026-07-09T14:19:48.769+00:00,/dev/cu.usbserial-576B0005451,"RX,65547,R35,TXK,N151,1,3763,C,1,0.81,0.78,5,U,-71,9.25"
RX,66402,R35,TXA,N01,2,4627,C,1,0.81,0.78,5.0,F,-84.0,10.0,True,,2026-07-09T14:19:49.624+00:00,/dev/cu.usbserial-576B0005451,"RX,66402,R35,TXA,N01,2,4627,C,1,0.81,0.78,5,F,-84,10.00"
RX,66669,R35,TXB,N16,0,4893,A,1,0.75,0.72,5.0,U,-83.0,10.0,True,,2026-07-09T14:19:49.891+00:00,/dev/cu.usbserial-576B0005451,"RX,66669,R35,TXB,N16,0,4893,A,1,0.75,0.72,5,U,-83,10.00"
RX,67402,R35,TXA,N01,3,5627,D,1,0.24,0.22,5.0,F,-88.0,9.5,True,,2026-07-09T14:19:50.624+00:00,/dev/cu.usbserial-576B0005451,"RX,67402,R35,TXA,N01,3,5627,D,1,0.24,0.22,5,F,-88,9.50"
RX,67547,R35,TXK,N151,2,5763,E,0,0.87,0.84,5.0,U,-73.0,9.25,True,,2026-07-09T14:19:50.769+00:00,/dev/cu.usbserial-576B0005451,"RX,67547,R35,TXK,N151,2,5763,E,0,0.87,0.84,5,U,-73,9.25"
RX,68402,R35,TXA,N01,4,6627,E,0,0.87,0.84,5.0,F,-92.0,10.0,True,,2026-07-09T14:19:51.624+00:00,/dev/cu.usbserial-576B0005451,"RX,68402,R35,TXA,N01,4,6627,E,0,0.87,0.84,5,F,-92,10.00"
RX,68668,R35,TXB,N16,1,6893,C,1,0.81,0.78,5.0,U,-85.0,10.5,True,,2026-07-09T14:19:51.891+00:00,/dev/cu.usbserial-576B0005451,"RX,68668,R35,TXB,N16,1,6893,C,1,0.81,0.78,5,U,-85,10.50"
RX,69402,R35,TXA,N01,5,7627,F,1,0.28,0.26,5.0,F,-87.0,10.25,True,,2026-07-09T14:19:52.624+00:00,/dev/cu.usbserial-576B0005451,"RX,69402,R35,TXA,N01,5,7627,F,1,0.28,0.26,5,F,-87,10.25"
RX,69701,R35,TXL,N166,0,7917,G,1,0.93,0.9,5.0,U,-88.0,9.25,True,,2026-07-09T14:19:52.923+00:00,/dev/cu.usbserial-576B0005451,"RX,69701,R35,TXL,N166,0,7917,G,1,0.93,0.90,5,U,-88,9.25"
RX,69901,R35,TXF,N76,0,8131,E,0,0.87,0.84,5.0,U,-79.0,10.0,True,,2026-07-09T14:19:53.124+00:00,/dev/cu.usbserial-576B0005451,"RX,69901,R35,TXF,N76,0,8131,E,0,0.87,0.84,5,U,-79,10.00"
RX,70206,R35,TXD,N46,0,8431,G,1,0.93,0.9,5.0,U,-71.0,10.25,True,,2026-07-09T14:19:53.428+00:00,/dev/cu.usbserial-576B0005451,"RX,70206,R35,TXD,N46,0,8431,G,1,0.93,0.90,5,U,-71,10.25"
RX,70402,R35,TXA,N01,6,8627,G,1,0.93,0.9,5.0,F,-96.0,9.25,True,,2026-07-09T14:19:53.624+00:00,/dev/cu.usbserial-576B0005451,"RX,70402,R35,TXA,N01,6,8627,G,1,0.93,0.90,5,F,-96,9.25"
RX,70669,R35,TXB,N16,2,8893,E,0,0.87,0.84,5.0,U,-84.0,10.5,True,,2026-07-09T14:19:53.891+00:00,/dev/cu.usbserial-576B0005451,"RX,70669,R35,TXB,N16,2,8893,E,0,0.87,0.84,5,U,-84,10.50"
RX,71153,R35,TXE,N61,0,9382,A,1,0.75,0.72,5.0,U,-77.0,10.25,True,,2026-07-09T14:19:54.375+00:00,/dev/cu.usbserial-576B0005451,"RX,71153,R35,TXE,N61,0,9382,A,1,0.75,0.72,5,U,-77,10.25"
RX,71402,R35,TXA,N01,7,9627,H,0,0.32,0.3,5.0,F,-81.0,10.0,True,,2026-07-09T14:19:54.624+00:00,/dev/cu.usbserial-576B0005451,"RX,71402,R35,TXA,N01,7,9627,H,0,0.32,0.30,5,F,-81,10.00"
RX,71547,R35,TXK,N151,4,9763,A,1,0.75,0.72,5.0,U,-73.0,9.5,True,,2026-07-09T14:19:54.769+00:00,/dev/cu.usbserial-576B0005451,"RX,71547,R35,TXK,N151,4,9763,A,1,0.75,0.72,5,U,-73,9.50"
RX,71906,R35,TXF,N76,1,10131,G,1,0.93,0.9,5.0,U,-82.0,9.25,True,,2026-07-09T14:19:55.128+00:00,/dev/cu.usbserial-576B0005451,"RX,71906,R35,TXF,N76,1,10131,G,1,0.93,0.90,5,U,-82,9.25"
RX,72161,R35,TXC,N31,0,10381,E,0,0.87,0.84,5.0,U,-75.0,9.25,True,,2026-07-09T14:19:55.383+00:00,/dev/cu.usbserial-576B0005451,"RX,72161,R35,TXC,N31,0,10381,E,0,0.87,0.84,5,U,-75,9.25"
RX,72407,R35,TXA,N01,8,10627,A,1,0.75,0.72,5.0,F,-81.0,9.5,True,,2026-07-09T14:19:55.629+00:00,/dev/cu.usbserial-576B0005451,"RX,72407,R35,TXA,N01,8,10627,A,1,0.75,0.72,5,F,-81,9.50"
RX,72674,R35,TXB,N16,3,10893,G,1,0.93,0.9,5.0,U,-86.0,9.75,True,,2026-07-09T14:19:55.896+00:00,/dev/cu.usbserial-576B0005451,"RX,72674,R35,TXB,N16,3,10893,G,1,0.93,0.90,5,U,-86,9.75"
RX,73157,R35,TXE,N61,1,11382,C,1,0.81,0.78,5.0,U,-77.0,9.75,True,,2026-07-09T14:19:56.380+00:00,/dev/cu.usbserial-576B0005451,"RX,73157,R35,TXE,N61,1,11382,C,1,0.81,0.78,5,U,-77,9.75"
RX,73265,R35,TXI,N121,0,11481,E,0,0.87,0.84,5.0,U,-75.0,9.75,True,,2026-07-09T14:19:56.488+00:00,/dev/cu.usbserial-576B0005451,"RX,73265,R35,TXI,N121,0,11481,E,0,0.87,0.84,5,U,-75,9.75"
