rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,75206,R35,TXK,N151,0,1764,A,1,0.75,0.72,5.0,U,-66.0,9.25,True,,2026-07-09T14:19:46.771+00:00,/dev/cu.usbserial-58870137921,"RX,75206,R35,TXK,N151,0,1764,A,1,0.75,0.72,5,U,-66,9.25"
RX,76060,R35,TXA,N01,0,2627,A,1,0.75,0.72,5.0,F,-81.0,9.5,True,,2026-07-09T14:19:47.624+00:00,/dev/cu.usbserial-58870137921,"RX,76060,R35,TXA,N01,0,2627,A,1,0.75,0.72,5,F,-81,9.50"
RX,77060,R35,TXA,N01,1,3627,B,0,0.2,0.18,5.0,F,-81.0,9.5,True,,2026-07-09T14:19:48.626+00:00,/dev/cu.usbserial-58870137921,"RX,77060,R35,TXA,N01,1,3627,B,0,0.20,0.18,5,F,-81,9.50"
RX,77205,R35,TXK,N151,1,3763,C,1,0.81,0.78,5.0,U,-65.0,9.5,True,,2026-07-09T14:19:48.769+00:00,/dev/cu.usbserial-58870137921,"RX,77205,R35,TXK,N151,1,3763,C,1,0.81,0.78,5,U,-65,9.50"
RX,78060,R35,TXA,N01,2,4627,C,1,0.81,0.78,5.0,F,-82.0,10.0,True,,2026-07-09T14:19:49.624+00:00,/dev/cu.usbserial-58870137921,"RX,78060,R35,TXA,N01,2,4627,C,1,0.81,0.78,5,F,-82,10.00"
RX,78327,R35,TXB,N16,0,4893,A,1,0.75,0.72,5.0,U,-81.0,9.75,True,,2026-07-09T14:19:49.891+00:00,/dev/cu.usbserial-58870137921,"RX,78327,R35,TXB,N16,0,4893,A,1,0.75,0.72,5,U,-81,9.75"
RX,79060,R35,TXA,N01,3,5627,D,1,0.24,0.22,5.0,F,-85.0,10.0,True,,2026-07-09T14:19:50.624+00:00,/dev/cu.usbserial-58870137921,"RX,79060,R35,TXA,N01,3,5627,D,1,0.24,0.22,5,F,-85,10.00"
RX,79205,R35,TXK,N151,2,5763,E,0,0.87,0.84,5.0,U,-66.0,9.25,True,,2026-07-09T14:19:50.769+00:00,/dev/cu.usbserial-58870137921,"RX,79205,R35,TXK,N151,2,5763,E,0,0.87,0.84,5,U,-66,9.25"
RX,80060,R35,TXA,N01,4,6627,E,0,0.87,0.84,5.0,F,-83.0,10.0,True,,2026-07-09T14:19:51.624+00:00,/dev/cu.usbserial-58870137921,"RX,80060,R35,TXA,N01,4,6627,E,0,0.87,0.84,5,F,-83,10.00"
RX,80327,R35,TXB,N16,1,6893,C,1,0.81,0.78,5.0,U,-85.0,10.0,True,,2026-07-09T14:19:51.891+00:00,/dev/cu.usbserial-58870137921,"RX,80327,R35,TXB,N16,1,6893,C,1,0.81,0.78,5,U,-85,10.00"
