rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,539654,R35,TXK,N151,0,1763,A,1,0.75,0.72,5.0,U,-49.0,9.25,True,,2026-07-11T13:58:04.146+00:00,/dev/cu.usbserial-58870137921,"RX,539654,R35,TXK,N151,0,1763,A,1,0.75,0.72,5,U,-49,9.25"
RX,540509,R35,TXA,N01,0,2626,A,1,0.75,0.72,5.0,F,-37.0,9.0,True,,2026-07-11T13:58:05.001+00:00,/dev/cu.usbserial-58870137921,"RX,540509,R35,TXA,N01,0,2626,A,1,0.75,0.72,5,F,-37,9.00"
RX,541508,R35,TXA,N01,1,3626,B,0,0.2,0.18,5.0,F,-36.0,9.75,True,,2026-07-11T13:58:05.999+00:00,/dev/cu.usbserial-58870137921,"RX,541508,R35,TXA,N01,1,3626,B,0,0.20,0.18,5,F,-36,9.75"
RX,541653,R35,TXK,N151,1,3762,C,1,0.81,0.78,5.0,U,-51.0,9.5,True,,2026-07-11T13:58:06.144+00:00,/dev/cu.usbserial-58870137921,"RX,541653,R35,TXK,N151,1,3762,C,1,0.81,0.78,5,U,-51,9.50"
RX,542508,R35,TXA,N01,2,4626,C,1,0.81,0.78,5.0,F,-36.0,10.25,True,,2026-07-11T13:58:07.000+00:00,/dev/cu.usbserial-58870137921,"RX,542508,R35,TXA,N01,2,4626,C,1,0.81,0.78,5,F,-36,10.25"
RX,542776,R35,TXB,N16,0,4892,A,1,0.75,0.72,5.0,U,-55.0,10.0,True,,2026-07-11T13:58:07.267+00:00,/dev/cu.usbserial-58870137921,"RX,542776,R35,TXB,N16,0,4892,A,1,0.75,0.72,5,U,-55,10.00"
RX,543508,R35,TXA,N01,3,5626,D,1,0.24,0.22,5.0,F,-35.0,9.75,True,,2026-07-11T13:58:08.000+00:00,/dev/cu.usbserial-58870137921,"RX,543508,R35,TXA,N01,3,5626,D,1,0.24,0.22,5,F,-35,9.75"
RX,543653,R35,TXK,N151,2,5762,E,0,0.87,0.84,5.0,U,-51.0,9.5,True,,2026-07-11T13:58:08.144+00:00,/dev/cu.usbserial-58870137921,"RX,543653,R35,TXK,N151,2,5762,E,0,0.87,0.84,5,U,-51,9.50"
RX,544508,R35,TXA,N01,4,6626,E,0,0.87,0.84,5.0,F,-36.0,9.75,True,,2026-07-11T13:58:08.999+00:00,/dev/cu.usbserial-58870137921,"RX,544508,R35,TXA,N01,4,6626,E,0,0.87,0.84,5,F,-36,9.75"
RX,544775,R35,TXB,N16,1,6892,C,1,0.81,0.78,5.0,U,-55.0,10.25,True,,2026-07-11T13:58:09.266+00:00,/dev/cu.usbserial-58870137921,"RX,544775,R35,TXB,N16,1,6892,C,1,0.81,0.78,5,U,-55,10.25"
RX,545508,R35,TXA,N01,5,7626,F,1,0.28,0.26,5.0,F,-36.0,10.25,True,,2026-07-11T13:58:10.000+00:00,/dev/cu.usbserial-58870137921,"RX,545508,R35,TXA,N01,5,7626,F,1,0.28,0.26,5,F,-36,10.25"
RX,545625,R35,TXH,N106,0,7743,G,1,0.93,0.9,5.0,U,-37.0,4.25,True,,2026-07-11T13:58:10.117+00:00,/dev/cu.usbserial-58870137921,"RX,545625,R35,TXH,N106,0,7743,G,1,0.93,0.90,5,U,-37,4.25"
