rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,2777714,R35,TXK,N151,0,1763,A,1,0.75,0.72,5.0,U,-54.0,9.25,True,,2026-07-11T14:34:51.307+00:00,/dev/cu.usbserial-58870138231,"RX,2777714,R35,TXK,N151,0,1763,A,1,0.75,0.72,5,U,-54,9.25"
RX,2778568,R35,TXA,N01,0,2627,A,1,0.75,0.72,5.0,F,-44.0,9.75,True,,2026-07-11T14:34:52.161+00:00,/dev/cu.usbserial-58870138231,"RX,2778568,R35,TXA,N01,0,2627,A,1,0.75,0.72,5,F,-44,9.75"
RX,2779567,R35,TXA,N01,1,3626,B,0,0.2,0.18,5.0,F,-43.0,10.0,True,,2026-07-11T14:34:53.160+00:00,/dev/cu.usbserial-58870138231,"RX,2779567,R35,TXA,N01,1,3626,B,0,0.20,0.18,5,F,-43,10.00"
RX,2779714,R35,TXK,N151,1,3763,C,1,0.81,0.78,5.0,U,-52.0,9.5,True,,2026-07-11T14:34:53.306+00:00,/dev/cu.usbserial-58870138231,"RX,2779714,R35,TXK,N151,1,3763,C,1,0.81,0.78,5,U,-52,9.50"
RX,2780567,R35,TXA,N01,2,4626,C,1,0.81,0.78,5.0,F,-44.0,10.25,True,,2026-07-11T14:34:54.160+00:00,/dev/cu.usbserial-58870138231,"RX,2780567,R35,TXA,N01,2,4626,C,1,0.81,0.78,5,F,-44,10.25"
RX,2780835,R35,TXB,N16,0,4893,A,1,0.75,0.72,5.0,U,-58.0,9.75,True,,2026-07-11T14:34:54.428+00:00,/dev/cu.usbserial-58870138231,"RX,2780835,R35,TXB,N16,0,4893,A,1,0.75,0.72,5,U,-58,9.75"
RX,2781567,R35,TXA,N01,3,5626,D,1,0.24,0.22,5.0,F,-40.0,9.75,True,,2026-07-11T14:34:55.160+00:00,/dev/cu.usbserial-58870138231,"RX,2781567,R35,TXA,N01,3,5626,D,1,0.24,0.22,5,F,-40,9.75"
RX,2781714,R35,TXK,N151,2,5763,E,0,0.87,0.84,5.0,U,-49.0,9.5,True,,2026-07-11T14:34:55.306+00:00,/dev/cu.usbserial-58870138231,"RX,2781714,R35,TXK,N151,2,5763,E,0,0.87,0.84,5,U,-49,9.50"
RX,2782567,R35,TXA,N01,4,6626,E,0,0.87,0.84,5.0,F,-42.0,10.0,True,,2026-07-11T14:34:56.160+00:00,/dev/cu.usbserial-58870138231,"RX,2782567,R35,TXA,N01,4,6626,E,0,0.87,0.84,5,F,-42,10.00"
RX,2782835,R35,TXB,N16,1,6893,C,1,0.81,0.78,5.0,U,-54.0,10.25,True,,2026-07-11T14:34:56.428+00:00,/dev/cu.usbserial-58870138231,"RX,2782835,R35,TXB,N16,1,6893,C,1,0.81,0.78,5,U,-54,10.25"
RX,2783567,R35,TXA,N01,5,7626,F,1,0.28,0.26,5.0,F,-41.0,10.25,True,,2026-07-11T14:34:57.160+00:00,/dev/cu.usbserial-58870138231,"RX,2783567,R35,TXA,N01,5,7626,F,1,0.28,0.26,5,F,-41,10.25"
RX,2783683,R35,TXH,N106,0,7742,G,1,0.93,0.9,5.0,U,-40.0,3.75,True,,2026-07-11T14:34:57.276+00:00,/dev/cu.usbserial-58870138231,"RX,2783683,R35,TXH,N106,0,7742,G,1,0.93,0.90,5,U,-40,3.75"
RX,2783866,R35,TXL,N166,0,7916,G,1,0.93,0.9,5.0,U,-57.0,9.5,True,,2026-07-11T14:34:57.459+00:00,/dev/cu.usbserial-58870138231,"RX,2783866,R35,TXL,N166,0,7916,G,1,0.93,0.90,5,U,-57,9.50"
RX,2784068,R35,TXF,N76,0,8131,E,0,0.87,0.84,5.0,U,-51.0,10.0,True,,2026-07-11T14:34:57.661+00:00,/dev/cu.usbserial-58870138231,"RX,2784068,R35,TXF,N76,0,8131,E,0,0.87,0.84,5,U,-51,10.00"
RX,2784372,R35,TXD,N46,0,8431,G,1,0.93,0.9,5.0,U,-46.0,10.25,True,,2026-07-11T14:34:57.965+00:00,/dev/cu.usbserial-58870138231,"RX,2784372,R35,TXD,N46,0,8431,G,1,0.93,0.90,5,U,-46,10.25"
RX,2784567,R35,TXA,N01,6,8626,G,1,0.93,0.9,5.0,F,-41.0,9.5,True,,2026-07-11T14:34:58.160+00:00,/dev/cu.usbserial-58870138231,"RX,2784567,R35,TXA,N01,6,8626,G,1,0.93,0.90,5,F,-41,9.50"
