rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,3825317,R35,TXK,N151,0,1763,A,1,0.75,0.72,5.0,U,-68.0,9.25,True,,2026-07-11T14:51:55.722+00:00,/dev/cu.usbserial-576B0005451,"RX,3825317,R35,TXK,N151,0,1763,A,1,0.75,0.72,5,U,-68,9.25"
RX,3826171,R35,TXA,N01,0,2627,A,1,0.75,0.72,5.0,F,-73.0,9.5,True,,2026-07-11T14:51:56.576+00:00,/dev/cu.usbserial-576B0005451,"RX,3826171,R35,TXA,N01,0,2627,A,1,0.75,0.72,5,F,-73,9.50"
RX,3827169,R35,TXA,N01,1,3626,B,0,0.2,0.18,5.0,F,-74.0,9.25,True,,2026-07-11T14:51:57.575+00:00,/dev/cu.usbserial-576B0005451,"RX,3827169,R35,TXA,N01,1,3626,B,0,0.20,0.18,5,F,-74,9.25"
RX,3827316,R35,TXK,N151,1,3763,C,1,0.81,0.78,5.0,U,-68.0,9.5,True,,2026-07-11T14:51:57.721+00:00,/dev/cu.usbserial-576B0005451,"RX,3827316,R35,TXK,N151,1,3763,C,1,0.81,0.78,5,U,-68,9.50"
RX,3828169,R35,TXA,N01,2,4626,C,1,0.81,0.78,5.0,F,-72.0,10.25,True,,2026-07-11T14:51:58.575+00:00,/dev/cu.usbserial-576B0005451,"RX,3828169,R35,TXA,N01,2,4626,C,1,0.81,0.78,5,F,-72,10.25"
RX,3828438,R35,TXB,N16,0,4893,A,1,0.75,0.72,5.0,U,-87.0,9.0,True,,2026-07-11T14:51:58.843+00:00,/dev/cu.usbserial-576B0005451,"RX,3828438,R35,TXB,N16,0,4893,A,1,0.75,0.72,5,U,-87,9.00"
RX,3829169,R35,TXA,N01,3,5626,D,1,0.24,0.22,5.0,F,-74.0,9.25,True,,2026-07-11T14:51:59.575+00:00,/dev/cu.usbserial-576B0005451,"RX,3829169,R35,TXA,N01,3,5626,D,1,0.24,0.22,5,F,-74,9.25"
RX,3829316,R35,TXK,N151,2,5763,E,0,0.87,0.84,5.0,U,-68.0,9.5,True,,2026-07-11T14:51:59.721+00:00,/dev/cu.usbserial-576B0005451,"RX,3829316,R35,TXK,N151,2,5763,E,0,0.87,0.84,5,U,-68,9.50"
RX,3830169,R35,TXA,N01,4,6626,E,0,0.87,0.84,5.0,F,-74.0,9.5,True,,2026-07-11T14:52:00.575+00:00,/dev/cu.usbserial-576B0005451,"RX,3830169,R35,TXA,N01,4,6626,E,0,0.87,0.84,5,F,-74,9.50"
RX,3830437,R35,TXB,N16,1,6893,C,1,0.81,0.78,5.0,U,-94.0,6.0,True,,2026-07-11T14:52:00.843+00:00,/dev/cu.usbserial-576B0005451,"RX,3830437,R35,TXB,N16,1,6893,C,1,0.81,0.78,5,U,-94,6.00"
RX,3831169,R35,TXA,N01,5,7626,F,1,0.28,0.26,5.0,F,-76.0,10.0,True,,2026-07-11T14:52:01.575+00:00,/dev/cu.usbserial-576B0005451,"RX,3831169,R35,TXA,N01,5,7626,F,1,0.28,0.26,5,F,-76,10.00"
RX,3831285,R35,TXH,N106,0,7742,G,1,0.93,0.9,5.0,U,-60.0,0.75,True,,2026-07-11T14:52:01.691+00:00,/dev/cu.usbserial-576B0005451,"RX,3831285,R35,TXH,N106,0,7742,G,1,0.93,0.90,5,U,-60,0.75"
RX,3831469,R35,TXL,N166,0,7916,G,1,0.93,0.9,5.0,U,-70.0,9.25,True,,2026-07-11T14:52:01.874+00:00,/dev/cu.usbserial-576B0005451,"RX,3831469,R35,TXL,N166,0,7916,G,1,0.93,0.90,5,U,-70,9.25"
