rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,162934,R35,TXK,N151,0,1764,A,1,0.75,0.72,5.0,U,-105.0,3.75,True,,2026-07-13T13:23:04.469+00:00,/dev/cu.usbserial-58870138231,"RX,162934,R35,TXK,N151,0,1764,A,1,0.75,0.72,5,U,-105,3.75"
RX,163787,R35,TXA,N01,0,2627,A,1,0.75,0.72,5.0,F,-101.0,2.0,True,,2026-07-13T13:23:05.322+00:00,/dev/cu.usbserial-58870138231,"RX,163787,R35,TXA,N01,0,2627,A,1,0.75,0.72,5,F,-101,2.00"
RX,164787,R35,TXA,N01,1,3627,B,0,0.2,0.18,5.0,F,-103.0,6.25,True,,2026-07-13T13:23:06.321+00:00,/dev/cu.usbserial-58870138231,"RX,164787,R35,TXA,N01,1,3627,B,0,0.20,0.18,5,F,-103,6.25"
RX,164933,R35,TXK,N151,1,3764,C,1,0.81,0.78,5.0,U,-104.0,5.0,True,,2026-07-13T13:23:06.468+00:00,/dev/cu.usbserial-58870138231,"RX,164933,R35,TXK,N151,1,3764,C,1,0.81,0.78,5,U,-104,5.00"
RX,165787,R35,TXA,N01,2,4627,C,1,0.81,0.78,5.0,F,-104.0,5.5,True,,2026-07-13T13:23:07.322+00:00,/dev/cu.usbserial-58870138231,"RX,165787,R35,TXA,N01,2,4627,C,1,0.81,0.78,5,F,-104,5.50"
RX,166054,R35,TXB,N16,0,4893,A,1,0.75,0.72,5.0,U,-110.0,-5.75,True,,2026-07-13T13:23:07.590+00:00,/dev/cu.usbserial-58870138231,"RX,166054,R35,TXB,N16,0,4893,A,1,0.75,0.72,5,U,-110,-5.75"
RX,166787,R35,TXA,N01,3,5627,D,1,0.24,0.22,5.0,F,-103.0,6.0,True,,2026-07-13T13:23:08.322+00:00,/dev/cu.usbserial-58870138231,"RX,166787,R35,TXA,N01,3,5627,D,1,0.24,0.22,5,F,-103,6.00"
RX,166933,R35,TXK,N151,2,5764,E,0,0.87,0.84,5.0,U,-106.0,3.5,True,,2026-07-13T13:23:08.468+00:00,/dev/cu.usbserial-58870138231,"RX,166933,R35,TXK,N151,2,5764,E,0,0.87,0.84,5,U,-106,3.50"
RX,167787,R35,TXA,N01,4,6627,E,0,0.87,0.84,5.0,F,-103.0,6.25,True,,2026-07-13T13:23:09.322+00:00,/dev/cu.usbserial-58870138231,"RX,167787,R35,TXA,N01,4,6627,E,0,0.87,0.84,5,F,-103,6.25"
RX,168053,R35,TXB,N16,1,6893,C,1,0.81,0.78,5.0,U,-111.0,-5.75,True,,2026-07-13T13:23:09.589+00:00,/dev/cu.usbserial-58870138231,"RX,168053,R35,TXB,N16,1,6893,C,1,0.81,0.78,5,U,-111,-5.75"
RX,168787,R35,TXA,N01,5,7627,F,1,0.28,0.26,5.0,F,-103.0,6.25,True,,2026-07-13T13:23:10.322+00:00,/dev/cu.usbserial-58870138231,"RX,168787,R35,TXA,N01,5,7627,F,1,0.28,0.26,5,F,-103,6.25"
RX,168903,R35,TXH,N106,0,7743,G,1,0.93,0.9,5.0,U,-100.0,4.5,True,,2026-07-13T13:23:10.438+00:00,/dev/cu.usbserial-58870138231,"RX,168903,R35,TXH,N106,0,7743,G,1,0.93,0.90,5,U,-100,4.50"
RX,169086,R35,TXL,N166,0,7917,G,1,0.93,0.9,5.0,U,-103.0,6.25,True,,2026-07-13T13:23:10.621+00:00,/dev/cu.usbserial-58870138231,"RX,169086,R35,TXL,N166,0,7917,G,1,0.93,0.90,5,U,-103,6.25"
RX,169287,R35,TXF,N76,0,8132,E,0,0.87,0.84,5.0,U,-106.0,4.0,True,,2026-07-13T13:23:10.822+00:00,/dev/cu.usbserial-58870138231,"RX,169287,R35,TXF,N76,0,8132,E,0,0.87,0.84,5,U,-106,4.00"
RX,169592,R35,TXD,N46,0,8432,G,1,0.93,0.9,5.0,U,-106.0,3.25,True,,2026-07-13T13:23:11.127+00:00,/dev/cu.usbserial-58870138231,"RX,169592,R35,TXD,N46,0,8432,G,1,0.93,0.90,5,U,-106,3.25"
RX,169787,R35,TXA,N01,6,8627,G,1,0.93,0.9,5.0,F,-103.0,6.25,True,,2026-07-13T13:23:11.322+00:00,/dev/cu.usbserial-58870138231,"RX,169787,R35,TXA,N01,6,8627,G,1,0.93,0.90,5,F,-103,6.25"
RX,170053,R35,TXB,N16,2,8893,E,0,0.87,0.84,5.0,U,-111.0,-5.0,True,,2026-07-13T13:23:11.589+00:00,/dev/cu.usbserial-58870138231,"RX,170053,R35,TXB,N16,2,8893,E,0,0.87,0.84,5,U,-111,-5.00"
RX,170539,R35,TXE,N61,0,9383,A,1,0.75,0.72,5.0,U,-105.0,5.0,True,,2026-07-13T13:23:12.074+00:00,/dev/cu.usbserial-58870138231,"RX,170539,R35,TXE,N61,0,9383,A,1,0.75,0.72,5,U,-105,5.00"
RX,170787,R35,TXA,N01,7,9627,H,0,0.32,0.3,5.0,F,-103.0,7.0,True,,2026-07-13T13:23:12.322+00:00,/dev/cu.usbserial-58870138231,"RX,170787,R35,TXA,N01,7,9627,H,0,0.32,0.30,5,F,-103,7.00"
RX,170933,R35,TXK,N151,4,9764,A,1,0.75,0.72,5.0,U,-105.0,4.5,True,,2026-07-13T13:23:12.468+00:00,/dev/cu.usbserial-58870138231,"RX,170933,R35,TXK,N151,4,9764,A,1,0.75,0.72,5,U,-105,4.50"
RX,171292,R35,TXF,N76,1,10132,G,1,0.93,0.9,5.0,U,-107.0,3.25,True,,2026-07-13T13:23:12.827+00:00,/dev/cu.usbserial-58870138231,"RX,171292,R35,TXF,N76,1,10132,G,1,0.93,0.90,5,U,-107,3.25"
RX,171551,R35,TXC,N31,0,10386,E,0,0.87,0.84,5.0,U,-105.0,5.5,True,,2026-07-13T13:23:13.086+00:00,/dev/cu.usbserial-58870138231,"RX,171551,R35,TXC,N31,0,10386,E,0,0.87,0.84,5,U,-105,5.50"
RX,171792,R35,TXA,N01,8,10627,A,1,0.75,0.72,5.0,F,-104.0,6.25,True,,2026-07-13T13:23:13.327+00:00,/dev/cu.usbserial-58870138231,"RX,171792,R35,TXA,N01,8,10627,A,1,0.75,0.72,5,F,-104,6.25"
RX,172058,R35,TXB,N16,3,10893,G,1,0.93,0.9,5.0,U,-112.0,-6.5,True,,2026-07-13T13:23:13.594+00:00,/dev/cu.usbserial-58870138231,"RX,172058,R35,TXB,N16,3,10893,G,1,0.93,0.90,5,U,-112,-6.50"
