rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,730434,R35,TXK,N151,0,1764,A,1,0.75,0.72,5.0,U,-111.0,-2.5,True,,2026-07-13T13:32:39.263+00:00,/dev/cu.usbserial-58870137921,"RX,730434,R35,TXK,N151,0,1764,A,1,0.75,0.72,5,U,-111,-2.50"
RX,731289,R35,TXA,N01,0,2627,A,1,0.75,0.72,5.0,F,-111.0,-3.0,True,,2026-07-13T13:32:40.118+00:00,/dev/cu.usbserial-58870137921,"RX,731289,R35,TXA,N01,0,2627,A,1,0.75,0.72,5,F,-111,-3.00"
RX,732288,R35,TXA,N01,1,3627,B,0,0.2,0.18,5.0,F,-110.0,-3.75,True,,2026-07-13T13:32:41.117+00:00,/dev/cu.usbserial-58870137921,"RX,732288,R35,TXA,N01,1,3627,B,0,0.20,0.18,5,F,-110,-3.75"
RX,732433,R35,TXK,N151,1,3764,C,1,0.81,0.78,5.0,U,-110.0,-3.25,True,,2026-07-13T13:32:41.263+00:00,/dev/cu.usbserial-58870137921,"RX,732433,R35,TXK,N151,1,3764,C,1,0.81,0.78,5,U,-110,-3.25"
RX,733288,R35,TXA,N01,2,4627,C,1,0.81,0.78,5.0,F,-110.0,-2.0,True,,2026-07-13T13:32:42.117+00:00,/dev/cu.usbserial-58870137921,"RX,733288,R35,TXA,N01,2,4627,C,1,0.81,0.78,5,F,-110,-2.00"
RX,734288,R35,TXA,N01,3,5627,D,1,0.24,0.22,5.0,F,-109.0,-2.0,True,,2026-07-13T13:32:43.117+00:00,/dev/cu.usbserial-58870137921,"RX,734288,R35,TXA,N01,3,5627,D,1,0.24,0.22,5,F,-109,-2.00"
RX,734433,R35,TXK,N151,2,5764,E,0,0.87,0.84,5.0,U,-111.0,-3.0,True,,2026-07-13T13:32:43.262+00:00,/dev/cu.usbserial-58870137921,"RX,734433,R35,TXK,N151,2,5764,E,0,0.87,0.84,5,U,-111,-3.00"
RX,735288,R35,TXA,N01,4,6627,E,0,0.87,0.84,5.0,F,-109.0,-0.75,True,,2026-07-13T13:32:44.117+00:00,/dev/cu.usbserial-58870137921,"RX,735288,R35,TXA,N01,4,6627,E,0,0.87,0.84,5,F,-109,-0.75"
RX,736288,R35,TXA,N01,5,7627,F,1,0.28,0.26,5.0,F,-109.0,0.25,True,,2026-07-13T13:32:45.117+00:00,/dev/cu.usbserial-58870137921,"RX,736288,R35,TXA,N01,5,7627,F,1,0.28,0.26,5,F,-109,0.25"
RX,736404,R35,TXH,N106,0,7743,G,1,0.93,0.9,5.0,U,-106.0,1.5,True,,2026-07-13T13:32:45.233+00:00,/dev/cu.usbserial-58870137921,"RX,736404,R35,TXH,N106,0,7743,G,1,0.93,0.90,5,U,-106,1.50"
RX,736586,R35,TXL,N166,0,7917,G,1,0.93,0.9,5.0,U,-109.0,1.0,True,,2026-07-13T13:32:45.415+00:00,/dev/cu.usbserial-58870137921,"RX,736586,R35,TXL,N166,0,7917,G,1,0.93,0.90,5,U,-109,1.00"
RX,736787,R35,TXF,N76,0,8131,E,0,0.87,0.84,5.0,U,-111.0,-8.25,True,,2026-07-13T13:32:45.616+00:00,/dev/cu.usbserial-58870137921,"RX,736787,R35,TXF,N76,0,8131,E,0,0.87,0.84,5,U,-111,-8.25"
RX,737092,R35,TXD,N46,0,8431,G,1,0.93,0.9,5.0,U,-110.0,-4.25,True,,2026-07-13T13:32:45.921+00:00,/dev/cu.usbserial-58870137921,"RX,737092,R35,TXD,N46,0,8431,G,1,0.93,0.90,5,U,-110,-4.25"
RX,737288,R35,TXA,N01,6,8627,G,1,0.93,0.9,5.0,F,-109.0,-1.25,True,,2026-07-13T13:32:46.116+00:00,/dev/cu.usbserial-58870137921,"RX,737288,R35,TXA,N01,6,8627,G,1,0.93,0.90,5,F,-109,-1.25"
RX,738040,R35,TXE,N61,0,9383,A,1,0.75,0.72,5.0,U,-111.0,-4.25,True,,2026-07-13T13:32:46.869+00:00,/dev/cu.usbserial-58870137921,"RX,738040,R35,TXE,N61,0,9383,A,1,0.75,0.72,5,U,-111,-4.25"
RX,738288,R35,TXA,N01,7,9627,H,0,0.32,0.3,5.0,F,-109.0,-1.25,True,,2026-07-13T13:32:47.117+00:00,/dev/cu.usbserial-58870137921,"RX,738288,R35,TXA,N01,7,9627,H,0,0.32,0.30,5,F,-109,-1.25"
RX,738433,R35,TXK,N151,4,9764,A,1,0.75,0.72,5.0,U,-111.0,-3.0,True,,2026-07-13T13:32:47.262+00:00,/dev/cu.usbserial-58870137921,"RX,738433,R35,TXK,N151,4,9764,A,1,0.75,0.72,5,U,-111,-3.00"
RX,738792,R35,TXF,N76,1,10131,G,1,0.93,0.9,5.0,U,-112.0,-7.0,True,,2026-07-13T13:32:47.621+00:00,/dev/cu.usbserial-58870137921,"RX,738792,R35,TXF,N76,1,10131,G,1,0.93,0.90,5,U,-112,-7.00"
RX,739051,R35,TXC,N31,0,10385,E,0,0.87,0.84,5.0,U,-108.0,1.0,True,,2026-07-13T13:32:47.880+00:00,/dev/cu.usbserial-58870137921,"RX,739051,R35,TXC,N31,0,10385,E,0,0.87,0.84,5,U,-108,1.00"
RX,739293,R35,TXA,N01,8,10627,A,1,0.75,0.72,5.0,F,-109.0,-1.0,True,,2026-07-13T13:32:48.122+00:00,/dev/cu.usbserial-58870137921,"RX,739293,R35,TXA,N01,8,10627,A,1,0.75,0.72,5,F,-109,-1.00"
RX,740044,R35,TXE,N61,1,11383,C,1,0.81,0.78,5.0,U,-110.0,-5.25,True,,2026-07-13T13:32:48.873+00:00,/dev/cu.usbserial-58870137921,"RX,740044,R35,TXE,N61,1,11383,C,1,0.81,0.78,5,U,-110,-5.25"
RX,740152,R35,TXI,N121,0,11482,E,0,0.87,0.84,5.0,U,-110.0,-6.0,True,,2026-07-13T13:32:48.981+00:00,/dev/cu.usbserial-58870137921,"RX,740152,R35,TXI,N121,0,11482,E,0,0.87,0.84,5,U,-110,-6.00"
RX,740293,R35,TXA,N01,9,11627,B,1,0.2,0.18,5.0,F,-109.0,-1.5,True,,2026-07-13T13:32:49.122+00:00,/dev/cu.usbserial-58870137921,"RX,740293,R35,TXA,N01,9,11627,B,1,0.20,0.18,5,F,-109,-1.50"
RX,740433,R35,TXK,N151,5,11764,C,0,0.81,0.78,5.0,U,-110.0,-2.0,True,,2026-07-13T13:32:49.263+00:00,/dev/cu.usbserial-58870137921,"RX,740433,R35,TXK,N151,5,11764,C,0,0.81,0.78,5,U,-110,-2.00"
RX,741051,R35,TXC,N31,1,12385,G,1,0.93,0.9,5.0,U,-108.0,-0.5,True,,2026-07-13T13:32:49.880+00:00,/dev/cu.usbserial-58870137921,"RX,741051,R35,TXC,N31,1,12385,G,1,0.93,0.90,5,U,-108,-0.50"
RX,741293,R35,TXA,N01,10,12627,C,0,0.81,0.78,5.0,F,-110.0,-2.5,True,,2026-07-13T13:32:50.122+00:00,/dev/cu.usbserial-58870137921,"RX,741293,R35,TXA,N01,10,12627,C,0,0.81,0.78,5,F,-110,-2.50"
