rx_role,recv_ms,run_id,tx_id,node_id,seq,tx_ms,region,event,priority,usefulness,stale_after,policy,rssi,snr,parse_ok,parse_error,wall_time_utc,serial_port,raw_line
RX,1296985,R35,TXK,N151,0,1764,A,1,0.75,0.72,5.0,U,-108.0,-3.0,True,,2026-07-13T13:41:50.561+00:00,/dev/cu.usbserial-576B0005451,"RX,1296985,R35,TXK,N151,0,1764,A,1,0.75,0.72,5,U,-108,-3.00"
RX,1297840,R35,TXA,N01,0,2627,A,1,0.75,0.72,5.0,F,-109.0,-2.5,True,,2026-07-13T13:41:51.415+00:00,/dev/cu.usbserial-576B0005451,"RX,1297840,R35,TXA,N01,0,2627,A,1,0.75,0.72,5,F,-109,-2.50"
RX,1298839,R35,TXA,N01,1,3627,B,0,0.2,0.18,5.0,F,-109.0,-3.25,True,,2026-07-13T13:41:52.415+00:00,/dev/cu.usbserial-576B0005451,"RX,1298839,R35,TXA,N01,1,3627,B,0,0.20,0.18,5,F,-109,-3.25"
RX,1298985,R35,TXK,N151,1,3764,C,1,0.81,0.78,5.0,U,-109.0,-2.5,True,,2026-07-13T13:41:52.561+00:00,/dev/cu.usbserial-576B0005451,"RX,1298985,R35,TXK,N151,1,3764,C,1,0.81,0.78,5,U,-109,-2.50"
RX,1299839,R35,TXA,N01,2,4627,C,1,0.81,0.78,5.0,F,-108.0,-3.75,True,,2026-07-13T13:41:53.415+00:00,/dev/cu.usbserial-576B0005451,"RX,1299839,R35,TXA,N01,2,4627,C,1,0.81,0.78,5,F,-108,-3.75"
RX,1300839,R35,TXA,N01,3,5627,D,1,0.24,0.22,5.0,F,-108.0,-4.0,True,,2026-07-13T13:41:54.415+00:00,/dev/cu.usbserial-576B0005451,"RX,1300839,R35,TXA,N01,3,5627,D,1,0.24,0.22,5,F,-108,-4.00"
RX,1300985,R35,TXK,N151,2,5764,E,0,0.87,0.84,5.0,U,-109.0,-3.25,True,,2026-07-13T13:41:54.560+00:00,/dev/cu.usbserial-576B0005451,"RX,1300985,R35,TXK,N151,2,5764,E,0,0.87,0.84,5,U,-109,-3.25"
RX,1301839,R35,TXA,N01,4,6627,E,0,0.87,0.84,5.0,F,-109.0,-3.0,True,,2026-07-13T13:41:55.415+00:00,/dev/cu.usbserial-576B0005451,"RX,1301839,R35,TXA,N01,4,6627,E,0,0.87,0.84,5,F,-109,-3.00"
RX,1302839,R35,TXA,N01,5,7627,F,1,0.28,0.26,5.0,F,-111.0,-4.75,True,,2026-07-13T13:41:56.415+00:00,/dev/cu.usbserial-576B0005451,"RX,1302839,R35,TXA,N01,5,7627,F,1,0.28,0.26,5,F,-111,-4.75"
RX,1302955,R35,TXH,N106,0,7743,G,1,0.93,0.9,5.0,U,-106.0,-0.5,True,,2026-07-13T13:41:56.531+00:00,/dev/cu.usbserial-576B0005451,"RX,1302955,R35,TXH,N106,0,7743,G,1,0.93,0.90,5,U,-106,-0.50"
RX,1303138,R35,TXL,N166,0,7917,G,1,0.93,0.9,5.0,U,-109.0,-1.75,True,,2026-07-13T13:41:56.713+00:00,/dev/cu.usbserial-576B0005451,"RX,1303138,R35,TXL,N166,0,7917,G,1,0.93,0.90,5,U,-109,-1.75"
RX,1303339,R35,TXF,N76,0,8131,E,0,0.87,0.84,5.0,U,-111.0,-8.75,True,,2026-07-13T13:41:56.914+00:00,/dev/cu.usbserial-576B0005451,"RX,1303339,R35,TXF,N76,0,8131,E,0,0.87,0.84,5,U,-111,-8.75"
RX,1303643,R35,TXD,N46,0,8431,G,1,0.93,0.9,5.0,U,-111.0,-5.25,True,,2026-07-13T13:41:57.219+00:00,/dev/cu.usbserial-576B0005451,"RX,1303643,R35,TXD,N46,0,8431,G,1,0.93,0.90,5,U,-111,-5.25"
RX,1303839,R35,TXA,N01,6,8627,G,1,0.93,0.9,5.0,F,-109.0,-1.5,True,,2026-07-13T13:41:57.415+00:00,/dev/cu.usbserial-576B0005451,"RX,1303839,R35,TXA,N01,6,8627,G,1,0.93,0.90,5,F,-109,-1.50"
RX,1304591,R35,TXE,N61,0,9383,A,1,0.75,0.72,5.0,U,-110.0,-3.0,True,,2026-07-13T13:41:58.167+00:00,/dev/cu.usbserial-576B0005451,"RX,1304591,R35,TXE,N61,0,9383,A,1,0.75,0.72,5,U,-110,-3.00"
RX,1304839,R35,TXA,N01,7,9627,H,0,0.32,0.3,5.0,F,-108.0,-1.0,True,,2026-07-13T13:41:58.415+00:00,/dev/cu.usbserial-576B0005451,"RX,1304839,R35,TXA,N01,7,9627,H,0,0.32,0.30,5,F,-108,-1.00"
RX,1304985,R35,TXK,N151,4,9764,A,1,0.75,0.72,5.0,U,-108.0,-1.5,True,,2026-07-13T13:41:58.560+00:00,/dev/cu.usbserial-576B0005451,"RX,1304985,R35,TXK,N151,4,9764,A,1,0.75,0.72,5,U,-108,-1.50"
RX,1305602,R35,TXC,N31,0,10385,E,0,0.87,0.84,5.0,U,-107.0,0.5,True,,2026-07-13T13:41:59.178+00:00,/dev/cu.usbserial-576B0005451,"RX,1305602,R35,TXC,N31,0,10385,E,0,0.87,0.84,5,U,-107,0.50"
RX,1305844,R35,TXA,N01,8,10627,A,1,0.75,0.72,5.0,F,-108.0,0.5,True,,2026-07-13T13:41:59.422+00:00,/dev/cu.usbserial-576B0005451,"RX,1305844,R35,TXA,N01,8,10627,A,1,0.75,0.72,5,F,-108,0.50"
RX,1306596,R35,TXE,N61,1,11383,C,1,0.81,0.78,5.0,U,-108.0,-2.0,True,,2026-07-13T13:42:00.172+00:00,/dev/cu.usbserial-576B0005451,"RX,1306596,R35,TXE,N61,1,11383,C,1,0.81,0.78,5,U,-108,-2.00"
