wall_time_utc,serial_port,raw_line
2026-06-28T16:34:55.216+00:00,/dev/cu.usbserial-576B0005451,"RX,260719,R26,TXA,N01,0,1529,A,1,0.95,0.92,5,F,-51,10.25"
2026-06-28T16:34:55.733+00:00,/dev/cu.usbserial-576B0005451,"RX,261235,R26,TXB,N16,0,2044,A,1,0.95,0.92,5,U,-52,10.00"
2026-06-28T16:34:56.204+00:00,/dev/cu.usbserial-576B0005451,"RX,261707,R26,TXA,N01,1,2529,B,0,0.20,0.18,5,F,-51,10.00"
2026-06-28T16:34:57.204+00:00,/dev/cu.usbserial-576B0005451,"RX,262707,R26,TXA,N01,2,3529,C,1,0.88,0.84,5,F,-48,10.00"
2026-06-28T16:34:57.720+00:00,/dev/cu.usbserial-576B0005451,"RX,263223,R26,TXB,N16,1,4044,C,1,0.88,0.84,5,U,-51,10.00"
2026-06-28T16:34:58.204+00:00,/dev/cu.usbserial-576B0005451,"RX,263707,R26,TXA,N01,3,4529,D,0,0.35,0.42,5,F,-46,10.00"
2026-06-28T16:34:59.204+00:00,/dev/cu.usbserial-576B0005451,"RX,264707,R26,TXA,N01,4,5529,E,1,0.75,0.79,5,F,-51,9.50"
2026-06-28T16:34:59.720+00:00,/dev/cu.usbserial-576B0005451,"RX,265223,R26,TXB,N16,2,6044,E,1,0.75,0.79,5,U,-53,10.00"
2026-06-28T16:35:00.204+00:00,/dev/cu.usbserial-576B0005451,"RX,265707,R26,TXA,N01,5,6529,F,0,0.10,0.08,5,F,-49,9.50"
2026-06-28T16:35:01.204+00:00,/dev/cu.usbserial-576B0005451,"RX,266707,R26,TXA,N01,6,7529,G,1,0.65,0.67,5,F,-49,10.00"
2026-06-28T16:35:02.204+00:00,/dev/cu.usbserial-576B0005451,"RX,267707,R26,TXA,N01,7,8529,H,0,0.48,0.49,5,F,-50,10.00"
2026-06-28T16:35:03.204+00:00,/dev/cu.usbserial-576B0005451,"RX,268707,R26,TXA,N01,8,9529,A,1,0.90,0.91,5,F,-50,10.00"
2026-06-28T16:35:03.726+00:00,/dev/cu.usbserial-576B0005451,"RX,269228,R26,TXB,N16,3,10044,A,1,0.90,0.91,5,U,-54,9.50"
2026-06-28T16:35:04.209+00:00,/dev/cu.usbserial-576B0005451,"RX,269712,R26,TXA,N01,9,10529,B,0,0.22,0.21,5,F,-50,9.50"
2026-06-28T16:35:05.209+00:00,/dev/cu.usbserial-576B0005451,"RX,270712,R26,TXA,N01,10,11529,C,1,0.82,0.77,5,F,-50,10.00"
2026-06-28T16:35:06.210+00:00,/dev/cu.usbserial-576B0005451,"RX,271712,R26,TXA,N01,11,12529,D,0,0.40,0.36,5,F,-50,10.00"
2026-06-28T16:35:07.209+00:00,/dev/cu.usbserial-576B0005451,"RX,272712,R26,TXA,N01,12,13529,E,1,0.72,0.74,5,F,-50,9.50"
2026-06-28T16:35:08.210+00:00,/dev/cu.usbserial-576B0005451,"RX,273712,R26,TXA,N01,13,14529,F,0,0.12,0.15,5,F,-49,9.50"
2026-06-28T16:35:09.210+00:00,/dev/cu.usbserial-576B0005451,"RX,274712,R26,TXA,N01,14,15529,G,1,0.69,0.63,5,F,-50,10.50"
2026-06-28T16:35:10.210+00:00,/dev/cu.usbserial-576B0005451,"RX,275712,R26,TXA,N01,15,16529,H,0,0.44,0.46,5,F,-50,10.00"
2026-06-28T16:35:11.210+00:00,/dev/cu.usbserial-576B0005451,"RX,276712,R26,TXA,N01,16,17529,A,1,0.95,0.92,5,F,-50,9.75"
2026-06-28T16:35:11.726+00:00,/dev/cu.usbserial-576B0005451,"RX,277228,R26,TXB,N16,4,18044,A,1,0.95,0.92,5,U,-55,9.75"
2026-06-28T16:35:12.210+00:00,/dev/cu.usbserial-576B0005451,"RX,277712,R26,TXA,N01,17,18529,B,0,0.20,0.18,5,F,-49,9.75"
2026-06-28T16:35:13.210+00:00,/dev/cu.usbserial-576B0005451,"RX,278712,R26,TXA,N01,18,19529,C,1,0.88,0.84,5,F,-50,9.75"
2026-06-28T16:35:13.726+00:00,/dev/cu.usbserial-576B0005451,"RX,279228,R26,TXB,N16,5,20044,C,1,0.88,0.84,5,U,-55,9.25"
2026-06-28T16:35:14.210+00:00,/dev/cu.usbserial-576B0005451,"RX,279712,R26,TXA,N01,19,20529,D,0,0.35,0.42,5,F,-50,10.00"
2026-06-28T16:35:15.210+00:00,/dev/cu.usbserial-576B0005451,"RX,280712,R26,TXA,N01,20,21529,E,1,0.75,0.79,5,F,-49,10.00"
2026-06-28T16:35:15.725+00:00,/dev/cu.usbserial-576B0005451,"RX,281228,R26,TXB,N16,6,22044,E,1,0.75,0.79,5,U,-54,9.25"
2026-06-28T16:35:16.209+00:00,/dev/cu.usbserial-576B0005451,"RX,281712,R26,TXA,N01,21,22529,F,0,0.10,0.08,5,F,-50,9.75"
2026-06-28T16:35:17.210+00:00,/dev/cu.usbserial-576B0005451,"RX,282712,R26,TXA,N01,22,23529,G,1,0.65,0.67,5,F,-50,10.50"
2026-06-28T16:35:18.210+00:00,/dev/cu.usbserial-576B0005451,"RX,283712,R26,TXA,N01,23,24529,H,0,0.48,0.49,5,F,-50,9.75"
2026-06-28T16:35:19.210+00:00,/dev/cu.usbserial-576B0005451,"RX,284712,R26,TXA,N01,24,25529,A,1,0.90,0.91,5,F,-49,10.25"
2026-06-28T16:35:19.726+00:00,/dev/cu.usbserial-576B0005451,"RX,285228,R26,TXB,N16,7,26044,A,1,0.90,0.91,5,U,-55,9.50"
2026-06-28T16:35:20.210+00:00,/dev/cu.usbserial-576B0005451,"RX,285712,R26,TXA,N01,25,26529,B,0,0.22,0.21,5,F,-49,9.75"
2026-06-28T16:35:21.210+00:00,/dev/cu.usbserial-576B0005451,"RX,286712,R26,TXA,N01,26,27529,C,1,0.82,0.77,5,F,-49,9.75"
2026-06-28T16:35:22.210+00:00,/dev/cu.usbserial-576B0005451,"RX,287712,R26,TXA,N01,27,28529,D,0,0.40,0.36,5,F,-50,10.25"
2026-06-28T16:35:23.210+00:00,/dev/cu.usbserial-576B0005451,"RX,288712,R26,TXA,N01,28,29529,E,1,0.72,0.74,5,F,-49,9.75"
2026-06-28T16:35:24.210+00:00,/dev/cu.usbserial-576B0005451,"RX,289712,R26,TXA,N01,29,30529,F,0,0.12,0.15,5,F,-50,9.50"
2026-06-28T16:35:25.210+00:00,/dev/cu.usbserial-576B0005451,"RX,290712,R26,TXA,N01,30,31529,G,1,0.69,0.63,5,F,-51,10.00"
2026-06-28T16:35:26.210+00:00,/dev/cu.usbserial-576B0005451,"RX,291712,R26,TXA,N01,31,32529,H,0,0.44,0.46,5,F,-50,10.00"
2026-06-28T16:35:27.210+00:00,/dev/cu.usbserial-576B0005451,"RX,292712,R26,TXA,N01,32,33529,A,1,0.95,0.92,5,F,-50,10.00"
2026-06-28T16:35:27.726+00:00,/dev/cu.usbserial-576B0005451,"RX,293228,R26,TXB,N16,8,34044,A,1,0.95,0.92,5,U,-55,9.25"
2026-06-28T16:35:28.210+00:00,/dev/cu.usbserial-576B0005451,"RX,293712,R26,TXA,N01,33,34529,B,0,0.20,0.18,5,F,-51,9.50"
2026-06-28T16:35:29.210+00:00,/dev/cu.usbserial-576B0005451,"RX,294712,R26,TXA,N01,34,35529,C,1,0.88,0.84,5,F,-50,9.75"
2026-06-28T16:35:29.726+00:00,/dev/cu.usbserial-576B0005451,"RX,295228,R26,TXB,N16,9,36044,C,1,0.88,0.84,5,U,-54,9.25"
2026-06-28T16:35:30.210+00:00,/dev/cu.usbserial-576B0005451,"RX,295712,R26,TXA,N01,35,36529,D,0,0.35,0.42,5,F,-50,10.00"
2026-06-28T16:35:31.210+00:00,/dev/cu.usbserial-576B0005451,"RX,296712,R26,TXA,N01,36,37529,E,1,0.75,0.79,5,F,-52,9.75"
2026-06-28T16:35:31.726+00:00,/dev/cu.usbserial-576B0005451,"RX,297228,R26,TXB,N16,10,38044,E,1,0.75,0.79,5,U,-55,9.25"
2026-06-28T16:35:32.210+00:00,/dev/cu.usbserial-576B0005451,"RX,297712,R26,TXA,N01,37,38529,F,0,0.10,0.08,5,F,-50,10.00"
2026-06-28T16:35:33.210+00:00,/dev/cu.usbserial-576B0005451,"RX,298712,R26,TXA,N01,38,39529,G,1,0.65,0.67,5,F,-50,9.50"
2026-06-28T16:35:34.210+00:00,/dev/cu.usbserial-576B0005451,"RX,299712,R26,TXA,N01,39,40529,H,0,0.48,0.49,5,F,-50,9.50"
2026-06-28T16:35:35.210+00:00,/dev/cu.usbserial-576B0005451,"RX,300712,R26,TXA,N01,40,41529,A,1,0.90,0.91,5,F,-50,10.25"
2026-06-28T16:35:35.726+00:00,/dev/cu.usbserial-576B0005451,"RX,301228,R26,TXB,N16,11,42044,A,1,0.90,0.91,5,U,-55,9.75"
2026-06-28T16:35:36.210+00:00,/dev/cu.usbserial-576B0005451,"RX,301712,R26,TXA,N01,41,42529,B,0,0.22,0.21,5,F,-51,9.75"
2026-06-28T16:35:37.210+00:00,/dev/cu.usbserial-576B0005451,"RX,302712,R26,TXA,N01,42,43529,C,1,0.82,0.77,5,F,-51,10.00"
2026-06-28T16:35:38.210+00:00,/dev/cu.usbserial-576B0005451,"RX,303712,R26,TXA,N01,43,44529,D,0,0.40,0.36,5,F,-50,9.50"
2026-06-28T16:35:39.210+00:00,/dev/cu.usbserial-576B0005451,"RX,304712,R26,TXA,N01,44,45529,E,1,0.72,0.74,5,F,-50,9.50"
2026-06-28T16:35:40.210+00:00,/dev/cu.usbserial-576B0005451,"RX,305712,R26,TXA,N01,45,46529,F,0,0.12,0.15,5,F,-50,9.75"
2026-06-28T16:35:41.210+00:00,/dev/cu.usbserial-576B0005451,"RX,306712,R26,TXA,N01,46,47529,G,1,0.69,0.63,5,F,-49,9.75"
2026-06-28T16:35:42.210+00:00,/dev/cu.usbserial-576B0005451,"RX,307712,R26,TXA,N01,47,48529,H,0,0.44,0.46,5,F,-49,9.50"
2026-06-28T16:35:43.210+00:00,/dev/cu.usbserial-576B0005451,"RX,308712,R26,TXA,N01,48,49529,A,1,0.95,0.92,5,F,-49,9.50"
2026-06-28T16:35:43.726+00:00,/dev/cu.usbserial-576B0005451,"RX,309228,R26,TXB,N16,12,50044,A,1,0.95,0.92,5,U,-55,9.75"
2026-06-28T16:35:44.210+00:00,/dev/cu.usbserial-576B0005451,"RX,309712,R26,TXA,N01,49,50529,B,0,0.20,0.18,5,F,-50,9.75"
2026-06-28T16:35:45.210+00:00,/dev/cu.usbserial-576B0005451,"RX,310712,R26,TXA,N01,50,51529,C,1,0.88,0.84,5,F,-50,9.75"
2026-06-28T16:35:45.726+00:00,/dev/cu.usbserial-576B0005451,"RX,311229,R26,TXB,N16,13,52044,C,1,0.88,0.84,5,U,-55,9.75"
2026-06-28T16:35:46.210+00:00,/dev/cu.usbserial-576B0005451,"RX,311712,R26,TXA,N01,51,52529,D,0,0.35,0.42,5,F,-50,10.00"
2026-06-28T16:35:47.210+00:00,/dev/cu.usbserial-576B0005451,"RX,312712,R26,TXA,N01,52,53529,E,1,0.75,0.79,5,F,-51,9.75"
2026-06-28T16:35:48.210+00:00,/dev/cu.usbserial-576B0005451,"RX,313712,R26,TXA,N01,53,54529,F,0,0.10,0.08,5,F,-50,10.00"
2026-06-28T16:35:49.210+00:00,/dev/cu.usbserial-576B0005451,"RX,314712,R26,TXA,N01,54,55529,G,1,0.65,0.67,5,F,-50,9.50"
2026-06-28T16:35:50.210+00:00,/dev/cu.usbserial-576B0005451,"RX,315712,R26,TXA,N01,55,56529,H,0,0.48,0.49,5,F,-49,9.50"
2026-06-28T16:35:51.210+00:00,/dev/cu.usbserial-576B0005451,"RX,316712,R26,TXA,N01,56,57529,A,1,0.90,0.91,5,F,-49,10.00"
2026-06-28T16:35:51.726+00:00,/dev/cu.usbserial-576B0005451,"RX,317228,R26,TXB,N16,15,58044,A,1,0.90,0.91,5,U,-54,9.75"
2026-06-28T16:35:52.210+00:00,/dev/cu.usbserial-576B0005451,"RX,317712,R26,TXA,N01,57,58529,B,0,0.22,0.21,5,F,-50,9.75"
2026-06-28T16:35:53.210+00:00,/dev/cu.usbserial-576B0005451,"RX,318712,R26,TXA,N01,58,59529,C,1,0.82,0.77,5,F,-49,9.50"
2026-06-28T16:35:54.210+00:00,/dev/cu.usbserial-576B0005451,"RX,319712,R26,TXA,N01,59,60529,D,0,0.40,0.36,5,F,-50,10.25"
2026-06-28T16:35:55.210+00:00,/dev/cu.usbserial-576B0005451,"RX,320713,R26,TXA,N01,60,61529,E,1,0.72,0.74,5,F,-50,9.50"
2026-06-28T16:35:56.210+00:00,/dev/cu.usbserial-576B0005451,"RX,321713,R26,TXA,N01,61,62529,F,0,0.12,0.15,5,F,-49,10.25"
2026-06-28T16:35:57.210+00:00,/dev/cu.usbserial-576B0005451,"RX,322713,R26,TXA,N01,62,63529,G,1,0.69,0.63,5,F,-50,9.75"
2026-06-28T16:35:58.210+00:00,/dev/cu.usbserial-576B0005451,"RX,323713,R26,TXA,N01,63,64529,H,0,0.44,0.46,5,F,-50,9.50"
2026-06-28T16:35:59.210+00:00,/dev/cu.usbserial-576B0005451,"RX,324713,R26,TXA,N01,64,65529,A,1,0.95,0.92,5,F,-50,10.00"
2026-06-28T16:35:59.727+00:00,/dev/cu.usbserial-576B0005451,"RX,325229,R26,TXB,N16,16,66044,A,1,0.95,0.92,5,U,-54,9.50"
2026-06-28T16:36:00.210+00:00,/dev/cu.usbserial-576B0005451,"RX,325713,R26,TXA,N01,65,66529,B,0,0.20,0.18,5,F,-50,10.25"
2026-06-28T16:36:01.210+00:00,/dev/cu.usbserial-576B0005451,"RX,326713,R26,TXA,N01,66,67529,C,1,0.88,0.84,5,F,-50,10.25"
2026-06-28T16:36:01.726+00:00,/dev/cu.usbserial-576B0005451,"RX,327229,R26,TXB,N16,17,68044,C,1,0.88,0.84,5,U,-55,9.50"
2026-06-28T16:36:02.210+00:00,/dev/cu.usbserial-576B0005451,"RX,327713,R26,TXA,N01,67,68529,D,0,0.35,0.42,5,F,-50,9.75"
2026-06-28T16:36:03.210+00:00,/dev/cu.usbserial-576B0005451,"RX,328712,R26,TXA,N01,68,69529,E,1,0.75,0.79,5,F,-50,9.50"
2026-06-28T16:36:03.727+00:00,/dev/cu.usbserial-576B0005451,"RX,329229,R26,TXB,N16,18,70044,E,1,0.75,0.79,5,U,-54,10.00"
2026-06-28T16:36:04.210+00:00,/dev/cu.usbserial-576B0005451,"RX,329713,R26,TXA,N01,69,70529,F,0,0.10,0.08,5,F,-49,10.00"
2026-06-28T16:36:05.210+00:00,/dev/cu.usbserial-576B0005451,"RX,330713,R26,TXA,N01,70,71529,G,1,0.65,0.67,5,F,-49,9.75"
2026-06-28T16:36:06.210+00:00,/dev/cu.usbserial-576B0005451,"RX,331713,R26,TXA,N01,71,72529,H,0,0.48,0.49,5,F,-50,9.50"
2026-06-28T16:36:07.210+00:00,/dev/cu.usbserial-576B0005451,"RX,332713,R26,TXA,N01,72,73529,A,1,0.90,0.91,5,F,-49,10.00"
2026-06-28T16:36:07.726+00:00,/dev/cu.usbserial-576B0005451,"RX,333229,R26,TXB,N16,19,74044,A,1,0.90,0.91,5,U,-54,9.50"
2026-06-28T16:36:08.210+00:00,/dev/cu.usbserial-576B0005451,"RX,333713,R26,TXA,N01,73,74529,B,0,0.22,0.21,5,F,-50,10.00"
2026-06-28T16:36:09.210+00:00,/dev/cu.usbserial-576B0005451,"RX,334713,R26,TXA,N01,74,75529,C,1,0.82,0.77,5,F,-50,10.00"
2026-06-28T16:36:10.210+00:00,/dev/cu.usbserial-576B0005451,"RX,335712,R26,TXA,N01,75,76529,D,0,0.40,0.36,5,F,-50,9.50"
2026-06-28T16:36:11.210+00:00,/dev/cu.usbserial-576B0005451,"RX,336713,R26,TXA,N01,76,77529,E,1,0.72,0.74,5,F,-50,9.75"
2026-06-28T16:36:12.210+00:00,/dev/cu.usbserial-576B0005451,"RX,337713,R26,TXA,N01,77,78529,F,0,0.12,0.15,5,F,-50,10.00"
2026-06-28T16:36:13.210+00:00,/dev/cu.usbserial-576B0005451,"RX,338713,R26,TXA,N01,78,79529,G,1,0.69,0.63,5,F,-50,9.75"
2026-06-28T16:36:14.210+00:00,/dev/cu.usbserial-576B0005451,"RX,339713,R26,TXA,N01,79,80529,H,0,0.44,0.46,5,F,-50,9.50"
2026-06-28T16:36:15.210+00:00,/dev/cu.usbserial-576B0005451,"RX,340713,R26,TXA,N01,80,81529,A,1,0.95,0.92,5,F,-50,9.75"
2026-06-28T16:36:15.727+00:00,/dev/cu.usbserial-576B0005451,"RX,341229,R26,TXB,N16,20,82044,A,1,0.95,0.92,5,U,-54,10.00"
2026-06-28T16:36:16.210+00:00,/dev/cu.usbserial-576B0005451,"RX,341713,R26,TXA,N01,81,82529,B,0,0.20,0.18,5,F,-50,10.00"
2026-06-28T16:36:17.211+00:00,/dev/cu.usbserial-576B0005451,"RX,342713,R26,TXA,N01,82,83529,C,1,0.88,0.84,5,F,-50,10.00"
2026-06-28T16:36:17.727+00:00,/dev/cu.usbserial-576B0005451,"RX,343229,R26,TXB,N16,21,84044,C,1,0.88,0.84,5,U,-55,9.75"
2026-06-28T16:36:18.211+00:00,/dev/cu.usbserial-576B0005451,"RX,343713,R26,TXA,N01,83,84529,D,0,0.35,0.42,5,F,-50,10.25"
2026-06-28T16:36:19.210+00:00,/dev/cu.usbserial-576B0005451,"RX,344713,R26,TXA,N01,84,85529,E,1,0.75,0.79,5,F,-50,9.50"
2026-06-28T16:36:19.726+00:00,/dev/cu.usbserial-576B0005451,"RX,345229,R26,TXB,N16,22,86044,E,1,0.75,0.79,5,U,-54,9.75"
2026-06-28T16:36:20.210+00:00,/dev/cu.usbserial-576B0005451,"RX,345713,R26,TXA,N01,85,86529,F,0,0.10,0.08,5,F,-50,10.00"
2026-06-28T16:36:21.210+00:00,/dev/cu.usbserial-576B0005451,"RX,346713,R26,TXA,N01,86,87529,G,1,0.65,0.67,5,F,-49,9.75"
2026-06-28T16:36:22.211+00:00,/dev/cu.usbserial-576B0005451,"RX,347713,R26,TXA,N01,87,88529,H,0,0.48,0.49,5,F,-49,10.50"
2026-06-28T16:36:23.210+00:00,/dev/cu.usbserial-576B0005451,"RX,348713,R26,TXA,N01,88,89529,A,1,0.90,0.91,5,F,-50,9.75"
2026-06-28T16:36:23.727+00:00,/dev/cu.usbserial-576B0005451,"RX,349229,R26,TXB,N16,23,90044,A,1,0.90,0.91,5,U,-54,9.75"
2026-06-28T16:36:24.210+00:00,/dev/cu.usbserial-576B0005451,"RX,349713,R26,TXA,N01,89,90529,B,0,0.22,0.21,5,F,-50,9.75"
2026-06-28T16:36:25.211+00:00,/dev/cu.usbserial-576B0005451,"RX,350713,R26,TXA,N01,90,91529,C,1,0.82,0.77,5,F,-49,10.00"
2026-06-28T16:36:26.211+00:00,/dev/cu.usbserial-576B0005451,"RX,351713,R26,TXA,N01,91,92529,D,0,0.40,0.36,5,F,-49,10.00"
2026-06-28T16:36:27.210+00:00,/dev/cu.usbserial-576B0005451,"RX,352713,R26,TXA,N01,92,93529,E,1,0.72,0.74,5,F,-50,9.50"
2026-06-28T16:36:28.211+00:00,/dev/cu.usbserial-576B0005451,"RX,353713,R26,TXA,N01,93,94529,F,0,0.12,0.15,5,F,-50,9.75"
2026-06-28T16:36:29.211+00:00,/dev/cu.usbserial-576B0005451,"RX,354713,R26,TXA,N01,94,95529,G,1,0.69,0.63,5,F,-49,10.25"
2026-06-28T16:36:30.210+00:00,/dev/cu.usbserial-576B0005451,"RX,355713,R26,TXA,N01,95,96529,H,0,0.44,0.46,5,F,-50,9.50"
2026-06-28T16:36:31.211+00:00,/dev/cu.usbserial-576B0005451,"RX,356713,R26,TXA,N01,96,97529,A,1,0.95,0.92,5,F,-50,9.50"
2026-06-28T16:36:31.727+00:00,/dev/cu.usbserial-576B0005451,"RX,357229,R26,TXB,N16,24,98044,A,1,0.95,0.92,5,U,-54,9.25"
2026-06-28T16:36:32.210+00:00,/dev/cu.usbserial-576B0005451,"RX,357713,R26,TXA,N01,97,98529,B,0,0.20,0.18,5,F,-49,9.75"
2026-06-28T16:36:33.211+00:00,/dev/cu.usbserial-576B0005451,"RX,358713,R26,TXA,N01,98,99529,C,1,0.88,0.84,5,F,-50,10.00"
2026-06-28T16:36:33.727+00:00,/dev/cu.usbserial-576B0005451,"RX,359229,R26,TXB,N16,25,100044,C,1,0.88,0.84,5,U,-54,9.25"
2026-06-28T16:36:34.211+00:00,/dev/cu.usbserial-576B0005451,"RX,359713,R26,TXA,N01,99,100529,D,0,0.35,0.42,5,F,-50,9.75"
2026-06-28T16:36:35.211+00:00,/dev/cu.usbserial-576B0005451,"RX,360713,R26,TXA,N01,100,101529,E,1,0.75,0.79,5,F,-49,9.75"
2026-06-28T16:36:35.727+00:00,/dev/cu.usbserial-576B0005451,"RX,361229,R26,TXB,N16,26,102044,E,1,0.75,0.79,5,U,-55,9.25"
2026-06-28T16:36:36.211+00:00,/dev/cu.usbserial-576B0005451,"RX,361713,R26,TXA,N01,101,102529,F,0,0.10,0.08,5,F,-49,9.50"
2026-06-28T16:36:37.211+00:00,/dev/cu.usbserial-576B0005451,"RX,362713,R26,TXA,N01,102,103529,G,1,0.65,0.67,5,F,-49,9.50"
2026-06-28T16:36:38.211+00:00,/dev/cu.usbserial-576B0005451,"RX,363713,R26,TXA,N01,103,104529,H,0,0.48,0.49,5,F,-50,10.00"
2026-06-28T16:36:39.211+00:00,/dev/cu.usbserial-576B0005451,"RX,364713,R26,TXA,N01,104,105529,A,1,0.90,0.91,5,F,-50,9.25"
2026-06-28T16:36:39.727+00:00,/dev/cu.usbserial-576B0005451,"RX,365229,R26,TXB,N16,27,106044,A,1,0.90,0.91,5,U,-54,9.75"
2026-06-28T16:36:40.211+00:00,/dev/cu.usbserial-576B0005451,"RX,365713,R26,TXA,N01,105,106529,B,0,0.22,0.21,5,F,-50,9.75"
2026-06-28T16:36:41.211+00:00,/dev/cu.usbserial-576B0005451,"RX,366713,R26,TXA,N01,106,107529,C,1,0.82,0.77,5,F,-50,9.00"
2026-06-28T16:36:42.211+00:00,/dev/cu.usbserial-576B0005451,"RX,367713,R26,TXA,N01,107,108529,D,0,0.40,0.36,5,F,-50,9.50"
2026-06-28T16:36:43.211+00:00,/dev/cu.usbserial-576B0005451,"RX,368713,R26,TXA,N01,108,109529,E,1,0.72,0.74,5,F,-50,9.25"
2026-06-28T16:36:44.211+00:00,/dev/cu.usbserial-576B0005451,"RX,369713,R26,TXA,N01,109,110529,F,0,0.12,0.15,5,F,-49,10.00"
2026-06-28T16:36:45.211+00:00,/dev/cu.usbserial-576B0005451,"RX,370713,R26,TXA,N01,110,111529,G,1,0.69,0.63,5,F,-49,9.75"
2026-06-28T16:36:46.211+00:00,/dev/cu.usbserial-576B0005451,"RX,371713,R26,TXA,N01,111,112529,H,0,0.44,0.46,5,F,-50,9.25"
