wall_time_utc,serial_port,raw_line
2026-07-05T20:28:24.579+00:00,/dev/cu.usbserial-576B0005451,"RX,79534,R33,TXA,N01,0,2174,A,1,0.75,0.72,5,F,-40,10.25"
2026-07-05T20:28:25.579+00:00,/dev/cu.usbserial-576B0005451,"RX,80533,R33,TXA,N01,1,3174,B,0,0.20,0.18,5,F,-41,10.25"
2026-07-05T20:28:26.578+00:00,/dev/cu.usbserial-576B0005451,"RX,81533,R33,TXA,N01,2,4174,C,1,0.81,0.78,5,F,-41,9.50"
2026-07-05T20:28:26.845+00:00,/dev/cu.usbserial-576B0005451,"RX,81800,R33,TXB,N16,0,4439,A,1,0.75,0.72,5,U,-58,10.00"
2026-07-05T20:28:27.578+00:00,/dev/cu.usbserial-576B0005451,"RX,82533,R33,TXA,N01,3,5174,D,1,0.24,0.22,5,F,-41,10.75"
2026-07-05T20:28:28.579+00:00,/dev/cu.usbserial-576B0005451,"RX,83533,R33,TXA,N01,4,6174,E,0,0.87,0.84,5,F,-41,10.00"
2026-07-05T20:28:28.844+00:00,/dev/cu.usbserial-576B0005451,"RX,83799,R33,TXB,N16,1,6439,C,1,0.81,0.78,5,U,-58,9.75"
2026-07-05T20:28:29.579+00:00,/dev/cu.usbserial-576B0005451,"RX,84533,R33,TXA,N01,5,7174,F,1,0.28,0.26,5,F,-41,10.00"
2026-07-05T20:28:30.579+00:00,/dev/cu.usbserial-576B0005451,"RX,85533,R33,TXA,N01,6,8174,G,1,0.93,0.90,5,F,-41,10.00"
2026-07-05T20:28:30.844+00:00,/dev/cu.usbserial-576B0005451,"RX,85799,R33,TXB,N16,2,8439,E,0,0.87,0.84,5,U,-58,9.50"
2026-07-05T20:28:31.330+00:00,/dev/cu.usbserial-576B0005451,"RX,86285,R33,TXE,N61,0,8929,A,1,0.75,0.72,5,U,-43,10.00"
2026-07-05T20:28:31.578+00:00,/dev/cu.usbserial-576B0005451,"RX,86533,R33,TXA,N01,7,9174,H,0,0.32,0.30,5,F,-41,9.50"
2026-07-05T20:28:32.078+00:00,/dev/cu.usbserial-576B0005451,"RX,87033,R33,TXF,N76,1,9678,G,1,0.93,0.90,5,U,-51,11.25"
2026-07-05T20:28:32.332+00:00,/dev/cu.usbserial-576B0005451,"RX,87286,R33,TXC,N31,0,9927,E,0,0.87,0.84,5,U,-41,10.00"
2026-07-05T20:28:32.584+00:00,/dev/cu.usbserial-576B0005451,"RX,87539,R33,TXA,N01,8,10174,A,1,0.75,0.72,5,F,-41,9.75"
2026-07-05T20:28:32.850+00:00,/dev/cu.usbserial-576B0005451,"RX,87804,R33,TXB,N16,3,10439,G,1,0.93,0.90,5,U,-59,9.50"
2026-07-05T20:28:33.334+00:00,/dev/cu.usbserial-576B0005451,"RX,88289,R33,TXE,N61,1,10929,C,1,0.81,0.78,5,U,-44,9.25"
2026-07-05T20:28:33.584+00:00,/dev/cu.usbserial-576B0005451,"RX,88539,R33,TXA,N01,9,11174,B,1,0.20,0.18,5,F,-42,10.00"
2026-07-05T20:28:34.337+00:00,/dev/cu.usbserial-576B0005451,"RX,89291,R33,TXC,N31,1,11927,G,1,0.93,0.90,5,U,-43,10.00"
2026-07-05T20:28:34.584+00:00,/dev/cu.usbserial-576B0005451,"RX,89539,R33,TXA,N01,10,12174,C,0,0.81,0.78,5,F,-42,10.00"
2026-07-05T20:28:34.850+00:00,/dev/cu.usbserial-576B0005451,"RX,89804,R33,TXB,N16,4,12439,A,1,0.75,0.72,5,U,-59,9.50"
2026-07-05T20:28:35.334+00:00,/dev/cu.usbserial-576B0005451,"RX,90289,R33,TXE,N61,2,12929,E,0,0.87,0.84,5,U,-43,9.75"
2026-07-05T20:28:35.584+00:00,/dev/cu.usbserial-576B0005451,"RX,90539,R33,TXA,N01,11,13174,D,1,0.24,0.22,5,F,-41,10.00"
2026-07-05T20:28:36.584+00:00,/dev/cu.usbserial-576B0005451,"RX,91539,R33,TXA,N01,12,14174,E,1,0.87,0.84,5,F,-41,10.00"
2026-07-05T20:28:36.850+00:00,/dev/cu.usbserial-576B0005451,"RX,91804,R33,TXB,N16,5,14439,C,0,0.81,0.78,5,U,-59,9.50"
2026-07-05T20:28:37.334+00:00,/dev/cu.usbserial-576B0005451,"RX,92289,R33,TXE,N61,3,14929,G,1,0.93,0.90,5,U,-43,9.25"
2026-07-05T20:28:37.584+00:00,/dev/cu.usbserial-576B0005451,"RX,92539,R33,TXA,N01,13,15174,F,0,0.28,0.26,5,F,-41,10.00"
2026-07-05T20:28:38.086+00:00,/dev/cu.usbserial-576B0005451,"RX,93040,R33,TXD,N46,1,15676,G,1,0.93,0.90,5,U,-48,4.75"
2026-07-05T20:28:38.584+00:00,/dev/cu.usbserial-576B0005451,"RX,93539,R33,TXA,N01,14,16174,G,1,0.93,0.90,5,F,-41,9.75"
2026-07-05T20:28:38.830+00:00,/dev/cu.usbserial-576B0005451,"RX,93785,R33,TXG,N91,0,16425,G,1,0.93,0.90,5,U,-43,7.00"
2026-07-05T20:28:39.335+00:00,/dev/cu.usbserial-576B0005451,"RX,94289,R33,TXE,N61,4,16929,A,1,0.75,0.72,5,U,-44,9.50"
2026-07-05T20:28:39.584+00:00,/dev/cu.usbserial-576B0005451,"RX,94539,R33,TXA,N01,15,17174,H,1,0.32,0.30,5,F,-41,9.75"
2026-07-05T20:28:40.083+00:00,/dev/cu.usbserial-576B0005451,"RX,95038,R33,TXF,N76,3,17678,G,1,0.93,0.90,5,U,-53,9.50"
2026-07-05T20:28:40.337+00:00,/dev/cu.usbserial-576B0005451,"RX,95291,R33,TXC,N31,2,17927,E,1,0.87,0.84,5,U,-42,8.00"
2026-07-05T20:28:40.584+00:00,/dev/cu.usbserial-576B0005451,"RX,95539,R33,TXA,N01,16,18174,A,0,0.75,0.72,5,F,-41,10.00"
2026-07-05T20:28:40.850+00:00,/dev/cu.usbserial-576B0005451,"RX,95804,R33,TXB,N16,7,18439,G,1,0.93,0.90,5,U,-59,9.50"
2026-07-05T20:28:41.335+00:00,/dev/cu.usbserial-576B0005451,"RX,96289,R33,TXE,N61,5,18929,C,0,0.81,0.78,5,U,-43,9.50"
2026-07-05T20:28:41.584+00:00,/dev/cu.usbserial-576B0005451,"RX,96539,R33,TXA,N01,17,19174,B,1,0.20,0.18,5,F,-41,10.50"
2026-07-05T20:28:42.337+00:00,/dev/cu.usbserial-576B0005451,"RX,97291,R33,TXC,N31,3,19927,G,1,0.93,0.90,5,U,-43,9.50"
2026-07-05T20:28:42.584+00:00,/dev/cu.usbserial-576B0005451,"RX,97539,R33,TXA,N01,18,20174,C,1,0.81,0.78,5,F,-41,10.50"
2026-07-05T20:28:42.850+00:00,/dev/cu.usbserial-576B0005451,"RX,97804,R33,TXB,N16,8,20439,A,0,0.75,0.72,5,U,-59,9.00"
2026-07-05T20:28:43.334+00:00,/dev/cu.usbserial-576B0005451,"RX,98289,R33,TXE,N61,6,20929,E,1,0.87,0.84,5,U,-43,9.75"
2026-07-05T20:28:43.584+00:00,/dev/cu.usbserial-576B0005451,"RX,98539,R33,TXA,N01,19,21174,D,0,0.24,0.22,5,F,-41,10.25"
2026-07-05T20:28:44.584+00:00,/dev/cu.usbserial-576B0005451,"RX,99539,R33,TXA,N01,20,22174,E,1,0.87,0.84,5,F,-41,9.75"
2026-07-05T20:28:44.850+00:00,/dev/cu.usbserial-576B0005451,"RX,99804,R33,TXB,N16,9,22439,C,1,0.81,0.78,5,U,-59,9.25"
2026-07-05T20:28:45.335+00:00,/dev/cu.usbserial-576B0005451,"RX,100289,R33,TXE,N61,7,22929,G,1,0.93,0.90,5,U,-43,9.25"
2026-07-05T20:28:45.585+00:00,/dev/cu.usbserial-576B0005451,"RX,100539,R33,TXA,N01,21,23174,F,1,0.28,0.26,5,F,-41,10.00"
2026-07-05T20:28:46.086+00:00,/dev/cu.usbserial-576B0005451,"RX,101040,R33,TXD,N46,2,23676,G,0,0.93,0.90,5,U,-48,4.75"
2026-07-05T20:28:46.584+00:00,/dev/cu.usbserial-576B0005451,"RX,101539,R33,TXA,N01,22,24174,G,0,0.93,0.90,5,F,-41,10.00"
2026-07-05T20:28:46.830+00:00,/dev/cu.usbserial-576B0005451,"RX,101785,R33,TXG,N91,1,24425,G,1,0.93,0.90,5,U,-42,7.00"
2026-07-05T20:28:47.335+00:00,/dev/cu.usbserial-576B0005451,"RX,102289,R33,TXE,N61,8,24929,A,0,0.75,0.72,5,U,-44,9.50"
2026-07-05T20:28:47.585+00:00,/dev/cu.usbserial-576B0005451,"RX,102539,R33,TXA,N01,23,25174,H,1,0.32,0.30,5,F,-41,10.00"
2026-07-05T20:28:48.083+00:00,/dev/cu.usbserial-576B0005451,"RX,103038,R33,TXF,N76,5,25678,G,0,0.93,0.90,5,U,-53,9.75"
2026-07-05T20:28:48.337+00:00,/dev/cu.usbserial-576B0005451,"RX,103291,R33,TXC,N31,4,25927,E,1,0.87,0.84,5,U,-42,8.00"
2026-07-05T20:28:48.585+00:00,/dev/cu.usbserial-576B0005451,"RX,103539,R33,TXA,N01,24,26174,A,1,0.75,0.72,5,F,-41,10.25"
2026-07-05T20:28:48.850+00:00,/dev/cu.usbserial-576B0005451,"RX,103804,R33,TXB,N16,11,26439,G,0,0.93,0.90,5,U,-58,9.50"
2026-07-05T20:28:49.334+00:00,/dev/cu.usbserial-576B0005451,"RX,104289,R33,TXE,N61,9,26929,C,1,0.81,0.78,5,U,-44,9.75"
2026-07-05T20:28:49.584+00:00,/dev/cu.usbserial-576B0005451,"RX,104539,R33,TXA,N01,25,27174,B,0,0.20,0.18,5,F,-42,10.00"
2026-07-05T20:28:50.337+00:00,/dev/cu.usbserial-576B0005451,"RX,105291,R33,TXC,N31,5,27927,G,0,0.93,0.90,5,U,-40,9.50"
2026-07-05T20:28:50.584+00:00,/dev/cu.usbserial-576B0005451,"RX,105539,R33,TXA,N01,26,28174,C,1,0.81,0.78,5,F,-41,10.00"
2026-07-05T20:28:50.850+00:00,/dev/cu.usbserial-576B0005451,"RX,105805,R33,TXB,N16,12,28439,A,1,0.75,0.72,5,U,-59,9.50"
2026-07-05T20:28:51.335+00:00,/dev/cu.usbserial-576B0005451,"RX,106289,R33,TXE,N61,10,28929,E,1,0.87,0.84,5,U,-43,12.25"
2026-07-05T20:28:51.584+00:00,/dev/cu.usbserial-576B0005451,"RX,106539,R33,TXA,N01,27,29174,D,1,0.24,0.22,5,F,-40,9.75"
2026-07-05T20:28:52.584+00:00,/dev/cu.usbserial-576B0005451,"RX,107539,R33,TXA,N01,28,30174,E,0,0.87,0.84,5,F,-41,10.00"
2026-07-05T20:28:52.850+00:00,/dev/cu.usbserial-576B0005451,"RX,107804,R33,TXB,N16,13,30439,C,1,0.81,0.78,5,U,-59,9.50"
2026-07-05T20:28:53.335+00:00,/dev/cu.usbserial-576B0005451,"RX,108289,R33,TXE,N61,11,30929,G,0,0.93,0.90,5,U,-48,10.00"
2026-07-05T20:28:53.585+00:00,/dev/cu.usbserial-576B0005451,"RX,108539,R33,TXA,N01,29,31174,F,1,0.28,0.26,5,F,-41,10.00"
2026-07-05T20:28:54.086+00:00,/dev/cu.usbserial-576B0005451,"RX,109040,R33,TXD,N46,3,31676,G,1,0.93,0.90,5,U,-48,5.00"
2026-07-05T20:28:54.584+00:00,/dev/cu.usbserial-576B0005451,"RX,109539,R33,TXA,N01,30,32174,G,1,0.93,0.90,5,F,-42,10.25"
2026-07-05T20:28:54.830+00:00,/dev/cu.usbserial-576B0005451,"RX,109785,R33,TXG,N91,2,32425,G,0,0.93,0.90,5,U,-43,7.00"
2026-07-05T20:28:55.335+00:00,/dev/cu.usbserial-576B0005451,"RX,110289,R33,TXE,N61,12,32929,A,1,0.75,0.72,5,U,-45,9.75"
2026-07-05T20:28:55.585+00:00,/dev/cu.usbserial-576B0005451,"RX,110539,R33,TXA,N01,31,33174,H,0,0.32,0.30,5,F,-41,10.25"
2026-07-05T20:28:56.083+00:00,/dev/cu.usbserial-576B0005451,"RX,111038,R33,TXF,N76,7,33678,G,1,0.93,0.90,5,U,-53,9.25"
