wall_time_utc,serial_port,raw_line
2026-07-05T21:47:26.222+00:00,/dev/cu.usbserial-576B0005451,"RX,4821219,R33,TXH,N106,0,17892,G,1,0.93,0.90,5,U,-47,12.50"
2026-07-05T21:47:34.222+00:00,/dev/cu.usbserial-576B0005451,"RX,4829219,R33,TXH,N106,1,25892,G,1,0.93,0.90,5,U,-46,9.75"
2026-07-05T21:47:42.222+00:00,/dev/cu.usbserial-576B0005451,"RX,4837219,R33,TXH,N106,2,33892,G,0,0.93,0.90,5,U,-46,10.00"
2026-07-05T21:47:50.222+00:00,/dev/cu.usbserial-576B0005451,"RX,4845219,R33,TXH,N106,3,41892,G,1,0.93,0.90,5,U,-46,10.25"
2026-07-05T21:48:30.222+00:00,/dev/cu.usbserial-576B0005451,"RX,4885219,R33,TXH,N106,4,81892,G,1,0.93,0.90,5,U,-46,10.00"
2026-07-05T21:48:38.222+00:00,/dev/cu.usbserial-576B0005451,"RX,4893219,R33,TXH,N106,5,89892,G,1,0.93,0.90,5,U,-47,10.00"
2026-07-05T21:48:46.222+00:00,/dev/cu.usbserial-576B0005451,"RX,4901219,R33,TXH,N106,6,97892,G,0,0.93,0.90,5,U,-45,10.25"
2026-07-05T21:48:54.222+00:00,/dev/cu.usbserial-576B0005451,"RX,4909219,R33,TXH,N106,7,105892,G,1,0.93,0.90,5,U,-44,10.00"
2026-07-05T21:49:34.222+00:00,/dev/cu.usbserial-576B0005451,"RX,4949219,R33,TXH,N106,8,145892,G,1,0.93,0.90,5,U,-45,9.50"
2026-07-05T21:49:42.222+00:00,/dev/cu.usbserial-576B0005451,"RX,4957219,R33,TXH,N106,9,153892,G,1,0.93,0.90,5,U,-46,9.75"
2026-07-05T21:49:58.222+00:00,/dev/cu.usbserial-576B0005451,"RX,4973219,R33,TXH,N106,11,169892,G,1,0.93,0.90,5,U,-44,9.50"
