wall_time_utc,serial_port,raw_line
2026-07-09T13:16:48.437+00:00,/dev/cu.usbserial-58870137921,"RX,294543,R35,TXK,N151,0,1763,A,1,0.75,0.72,5,U,-46,9.25"
2026-07-09T13:16:49.291+00:00,/dev/cu.usbserial-58870137921,"RX,295396,R35,TXA,N01,0,2627,A,1,0.75,0.72,5,F,-37,9.75"
2026-07-09T13:16:50.290+00:00,/dev/cu.usbserial-58870137921,"RX,296396,R35,TXA,N01,1,3627,B,0,0.20,0.18,5,F,-37,9.50"
2026-07-09T13:16:50.436+00:00,/dev/cu.usbserial-58870137921,"RX,296541,R35,TXK,N151,1,3763,C,1,0.81,0.78,5,U,-46,9.50"
2026-07-09T13:16:51.290+00:00,/dev/cu.usbserial-58870137921,"RX,297396,R35,TXA,N01,2,4627,C,1,0.81,0.78,5,F,-37,9.75"
2026-07-09T13:16:51.558+00:00,/dev/cu.usbserial-58870137921,"RX,297663,R35,TXB,N16,0,4893,A,1,0.75,0.72,5,U,-56,10.00"
2026-07-09T13:16:52.290+00:00,/dev/cu.usbserial-58870137921,"RX,298396,R35,TXA,N01,3,5627,D,1,0.24,0.22,5,F,-35,10.25"
2026-07-09T13:16:52.436+00:00,/dev/cu.usbserial-58870137921,"RX,298541,R35,TXK,N151,2,5763,E,0,0.87,0.84,5,U,-46,9.50"
2026-07-09T13:16:53.290+00:00,/dev/cu.usbserial-58870137921,"RX,299396,R35,TXA,N01,4,6627,E,0,0.87,0.84,5,F,-36,10.25"
2026-07-09T13:16:53.557+00:00,/dev/cu.usbserial-58870137921,"RX,299663,R35,TXB,N16,1,6893,C,1,0.81,0.78,5,U,-58,10.50"
2026-07-09T13:16:54.290+00:00,/dev/cu.usbserial-58870137921,"RX,300396,R35,TXA,N01,5,7627,F,1,0.28,0.26,5,F,-36,10.25"
2026-07-09T13:16:54.407+00:00,/dev/cu.usbserial-58870137921,"RX,300512,R35,TXH,N106,0,7743,G,1,0.93,0.90,5,U,-32,1.50"
2026-07-09T13:16:54.590+00:00,/dev/cu.usbserial-58870137921,"RX,300695,R35,TXL,N166,0,7917,G,1,0.93,0.90,5,U,-42,9.75"
2026-07-09T13:16:54.790+00:00,/dev/cu.usbserial-58870137921,"RX,300896,R35,TXF,N76,0,8131,E,0,0.87,0.84,5,U,-42,10.00"
2026-07-09T13:16:55.095+00:00,/dev/cu.usbserial-58870137921,"RX,301201,R35,TXD,N46,0,8432,G,1,0.93,0.90,5,U,-43,10.00"
2026-07-09T13:16:55.290+00:00,/dev/cu.usbserial-58870137921,"RX,301396,R35,TXA,N01,6,8627,G,1,0.93,0.90,5,F,-38,10.00"
2026-07-09T13:16:55.557+00:00,/dev/cu.usbserial-58870137921,"RX,301663,R35,TXB,N16,2,8893,E,0,0.87,0.84,5,U,-54,10.50"
2026-07-09T13:16:56.041+00:00,/dev/cu.usbserial-58870137921,"RX,302147,R35,TXE,N61,0,9382,A,1,0.75,0.72,5,U,-33,10.25"
2026-07-09T13:16:56.290+00:00,/dev/cu.usbserial-58870137921,"RX,302396,R35,TXA,N01,7,9627,H,0,0.32,0.30,5,F,-39,10.00"
2026-07-09T13:16:56.436+00:00,/dev/cu.usbserial-58870137921,"RX,302541,R35,TXK,N151,4,9763,A,1,0.75,0.72,5,U,-47,9.50"
2026-07-09T13:16:56.795+00:00,/dev/cu.usbserial-58870137921,"RX,302901,R35,TXF,N76,1,10131,G,1,0.93,0.90,5,U,-44,9.50"
2026-07-09T13:16:57.053+00:00,/dev/cu.usbserial-58870137921,"RX,303158,R35,TXC,N31,0,10384,E,0,0.87,0.84,5,U,-42,9.50"
2026-07-09T13:16:57.296+00:00,/dev/cu.usbserial-58870137921,"RX,303401,R35,TXA,N01,8,10627,A,1,0.75,0.72,5,F,-36,10.00"
2026-07-09T13:16:57.513+00:00,/dev/cu.usbserial-58870137921,"RX,303668,R35,TXB,N16,3,10893,G,1,0.93,0.90,5,U,-55,9.50"
2026-07-09T13:16:57.995+00:00,/dev/cu.usbserial-58870137921,"RX,304152,R35,TXE,N61,1,11382,C,1,0.81,0.78,5,U,-33,9.75"
2026-07-09T13:16:58.103+00:00,/dev/cu.usbserial-58870137921,"RX,304260,R35,TXI,N121,0,11481,E,0,0.87,0.84,5,U,-48,9.50"
2026-07-09T13:16:58.244+00:00,/dev/cu.usbserial-58870137921,"RX,304401,R35,TXA,N01,9,11627,B,1,0.20,0.18,5,F,-36,9.50"
2026-07-09T13:16:58.385+00:00,/dev/cu.usbserial-58870137921,"RX,304542,R35,TXK,N151,5,11763,C,0,0.81,0.78,5,U,-51,10.00"
2026-07-09T13:16:59.001+00:00,/dev/cu.usbserial-58870137921,"RX,305158,R35,TXC,N31,1,12384,G,1,0.93,0.90,5,U,-40,9.75"
2026-07-09T13:16:59.244+00:00,/dev/cu.usbserial-58870137921,"RX,305401,R35,TXA,N01,10,12627,C,0,0.81,0.78,5,F,-36,10.00"
2026-07-09T13:16:59.511+00:00,/dev/cu.usbserial-58870137921,"RX,305668,R35,TXB,N16,4,12893,A,1,0.75,0.72,5,U,-59,9.25"
2026-07-09T13:16:59.995+00:00,/dev/cu.usbserial-58870137921,"RX,306152,R35,TXE,N61,2,13382,E,0,0.87,0.84,5,U,-34,9.50"
2026-07-09T13:17:00.103+00:00,/dev/cu.usbserial-58870137921,"RX,306260,R35,TXI,N121,1,13481,G,1,0.93,0.90,5,U,-48,9.75"
2026-07-09T13:17:00.244+00:00,/dev/cu.usbserial-58870137921,"RX,306401,R35,TXA,N01,11,13627,D,1,0.24,0.22,5,F,-37,10.25"
2026-07-09T13:17:00.385+00:00,/dev/cu.usbserial-58870137921,"RX,306542,R35,TXK,N151,6,13763,E,1,0.87,0.84,5,U,-60,12.25"
2026-07-09T13:17:01.244+00:00,/dev/cu.usbserial-58870137921,"RX,307401,R35,TXA,N01,12,14627,E,1,0.87,0.84,5,F,-38,9.25"
2026-07-09T13:17:01.511+00:00,/dev/cu.usbserial-58870137921,"RX,307668,R35,TXB,N16,5,14893,C,0,0.81,0.78,5,U,-54,9.50"
2026-07-09T13:17:01.995+00:00,/dev/cu.usbserial-58870137921,"RX,308152,R35,TXE,N61,3,15382,G,1,0.93,0.90,5,U,-34,9.75"
2026-07-09T13:17:02.244+00:00,/dev/cu.usbserial-58870137921,"RX,308401,R35,TXA,N01,13,15627,F,0,0.28,0.26,5,F,-37,9.75"
2026-07-09T13:17:02.355+00:00,/dev/cu.usbserial-58870137921,"RX,308512,R35,TXH,N106,1,15743,G,1,0.93,0.90,5,U,-34,8.00"
2026-07-09T13:17:02.538+00:00,/dev/cu.usbserial-58870137921,"RX,308695,R35,TXL,N166,1,15917,G,1,0.93,0.90,5,U,-42,9.75"
2026-07-09T13:17:02.744+00:00,/dev/cu.usbserial-58870137921,"RX,308901,R35,TXF,N76,2,16131,E,1,0.87,0.84,5,U,-43,9.25"
2026-07-09T13:17:03.049+00:00,/dev/cu.usbserial-58870137921,"RX,309206,R35,TXD,N46,1,16432,G,1,0.93,0.90,5,U,-46,9.25"
2026-07-09T13:17:03.244+00:00,/dev/cu.usbserial-58870137921,"RX,309401,R35,TXA,N01,14,16627,G,1,0.93,0.90,5,F,-37,10.00"
2026-07-09T13:17:03.511+00:00,/dev/cu.usbserial-58870137921,"RX,309668,R35,TXB,N16,6,16893,E,1,0.87,0.84,5,U,-54,9.50"
2026-07-09T13:17:03.693+00:00,/dev/cu.usbserial-58870137921,"RX,309850,R35,TXG,N91,0,17080,G,1,0.93,0.90,5,U,-45,9.50"
2026-07-09T13:17:03.995+00:00,/dev/cu.usbserial-58870137921,"RX,310152,R35,TXE,N61,4,17382,A,1,0.75,0.72,5,U,-34,10.00"
2026-07-09T13:17:04.244+00:00,/dev/cu.usbserial-58870137921,"RX,310401,R35,TXA,N01,15,17627,H,1,0.32,0.30,5,F,-37,10.00"
2026-07-09T13:17:04.384+00:00,/dev/cu.usbserial-58870137921,"RX,310541,R35,TXK,N151,8,17763,A,0,0.75,0.72,5,U,-53,9.50"
2026-07-09T13:17:04.743+00:00,/dev/cu.usbserial-58870137921,"RX,310901,R35,TXF,N76,3,18131,G,1,0.93,0.90,5,U,-42,9.25"
2026-07-09T13:17:04.903+00:00,/dev/cu.usbserial-58870137921,"RX,311060,R35,TXJ,N136,0,18281,G,1,0.93,0.90,5,U,-46,10.50"
2026-07-09T13:17:05.002+00:00,/dev/cu.usbserial-58870137921,"RX,311158,R35,TXC,N31,2,18384,E,1,0.87,0.84,5,U,-38,9.50"
2026-07-09T13:17:05.244+00:00,/dev/cu.usbserial-58870137921,"RX,311401,R35,TXA,N01,16,18627,A,0,0.75,0.72,5,F,-37,10.50"
2026-07-09T13:17:05.511+00:00,/dev/cu.usbserial-58870137921,"RX,311668,R35,TXB,N16,7,18893,G,1,0.93,0.90,5,U,-55,9.25"
2026-07-09T13:17:05.995+00:00,/dev/cu.usbserial-58870137921,"RX,312152,R35,TXE,N61,5,19382,C,0,0.81,0.78,5,U,-34,9.75"
2026-07-09T13:17:06.103+00:00,/dev/cu.usbserial-58870137921,"RX,312260,R35,TXI,N121,2,19481,E,1,0.87,0.84,5,U,-55,10.00"
2026-07-09T13:17:06.244+00:00,/dev/cu.usbserial-58870137921,"RX,312401,R35,TXA,N01,17,19627,B,1,0.20,0.18,5,F,-37,10.25"
2026-07-09T13:17:06.385+00:00,/dev/cu.usbserial-58870137921,"RX,312541,R35,TXK,N151,9,19763,C,1,0.81,0.78,5,U,-53,9.50"
2026-07-09T13:17:07.001+00:00,/dev/cu.usbserial-58870137921,"RX,313158,R35,TXC,N31,3,20384,G,1,0.93,0.90,5,U,-37,10.00"
2026-07-09T13:17:07.244+00:00,/dev/cu.usbserial-58870137921,"RX,313401,R35,TXA,N01,18,20627,C,1,0.81,0.78,5,F,-36,9.50"
2026-07-09T13:17:07.511+00:00,/dev/cu.usbserial-58870137921,"RX,313668,R35,TXB,N16,8,20893,A,0,0.75,0.72,5,U,-55,9.75"
2026-07-09T13:17:07.995+00:00,/dev/cu.usbserial-58870137921,"RX,314152,R35,TXE,N61,6,21382,E,1,0.87,0.84,5,U,-34,9.25"
2026-07-09T13:17:08.103+00:00,/dev/cu.usbserial-58870137921,"RX,314260,R35,TXI,N121,3,21481,G,1,0.93,0.90,5,U,-55,9.50"
2026-07-09T13:17:08.244+00:00,/dev/cu.usbserial-58870137921,"RX,314401,R35,TXA,N01,19,21627,D,0,0.24,0.22,5,F,-34,10.00"
2026-07-09T13:17:08.385+00:00,/dev/cu.usbserial-58870137921,"RX,314542,R35,TXK,N151,10,21763,E,1,0.87,0.84,5,U,-51,9.50"
2026-07-09T13:17:09.244+00:00,/dev/cu.usbserial-58870137921,"RX,315401,R35,TXA,N01,20,22627,E,1,0.87,0.84,5,F,-37,10.25"
2026-07-09T13:17:09.511+00:00,/dev/cu.usbserial-58870137921,"RX,315668,R35,TXB,N16,9,22893,C,1,0.81,0.78,5,U,-55,9.50"
2026-07-09T13:17:09.995+00:00,/dev/cu.usbserial-58870137921,"RX,316152,R35,TXE,N61,7,23382,G,1,0.93,0.90,5,U,-34,9.50"
2026-07-09T13:17:10.244+00:00,/dev/cu.usbserial-58870137921,"RX,316401,R35,TXA,N01,21,23627,F,1,0.28,0.26,5,F,-37,9.75"
2026-07-09T13:17:10.355+00:00,/dev/cu.usbserial-58870137921,"RX,316512,R35,TXH,N106,2,23743,G,0,0.93,0.90,5,U,-34,8.50"
2026-07-09T13:17:10.538+00:00,/dev/cu.usbserial-58870137921,"RX,316695,R35,TXL,N166,2,23917,G,0,0.93,0.90,5,U,-42,9.75"
2026-07-09T13:17:10.743+00:00,/dev/cu.usbserial-58870137921,"RX,316901,R35,TXF,N76,4,24131,E,1,0.87,0.84,5,U,-43,9.75"
2026-07-09T13:17:11.049+00:00,/dev/cu.usbserial-58870137921,"RX,317206,R35,TXD,N46,2,24432,G,0,0.93,0.90,5,U,-45,9.50"
2026-07-09T13:17:11.244+00:00,/dev/cu.usbserial-58870137921,"RX,317401,R35,TXA,N01,22,24627,G,0,0.93,0.90,5,F,-36,10.25"
2026-07-09T13:17:11.511+00:00,/dev/cu.usbserial-58870137921,"RX,317668,R35,TXB,N16,10,24893,E,1,0.87,0.84,5,U,-54,10.25"
2026-07-09T13:17:11.693+00:00,/dev/cu.usbserial-58870137921,"RX,317850,R35,TXG,N91,1,25080,G,1,0.93,0.90,5,U,-46,9.50"
2026-07-09T13:17:11.995+00:00,/dev/cu.usbserial-58870137921,"RX,318152,R35,TXE,N61,8,25382,A,0,0.75,0.72,5,U,-34,9.50"
2026-07-09T13:17:12.244+00:00,/dev/cu.usbserial-58870137921,"RX,318401,R35,TXA,N01,23,25627,H,1,0.32,0.30,5,F,-37,9.75"
2026-07-09T13:17:12.385+00:00,/dev/cu.usbserial-58870137921,"RX,318542,R35,TXK,N151,12,25763,A,1,0.75,0.72,5,U,-53,10.25"
2026-07-09T13:17:12.743+00:00,/dev/cu.usbserial-58870137921,"RX,318900,R35,TXF,N76,5,26131,G,0,0.93,0.90,5,U,-43,9.50"
2026-07-09T13:17:12.903+00:00,/dev/cu.usbserial-58870137921,"RX,319059,R35,TXJ,N136,1,26281,G,1,0.93,0.90,5,U,-47,10.25"
2026-07-09T13:17:13.002+00:00,/dev/cu.usbserial-58870137921,"RX,319158,R35,TXC,N31,4,26384,E,1,0.87,0.84,5,U,-38,9.75"
2026-07-09T13:17:13.244+00:00,/dev/cu.usbserial-58870137921,"RX,319401,R35,TXA,N01,24,26627,A,1,0.75,0.72,5,F,-37,9.75"
2026-07-09T13:17:13.511+00:00,/dev/cu.usbserial-58870137921,"RX,319668,R35,TXB,N16,11,26893,G,0,0.93,0.90,5,U,-55,9.75"
2026-07-09T13:17:13.995+00:00,/dev/cu.usbserial-58870137921,"RX,320152,R35,TXE,N61,9,27382,C,1,0.81,0.78,5,U,-34,9.75"
2026-07-09T13:17:14.103+00:00,/dev/cu.usbserial-58870137921,"RX,320260,R35,TXI,N121,4,27481,E,1,0.87,0.84,5,U,-55,9.75"
2026-07-09T13:17:14.244+00:00,/dev/cu.usbserial-58870137921,"RX,320401,R35,TXA,N01,25,27627,B,0,0.20,0.18,5,F,-37,10.25"
2026-07-09T13:17:14.385+00:00,/dev/cu.usbserial-58870137921,"RX,320542,R35,TXK,N151,13,27763,C,1,0.81,0.78,5,U,-52,10.00"
2026-07-09T13:17:15.001+00:00,/dev/cu.usbserial-58870137921,"RX,321158,R35,TXC,N31,5,28384,G,0,0.93,0.90,5,U,-39,9.50"
2026-07-09T13:17:15.244+00:00,/dev/cu.usbserial-58870137921,"RX,321401,R35,TXA,N01,26,28627,C,1,0.81,0.78,5,F,-37,10.50"
2026-07-09T13:17:15.511+00:00,/dev/cu.usbserial-58870137921,"RX,321668,R35,TXB,N16,12,28893,A,1,0.75,0.72,5,U,-56,9.50"
2026-07-09T13:17:15.995+00:00,/dev/cu.usbserial-58870137921,"RX,322152,R35,TXE,N61,10,29382,E,1,0.87,0.84,5,U,-33,9.75"
2026-07-09T13:17:16.103+00:00,/dev/cu.usbserial-58870137921,"RX,322259,R35,TXI,N121,5,29481,G,0,0.93,0.90,5,U,-56,10.00"
2026-07-09T13:17:16.244+00:00,/dev/cu.usbserial-58870137921,"RX,322401,R35,TXA,N01,27,29627,D,1,0.24,0.22,5,F,-37,9.75"
2026-07-09T13:17:16.385+00:00,/dev/cu.usbserial-58870137921,"RX,322541,R35,TXK,N151,14,29763,E,0,0.87,0.84,5,U,-52,10.00"
2026-07-09T13:17:17.244+00:00,/dev/cu.usbserial-58870137921,"RX,323401,R35,TXA,N01,28,30627,E,0,0.87,0.84,5,F,-36,9.25"
2026-07-09T13:17:17.511+00:00,/dev/cu.usbserial-58870137921,"RX,323668,R35,TXB,N16,13,30893,C,1,0.81,0.78,5,U,-56,10.00"
2026-07-09T13:17:17.995+00:00,/dev/cu.usbserial-58870137921,"RX,324152,R35,TXE,N61,11,31382,G,0,0.93,0.90,5,U,-34,10.25"
2026-07-09T13:17:18.244+00:00,/dev/cu.usbserial-58870137921,"RX,324401,R35,TXA,N01,29,31627,F,1,0.28,0.26,5,F,-36,9.75"
2026-07-09T13:17:18.355+00:00,/dev/cu.usbserial-58870137921,"RX,324512,R35,TXH,N106,3,31743,G,1,0.93,0.90,5,U,-34,7.75"
2026-07-09T13:17:18.538+00:00,/dev/cu.usbserial-58870137921,"RX,324695,R35,TXL,N166,3,31917,G,1,0.93,0.90,5,U,-43,9.25"
2026-07-09T13:17:18.743+00:00,/dev/cu.usbserial-58870137921,"RX,324900,R35,TXF,N76,6,32131,E,0,0.87,0.84,5,U,-43,9.25"
