wall_time_utc,serial_port,raw_line
2026-07-13T13:41:50.561+00:00,/dev/cu.usbserial-58870137921,"RX,1281728,R35,TXK,N151,0,1764,A,1,0.75,0.72,5,U,-110,-5.25"
2026-07-13T13:41:51.415+00:00,/dev/cu.usbserial-58870137921,"RX,1282583,R35,TXA,N01,0,2627,A,1,0.75,0.72,5,F,-110,-5.50"
2026-07-13T13:41:52.415+00:00,/dev/cu.usbserial-58870137921,"RX,1283582,R35,TXA,N01,1,3627,B,0,0.20,0.18,5,F,-109,-5.50"
2026-07-13T13:41:52.561+00:00,/dev/cu.usbserial-58870137921,"RX,1283728,R35,TXK,N151,1,3764,C,1,0.81,0.78,5,U,-110,-5.25"
2026-07-13T13:41:53.415+00:00,/dev/cu.usbserial-58870137921,"RX,1284582,R35,TXA,N01,2,4627,C,1,0.81,0.78,5,F,-109,-5.00"
2026-07-13T13:41:54.415+00:00,/dev/cu.usbserial-58870137921,"RX,1285582,R35,TXA,N01,3,5627,D,1,0.24,0.22,5,F,-109,-5.00"
2026-07-13T13:41:54.560+00:00,/dev/cu.usbserial-58870137921,"RX,1285728,R35,TXK,N151,2,5764,E,0,0.87,0.84,5,U,-110,-5.00"
2026-07-13T13:41:55.415+00:00,/dev/cu.usbserial-58870137921,"RX,1286582,R35,TXA,N01,4,6627,E,0,0.87,0.84,5,F,-109,-3.75"
2026-07-13T13:41:56.415+00:00,/dev/cu.usbserial-58870137921,"RX,1287582,R35,TXA,N01,5,7627,F,1,0.28,0.26,5,F,-110,-6.00"
2026-07-13T13:41:56.713+00:00,/dev/cu.usbserial-58870137921,"RX,1287881,R35,TXL,N166,0,7917,G,1,0.93,0.90,5,U,-109,-4.00"
2026-07-13T13:41:57.219+00:00,/dev/cu.usbserial-58870137921,"RX,1288386,R35,TXD,N46,0,8431,G,1,0.93,0.90,5,U,-108,-3.00"
2026-07-13T13:41:57.415+00:00,/dev/cu.usbserial-58870137921,"RX,1288582,R35,TXA,N01,6,8627,G,1,0.93,0.90,5,F,-109,-3.75"
2026-07-13T13:41:58.167+00:00,/dev/cu.usbserial-58870137921,"RX,1289334,R35,TXE,N61,0,9383,A,1,0.75,0.72,5,U,-110,-8.25"
2026-07-13T13:41:58.415+00:00,/dev/cu.usbserial-58870137921,"RX,1289582,R35,TXA,N01,7,9627,H,0,0.32,0.30,5,F,-109,-4.75"
2026-07-13T13:41:58.560+00:00,/dev/cu.usbserial-58870137921,"RX,1289728,R35,TXK,N151,4,9764,A,1,0.75,0.72,5,U,-109,-5.75"
2026-07-13T13:41:59.178+00:00,/dev/cu.usbserial-58870137921,"RX,1290345,R35,TXC,N31,0,10385,E,0,0.87,0.84,5,U,-105,2.75"
2026-07-13T13:41:59.422+00:00,/dev/cu.usbserial-58870137921,"RX,1290587,R35,TXA,N01,8,10627,A,1,0.75,0.72,5,F,-109,-2.50"
2026-07-13T13:42:00.172+00:00,/dev/cu.usbserial-58870137921,"RX,1291339,R35,TXE,N61,1,11383,C,1,0.81,0.78,5,U,-109,-7.75"
