tx_id,node_id,role,policy,policy_code,threshold_family,schedule_csv,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,expected_rows_manifest,expected_send_rows_manifest,expected_skip_rows_manifest,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,delivered_priority_total,delivered_priority_mean_per_received_packet,mean_receiver_interarrival_ms,received_packets_per_scheduled_send_row,received_packets_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row
TXA,N01,fixed-all anchor,fixed_all,F,,traces/run034_reporting_txa_fixed_all_schedule.csv,64,64,0,1.0,64,64,0,33.6,0.525,usefulness,445,0,451,"[174, 225, 248, 269, 293, 309, 330]",7,233.73999999999998,0.5252584269662921,244.87000000000003,0.5502696629213484,1015.7815315315315,6.953125,6.953125,3.6521874999999997,3.6521874999999997
TXB,N16,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run034_reporting_txb_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,217,0,224,"[73, 79, 82, 105, 120, 122, 206, 210]",8,175.62,0.8093087557603686,182.13000000000002,0.8393087557603688,2074.1064814814813,6.78125,3.390625,5.488125,2.7440625
TXC,N31,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run034_reporting_txc_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,112,0,111,[],0,97.44000000000001,0.8700000000000001,100.79999999999998,0.8999999999999998,3981.963963963964,7.0,1.75,6.090000000000001,1.5225000000000002
TXD,N46,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run034_reporting_txd_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,54,0,55,"[36, 43]",2,48.599999999999994,0.8999999999999999,50.22,0.9299999999999999,8301.981132075472,6.75,0.84375,6.074999999999999,0.7593749999999999
TXE,N61,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run034_reporting_txe_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,222,0,222,[151],1,179.64000000000004,0.8091891891891894,186.3,0.8391891891891893,2009.076923076923,6.9375,3.46875,5.613750000000001,2.8068750000000007
TXF,N76,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run034_reporting_txf_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,109,1,111,"[2, 4]",2,94.92000000000004,0.8708256880733949,98.19,0.9008256880733945,4074.074074074074,6.8125,1.703125,5.932500000000003,1.4831250000000007
TXG,N91,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run034_reporting_txg_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,54,0,54,[47],1,48.599999999999994,0.8999999999999999,50.22,0.9299999999999999,8150.962264150943,6.75,0.84375,6.074999999999999,0.7593749999999999
TXH,N106,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run034_reporting_txh_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,28,0,27,[],0,25.199999999999996,0.8999999999999998,26.04,0.9299999999999999,15111.148148148148,7.0,0.4375,6.299999999999999,0.39374999999999993
TXI,N121,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run034_reporting_txi_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,112,0,111,[],0,97.44000000000001,0.8700000000000001,100.79999999999998,0.8999999999999998,3982.027027027027,7.0,1.75,6.090000000000001,1.5225000000000002
TXJ,N136,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run034_reporting_txj_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,53,0,54,"[3, 48]",2,47.699999999999996,0.8999999999999999,49.29,0.9299999999999999,8307.711538461539,6.625,0.828125,5.9624999999999995,0.7453124999999999
