tx_id,node_id,role,policy,policy_code,threshold_family,schedule_csv,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,expected_rows_manifest,expected_send_rows_manifest,expected_skip_rows_manifest,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,delivered_priority_total,delivered_priority_mean_per_received_packet,mean_receiver_interarrival_ms,received_packets_per_scheduled_send_row,received_packets_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row
TXA,N01,fixed-all anchor,fixed_all,F,,traces/run035_reporting_txa_fixed_all_schedule.csv,64,64,0,1.0,64,64,0,33.6,0.525,usefulness,448,0,452,"[142, 248, 257, 272, 352]",5,234.7,0.5238839285714285,245.89000000000001,0.5488616071428571,1011.1991051454139,7.0,7.0,3.6671875,3.6671875
TXB,N16,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txb_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,226,0,225,[],0,182.94,0.8094690265486726,189.72,0.8394690265486726,2000.0266666666666,7.0625,3.53125,5.716875,2.8584375
TXC,N31,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txc_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,111,0,111,[42],1,96.60000000000004,0.8702702702702706,99.93000000000002,0.9002702702702705,4018.163636363636,6.9375,1.734375,6.037500000000002,1.5093750000000006
TXD,N46,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txd_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,56,0,55,[],0,50.400000000000006,0.9000000000000001,52.08,0.9299999999999999,8000.090909090909,7.0,0.875,6.300000000000001,0.7875000000000001
TXE,N61,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txe_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,220,0,223,"[101, 103, 106, 197]",4,178.14000000000001,0.8097272727272727,184.74,0.8397272727272728,2036.552511415525,6.875,3.4375,5.5668750000000005,2.7834375000000002
TXF,N76,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txf_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,111,0,111,[43],1,96.54000000000005,0.8697297297297302,99.87000000000003,0.89972972972973,4018.2181818181816,6.9375,1.734375,6.033750000000003,1.5084375000000008
TXG,N91,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txg_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,55,0,54,[],0,49.49999999999999,0.8999999999999999,51.15,0.9299999999999999,8000.0,6.875,0.859375,6.187499999999999,0.7734374999999999
TXH,N106,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txh_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,17,0,27,"[2, 3, 7, 8, 9, 10, 11, 12, 16, 17, 18]",11,15.3,0.9,15.81,0.93,25500.0625,4.25,0.265625,3.825,0.2390625
TXI,N121,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txi_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,110,0,111,"[15, 53]",2,95.64000000000004,0.8694545454545458,98.94000000000003,0.8994545454545457,4055.0825688073396,6.875,1.71875,5.977500000000003,1.4943750000000007
TXJ,N136,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txj_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,54,0,54,[50],1,48.599999999999994,0.8999999999999999,50.22,0.9299999999999999,8150.962264150943,6.75,0.84375,6.074999999999999,0.7593749999999999
TXK,N151,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txk_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,199,0,226,"[3, 7, 11, 15, 35, 39, 43, 47, 67, 71, 75, 79, 99, 103, 107, 111, 131, 135, 139, 143, 163, 167, 171, 175, 195, 199, 203, 207]",28,158.58,0.7968844221105529,164.55,0.8268844221105528,2282.8535353535353,6.21875,3.109375,4.955625,2.4778125
TXL,N166,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txl_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,28,0,27,[],0,25.199999999999996,0.8999999999999998,26.04,0.9299999999999999,15111.111111111111,7.0,0.4375,6.299999999999999,0.39374999999999993
