tx_a,node_a,tx_b,node_b,min_delta_ms,seq_a_at_min_delta,seq_b_at_min_delta,event_time_ms_a,event_time_ms_b
TXA,N01,TXD,N46,200,6,6,61000,60800
TXA,N01,TXJ,N136,350,7,6,71000,70650
TXD,N46,TXH,N106,700,6,6,60800,60100
TXB,N16,TXF,N76,750,4,4,43250,42500
TXA,N01,TXH,N106,900,6,6,61000,60100
TXC,N31,TXI,N121,1100,4,4,44750,45850
TXG,N91,TXJ,N136,1200,6,6,69450,70650
TXA,N01,TXF,N76,1500,4,4,41000,42500
TXB,N16,TXC,N31,1500,4,4,43250,44750
TXA,N01,TXG,N91,1550,7,6,71000,69450
TXD,N46,TXF,N76,1700,6,6,60800,62500
TXE,N61,TXG,N91,1700,6,6,67750,69450
TXE,N61,TXI,N121,1900,4,4,47750,45850
TXA,N01,TXL,N166,1950,7,6,71000,72950
TXK,N151,TXL,N166,2000,6,6,74950,72950
TXA,N01,TXB,N16,2250,0,0,1000,3250
TXC,N31,TXF,N76,2250,4,4,44750,42500
TXJ,N136,TXL,N166,2300,6,6,70650,72950
TXF,N76,TXH,N106,2400,6,6,62500,60100
TXB,N16,TXD,N46,2450,6,6,63250,60800
TXB,N16,TXI,N121,2600,4,4,43250,45850
TXE,N61,TXJ,N136,2900,6,6,67750,70650
TXC,N31,TXE,N61,3000,4,4,44750,47750
TXB,N16,TXH,N106,3150,6,6,63250,60100
TXA,N01,TXE,N61,3250,1,0,11000,7750
TXF,N76,TXI,N121,3350,4,4,42500,45850
TXG,N91,TXL,N166,3500,6,6,69450,72950
TXG,N91,TXI,N121,3600,6,6,69450,65850
TXA,N01,TXC,N31,3750,4,4,41000,44750
TXA,N01,TXK,N151,3950,1,0,11000,14950
TXC,N31,TXD,N46,3950,6,6,64750,60800
TXJ,N136,TXK,N151,4300,6,6,70650,74950
TXB,N16,TXE,N61,4500,0,0,3250,7750
TXC,N31,TXH,N106,4650,6,6,64750,60100
TXC,N31,TXG,N91,4700,6,6,64750,69450
TXI,N121,TXJ,N136,4800,6,6,65850,70650
TXA,N01,TXI,N121,4850,4,4,41000,45850
TXD,N46,TXI,N121,5050,6,6,60800,65850
TXH,N106,TXK,N151,5150,6,4,60100,54950
TXE,N61,TXL,N166,5200,6,6,67750,72950
TXE,N61,TXF,N76,5250,4,4,47750,42500
TXG,N91,TXK,N151,5500,6,6,69450,74950
TXH,N106,TXI,N121,5750,6,6,60100,65850
TXD,N46,TXK,N151,5850,6,4,60800,54950
TXC,N31,TXJ,N136,5900,6,6,64750,70650
TXB,N16,TXG,N91,6200,6,6,63250,69450
TXD,N46,TXE,N61,6950,6,6,60800,67750
TXF,N76,TXG,N91,6950,6,6,62500,69450
TXI,N121,TXL,N166,7100,6,6,65850,72950
TXE,N61,TXK,N151,7200,0,0,7750,14950
TXB,N16,TXJ,N136,7400,6,6,63250,70650
TXF,N76,TXK,N151,7550,4,2,42500,34950
TXE,N61,TXH,N106,7650,6,6,67750,60100
TXF,N76,TXJ,N136,8150,6,6,62500,70650
TXC,N31,TXL,N166,8200,6,6,64750,72950
TXB,N16,TXK,N151,8300,2,0,23250,14950
TXD,N46,TXG,N91,8650,6,6,60800,69450
TXI,N121,TXK,N151,9100,4,4,45850,54950
TXG,N91,TXH,N106,9350,6,6,69450,60100
TXB,N16,TXL,N166,9700,6,6,63250,72950
TXC,N31,TXK,N151,9800,4,2,44750,34950
TXD,N46,TXJ,N136,9850,6,6,60800,70650
TXF,N76,TXL,N166,10450,6,6,62500,72950
TXH,N106,TXJ,N136,10550,6,6,60100,70650
TXD,N46,TXL,N166,12150,6,6,60800,72950
TXH,N106,TXL,N166,12850,6,6,60100,72950
