tx_id,node_id,role,policy,policy_code,threshold_family,schedule_csv,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,expected_rows_manifest,expected_send_rows_manifest,expected_skip_rows_manifest,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,delivered_priority_total,delivered_priority_mean_per_received_packet,mean_receiver_interarrival_ms,received_packets_per_scheduled_send_row,received_packets_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row
TXA,N01,fixed-all anchor,fixed_all,F,,traces/run035_reporting_txa_fixed_all_schedule.csv,64,64,0,1.0,64,64,0,33.6,0.525,usefulness,441,0,440,[],0,231.72000000000003,0.5254421768707483,242.75,0.550453514739229,1000.0136363636364,6.890625,6.890625,3.6206250000000004,3.6206250000000004
TXB,N16,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txb_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,220,0,219,[],0,178.20000000000002,0.81,184.8,0.8400000000000001,2000.027397260274,6.875,3.4375,5.5687500000000005,2.7843750000000003
TXC,N31,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txc_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,108,0,108,[81],1,93.90000000000003,0.8694444444444448,97.14000000000001,0.8994444444444446,4037.3644859813085,6.75,1.6875,5.868750000000002,1.4671875000000005
TXD,N46,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txd_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,55,0,54,[],0,49.49999999999999,0.8999999999999999,51.15,0.9299999999999999,8000.074074074074,6.875,0.859375,6.187499999999999,0.7734374999999999
TXE,N61,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txe_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,216,0,216,[115],1,174.78,0.8091666666666667,181.26,0.8391666666666666,2009.3255813953488,6.75,3.375,5.461875,2.7309375
TXF,N76,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txf_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,110,0,109,[],0,95.70000000000005,0.8700000000000004,99.00000000000001,0.9000000000000001,3981.697247706422,6.875,1.71875,5.981250000000003,1.4953125000000007
TXG,N91,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txg_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,54,0,53,[],0,48.599999999999994,0.8999999999999999,50.22,0.9299999999999999,8000.0,6.75,0.84375,6.074999999999999,0.7593749999999999
TXH,N106,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txh_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,27,1,27,[],0,24.299999999999997,0.8999999999999999,25.11,0.9299999999999999,15384.615384615385,6.75,0.421875,6.074999999999999,0.37968749999999996
TXI,N121,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txi_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,107,0,107,[91],1,93.06000000000003,0.8697196261682246,96.27000000000001,0.8997196261682244,4018.9056603773583,6.6875,1.671875,5.816250000000002,1.4540625000000005
TXJ,N136,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txj_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,54,0,53,[],0,48.599999999999994,0.8999999999999999,50.22,0.9299999999999999,8000.0,6.75,0.84375,6.074999999999999,0.7593749999999999
TXK,N151,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txk_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,192,0,220,"[3, 7, 11, 15, 35, 39, 43, 47, 67, 71, 75, 79, 99, 103, 107, 111, 131, 135, 136, 139, 143, 163, 167, 171, 175, 195, 199, 203, 207]",29,153.0,0.796875,158.76,0.8268749999999999,2303.6858638743456,6.0,3.0,4.78125,2.390625
TXL,N166,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txl_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,28,0,27,[],0,25.199999999999996,0.8999999999999998,26.04,0.9299999999999999,15111.074074074075,7.0,0.4375,6.299999999999999,0.39374999999999993
