tx_id,node_id,role,policy,policy_code,threshold_family,schedule_csv,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,expected_rows_manifest,expected_send_rows_manifest,expected_skip_rows_manifest,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,delivered_priority_total,delivered_priority_mean_per_received_packet,mean_receiver_interarrival_ms,received_packets_per_scheduled_send_row,received_packets_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row
TXA,N01,fixed-all anchor,fixed_all,F,,traces/run035_reporting_txa_fixed_all_schedule.csv,64,64,0,1.0,64,64,0,33.6,0.525,usefulness,446,0,445,[],0,234.0,0.5246636771300448,245.15000000000003,0.5496636771300449,1000.008988764045,6.96875,6.96875,3.65625,3.65625
TXB,N16,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txb_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,222,0,221,[],0,179.70000000000002,0.8094594594594595,186.36,0.8394594594594595,2000.0180995475114,6.9375,3.46875,5.6156250000000005,2.8078125000000003
TXC,N31,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txc_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,110,0,109,[],0,95.70000000000005,0.8700000000000004,99.00000000000001,0.9000000000000001,3981.6146788990827,6.875,1.71875,5.981250000000003,1.4953125000000007
TXD,N46,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txd_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,55,0,54,[],0,49.49999999999999,0.8999999999999999,51.15,0.9299999999999999,8000.037037037037,6.875,0.859375,6.187499999999999,0.7734374999999999
TXE,N61,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txe_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,219,0,219,[89],1,177.42000000000002,0.81013698630137,183.99,0.8401369863013699,2009.1880733944954,6.84375,3.421875,5.5443750000000005,2.7721875000000002
TXF,N76,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txf_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,110,0,109,[],0,95.70000000000005,0.8700000000000004,99.00000000000001,0.9000000000000001,3981.669724770642,6.875,1.71875,5.981250000000003,1.4953125000000007
TXG,N91,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txg_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,54,0,53,[],0,48.599999999999994,0.8999999999999999,50.22,0.9299999999999999,7999.962264150943,6.75,0.84375,6.074999999999999,0.7593749999999999
TXH,N106,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txh_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,28,0,27,[],0,25.199999999999996,0.8999999999999998,26.04,0.9299999999999999,15111.037037037036,7.0,0.4375,6.299999999999999,0.39374999999999993
TXI,N121,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txi_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,109,0,109,[62],1,94.86000000000003,0.8702752293577984,98.13000000000001,0.9002752293577982,4018.527777777778,6.8125,1.703125,5.928750000000002,1.4821875000000004
TXJ,N136,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txj_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,54,0,53,[],0,48.599999999999994,0.8999999999999999,50.22,0.9299999999999999,7999.943396226415,6.75,0.84375,6.074999999999999,0.7593749999999999
TXK,N151,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txk_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,194,0,223,"[3, 7, 11, 15, 35, 39, 43, 47, 67, 71, 75, 79, 99, 103, 107, 111, 131, 135, 139, 140, 143, 153, 163, 167, 171, 175, 195, 199, 203, 207]",30,154.74,0.7976288659793815,160.56,0.8276288659793815,2310.8860103626944,6.0625,3.03125,4.835625,2.4178125
TXL,N166,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txl_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,28,0,27,[],0,25.199999999999996,0.8999999999999998,26.04,0.9299999999999999,15111.0,7.0,0.4375,6.299999999999999,0.39374999999999993
