tx_id,node_id,role,policy,policy_code,threshold_family,schedule_csv,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,expected_rows_manifest,expected_send_rows_manifest,expected_skip_rows_manifest,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,delivered_priority_total,delivered_priority_mean_per_received_packet,mean_receiver_interarrival_ms,received_packets_per_scheduled_send_row,received_packets_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row
TXA,N01,fixed-all anchor,fixed_all,F,,traces/run035_reporting_txa_fixed_all_schedule.csv,64,64,0,1.0,64,64,0,33.6,0.525,usefulness,428,0,433,"[21, 92, 96, 137, 153, 358]",6,224.62,0.5248130841121496,235.32000000000005,0.5498130841121497,1014.0679156908665,6.6875,6.6875,3.5096875,3.5096875
TXB,N16,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txb_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,214,0,215,"[37, 39]",2,173.28000000000003,0.8097196261682245,179.70000000000005,0.8397196261682245,2018.81220657277,6.6875,3.34375,5.415000000000001,2.7075000000000005
TXC,N31,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txc_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,107,0,106,[],0,93.06000000000003,0.8697196261682246,96.27,0.8997196261682242,3999.990566037736,6.6875,1.671875,5.816250000000002,1.4540625000000005
TXD,N46,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txd_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,53,0,53,[48],1,47.699999999999996,0.8999999999999999,49.29,0.9299999999999999,8153.942307692308,6.625,0.828125,5.9624999999999995,0.7453124999999999
TXE,N61,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txe_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,209,0,213,"[93, 106, 142, 144, 182]",5,169.2,0.8095693779904306,175.47,0.8395693779904306,2048.105769230769,6.53125,3.265625,5.2875,2.64375
TXF,N76,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txf_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,108,0,107,[],0,93.96000000000004,0.8700000000000003,97.2,0.9,3981.355140186916,6.75,1.6875,5.872500000000002,1.4681250000000006
TXG,N91,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txg_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,53,0,52,[],0,47.699999999999996,0.8999999999999999,49.29,0.9299999999999999,8000.0,6.625,0.828125,5.9624999999999995,0.7453124999999999
TXH,N106,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txh_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,27,1,27,[],0,24.299999999999997,0.8999999999999999,25.11,0.9299999999999999,15384.653846153846,6.75,0.421875,6.074999999999999,0.37968749999999996
TXI,N121,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txi_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,106,0,106,[41],1,92.16000000000003,0.8694339622641512,95.34,0.899433962264151,4038.1428571428573,6.625,1.65625,5.760000000000002,1.4400000000000004
TXJ,N136,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txj_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,49,0,52,"[21, 32, 41, 50]",4,44.1,0.9,45.57,0.93,8666.666666666666,6.125,0.765625,5.5125,0.6890625
TXK,N151,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txk_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,190,0,217,"[3, 7, 11, 15, 35, 39, 43, 47, 67, 71, 75, 79, 99, 103, 107, 111, 131, 135, 139, 143, 163, 167, 171, 175, 195, 199, 203, 207]",28,151.26000000000002,0.7961052631578949,156.96,0.8261052631578948,2296.322751322751,5.9375,2.96875,4.726875000000001,2.3634375000000003
TXL,N166,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txl_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,28,0,27,[],0,25.199999999999996,0.8999999999999998,26.04,0.9299999999999999,15111.111111111111,7.0,0.4375,6.299999999999999,0.39374999999999993
