tx_id,node_id,role,policy,policy_code,threshold_family,schedule_csv,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,expected_rows_manifest,expected_send_rows_manifest,expected_skip_rows_manifest,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,delivered_priority_total,delivered_priority_mean_per_received_packet,mean_receiver_interarrival_ms,received_packets_per_scheduled_send_row,received_packets_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row
TXA,N01,fixed-all anchor,fixed_all,F,,traces/run035_reporting_txa_fixed_all_schedule.csv,64,64,0,1.0,64,64,0,33.6,0.525,usefulness,424,0,425,"[177, 301]",2,223.06,0.5260849056603774,233.67000000000002,0.5511084905660377,1004.74231678487,6.625,6.625,3.4853125,3.4853125
TXB,N16,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txb_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,212,0,211,[],0,171.72000000000003,0.8100000000000002,178.08,0.8400000000000001,2000.0284360189573,6.625,3.3125,5.366250000000001,2.6831250000000004
TXC,N31,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txc_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,104,0,104,[6],1,90.48000000000002,0.8700000000000002,93.59999999999998,0.8999999999999998,4038.8155339805826,6.5,1.625,5.655000000000001,1.4137500000000003
TXD,N46,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txd_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,52,0,52,[28],1,46.8,0.8999999999999999,48.36,0.9299999999999999,8156.9607843137255,6.5,0.8125,5.85,0.73125
TXE,N61,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txe_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,209,0,209,[2],1,169.14000000000001,0.8092822966507178,175.41000000000003,0.8392822966507179,2009.639423076923,6.53125,3.265625,5.2856250000000005,2.6428125000000002
TXF,N76,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txf_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,105,0,105,[33],1,91.32000000000002,0.8697142857142859,94.47,0.8997142857142857,4019.278846153846,6.5625,1.640625,5.707500000000001,1.4268750000000003
TXG,N91,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txg_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,51,0,51,[43],1,45.9,0.9,47.43,0.93,8160.02,6.375,0.796875,5.7375,0.7171875
TXH,N106,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txh_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,3,1,6,"[2, 3, 4]",3,2.7,0.9,2.79,0.93,36000.0,0.75,0.046875,0.675,0.0421875
TXI,N121,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txi_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,104,0,104,[46],1,90.48,0.87,93.59999999999998,0.8999999999999998,4038.883495145631,6.5,1.625,5.655,1.41375
TXJ,N136,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txj_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,52,0,51,[],0,46.8,0.8999999999999999,48.36,0.9299999999999999,8000.019607843137,6.5,0.8125,5.85,0.73125
TXK,N151,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txk_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,183,0,213,"[3, 7, 11, 15, 35, 39, 43, 47, 67, 71, 75, 79, 80, 82, 92, 99, 103, 107, 111, 131, 135, 139, 143, 163, 167, 171, 175, 195, 199, 203, 207]",31,145.74,0.7963934426229509,151.23000000000002,0.8263934426229509,2340.6813186813188,5.71875,2.859375,4.554375,2.2771875
TXL,N166,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txl_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,23,0,22,[],0,20.699999999999992,0.8999999999999997,21.39,0.93,15272.681818181818,5.75,0.359375,5.174999999999998,0.3234374999999999
