tx_id,node_id,role,policy,policy_code,threshold_family,schedule_csv,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,expected_rows_manifest,expected_send_rows_manifest,expected_skip_rows_manifest,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,delivered_priority_total,delivered_priority_mean_per_received_packet,mean_receiver_interarrival_ms,received_packets_per_scheduled_send_row,received_packets_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row
TXA,N01,fixed-all anchor,fixed_all,F,,traces/run035_reporting_txa_fixed_all_schedule.csv,64,64,0,1.0,64,64,0,33.6,0.525,usefulness,426,0,425,[],0,223.5,0.5246478873239436,234.15,0.5496478873239437,1000.0070588235294,6.65625,6.65625,3.4921875,3.4921875
TXB,N16,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txb_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,212,0,211,[],0,171.72000000000003,0.8100000000000002,178.08,0.8400000000000001,2000.0142180094788,6.625,3.3125,5.366250000000001,2.6831250000000004
TXC,N31,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txc_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,104,0,104,[36],1,90.48000000000002,0.8700000000000002,93.59999999999998,0.8999999999999998,4038.78640776699,6.5,1.625,5.655000000000001,1.4137500000000003
TXD,N46,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txd_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,53,0,52,[],0,47.699999999999996,0.8999999999999999,49.29,0.9299999999999999,8000.038461538462,6.625,0.828125,5.9624999999999995,0.7453124999999999
TXE,N61,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txe_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,209,0,209,[23],1,169.08,0.8089952153110048,175.35,0.8389952153110047,2009.625,6.53125,3.265625,5.28375,2.641875
TXF,N76,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txf_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,106,0,105,[],0,92.22000000000003,0.8700000000000002,95.39999999999999,0.8999999999999999,3980.9714285714285,6.625,1.65625,5.763750000000002,1.4409375000000004
TXG,N91,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txg_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,52,0,51,[],0,46.8,0.8999999999999999,48.36,0.9299999999999999,7999.9607843137255,6.5,0.8125,5.85,0.73125
TXH,N106,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txh_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,1,0,0,[],0,0.9,0.9,0.93,0.93,,0.25,0.015625,0.225,0.0140625
TXI,N121,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txi_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,105,0,104,[],0,91.32000000000002,0.8697142857142859,94.46999999999998,0.8997142857142856,4000.019230769231,6.5625,1.640625,5.707500000000001,1.4268750000000003
TXJ,N136,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txj_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,52,0,51,[],0,46.8,0.8999999999999999,48.36,0.9299999999999999,7999.9607843137255,6.5,0.8125,5.85,0.73125
TXK,N151,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txk_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,186,0,213,"[3, 7, 11, 15, 35, 39, 43, 47, 67, 71, 75, 79, 99, 103, 107, 111, 131, 135, 139, 143, 163, 167, 171, 175, 195, 199, 203, 207]",28,148.02,0.7958064516129033,153.6,0.8258064516129032,2302.7081081081083,5.8125,2.90625,4.625625,2.3128125
TXL,N166,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txl_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,25,0,27,"[24, 25, 26]",3,22.5,0.9,23.25,0.93,16999.833333333332,6.25,0.390625,5.625,0.3515625
