tx_id,node_id,role,policy,policy_code,threshold_family,schedule_csv,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,expected_rows_manifest,expected_send_rows_manifest,expected_skip_rows_manifest,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,delivered_priority_total,delivered_priority_mean_per_received_packet,mean_receiver_interarrival_ms,received_packets_per_scheduled_send_row,received_packets_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row
TXA,N01,fixed-all anchor,fixed_all,F,,traces/run035_reporting_txa_fixed_all_schedule.csv,64,64,0,1.0,64,64,0,33.6,0.525,usefulness,483,0,482,[],0,253.68,0.5252173913043479,265.76,0.5502277432712215,1000.01244813278,7.546875,7.546875,3.96375,3.96375
TXB,N16,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txb_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,240,0,240,[233],1,194.34000000000003,0.8097500000000001,201.54000000000002,0.8397500000000001,2008.3933054393306,7.5,3.75,6.073125000000001,3.0365625000000005
TXC,N31,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txc_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,120,0,119,[],0,104.4,0.87,107.99999999999997,0.8999999999999998,3983.176470588235,7.5,1.875,6.525,1.63125
TXD,N46,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txd_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,59,0,59,[9],1,53.1,0.9,54.87,0.9299999999999999,8138.017241379311,7.375,0.921875,6.6375,0.8296875
TXE,N61,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txe_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,238,0,237,[],0,192.66000000000003,0.8094957983193278,199.8,0.8394957983193277,2000.0210970464136,7.4375,3.71875,6.020625000000001,3.0103125000000004
TXF,N76,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txf_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,118,0,119,"[6, 117]",2,102.66000000000003,0.8700000000000002,106.20000000000002,0.9000000000000001,4051.324786324786,7.375,1.84375,6.416250000000002,1.6040625000000004
TXG,N91,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txg_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,59,0,58,[],0,53.1,0.9,54.87,0.9299999999999999,8000.0,7.375,0.921875,6.6375,0.8296875
TXH,N106,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txh_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,11,1,21,"[2, 3, 4, 10, 11, 13, 14, 18, 19, 20]",10,9.9,0.9,10.23,0.93,32000.0,2.75,0.171875,2.475,0.1546875
TXI,N121,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txi_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,118,0,118,[112],1,102.66000000000004,0.8700000000000003,106.20000000000002,0.9000000000000001,4034.222222222222,7.375,1.84375,6.4162500000000025,1.6040625000000006
TXJ,N136,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txj_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,59,0,58,[],0,53.1,0.9,54.87,0.9299999999999999,8000.0,7.375,0.921875,6.6375,0.8296875
TXK,N151,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txk_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,208,0,241,"[3, 7, 11, 15, 35, 39, 43, 47, 67, 71, 75, 79, 85, 99, 103, 107, 111, 131, 135, 139, 143, 163, 167, 171, 172, 175, 195, 199, 203, 207, 227, 231, 235, 239]",34,165.6,0.7961538461538461,171.84,0.8261538461538461,2328.5169082125603,6.5,3.25,5.175,2.5875
TXL,N166,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txl_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,31,0,31,[3],1,27.89999999999999,0.8999999999999997,28.83,0.9299999999999999,15733.266666666666,7.75,0.484375,6.974999999999998,0.43593749999999987
