tx_id,node_id,role,policy,policy_code,threshold_family,schedule_csv,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,expected_rows_manifest,expected_send_rows_manifest,expected_skip_rows_manifest,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,delivered_priority_total,delivered_priority_mean_per_received_packet,mean_receiver_interarrival_ms,received_packets_per_scheduled_send_row,received_packets_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row
TXA,N01,fixed-all anchor,fixed_all,F,,traces/run035_reporting_txa_fixed_all_schedule.csv,64,64,0,1.0,64,64,0,33.6,0.525,usefulness,482,0,482,[249],1,253.5,0.5259336099585062,265.56,0.550954356846473,1002.0852390852391,7.53125,7.53125,3.9609375,3.9609375
TXB,N16,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txb_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,240,0,240,[182],1,194.28000000000003,0.8095000000000001,201.48000000000002,0.8395,2008.3807531380753,7.5,3.75,6.071250000000001,3.0356250000000005
TXC,N31,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txc_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,120,0,119,[],0,104.4,0.87,107.99999999999997,0.8999999999999998,3983.1512605042017,7.5,1.875,6.525,1.63125
TXD,N46,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txd_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,60,0,59,[],0,54.0,0.9,55.8,0.9299999999999999,8000.033898305085,7.5,0.9375,6.75,0.84375
TXE,N61,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txe_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,238,0,237,[],0,192.66000000000003,0.8094957983193278,199.8,0.8394957983193277,2000.0084388185653,7.4375,3.71875,6.020625000000001,3.0103125000000004
TXF,N76,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txf_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,118,0,119,"[33, 42]",2,102.66000000000003,0.8700000000000002,106.20000000000002,0.9000000000000001,4051.290598290598,7.375,1.84375,6.416250000000002,1.6040625000000004
TXG,N91,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txg_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,59,0,58,[],0,53.1,0.9,54.87,0.9299999999999999,7999.948275862069,7.375,0.921875,6.6375,0.8296875
TXH,N106,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txh_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,31,0,31,[19],1,27.89999999999999,0.8999999999999997,28.83,0.9299999999999999,15733.266666666666,7.75,0.484375,6.974999999999998,0.43593749999999987
TXI,N121,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txi_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,119,0,118,[],0,103.50000000000004,0.8697478991596642,107.07000000000002,0.899747899159664,4000.008474576271,7.4375,1.859375,6.468750000000003,1.6171875000000007
TXJ,N136,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txj_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,59,0,58,[],0,53.1,0.9,54.87,0.9299999999999999,7999.948275862069,7.375,0.921875,6.6375,0.8296875
TXK,N151,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txk_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,208,0,241,"[3, 7, 11, 15, 35, 39, 43, 47, 67, 71, 75, 79, 90, 99, 103, 107, 109, 111, 131, 135, 139, 143, 163, 167, 171, 175, 195, 199, 203, 207, 227, 231, 235, 239]",34,165.48000000000002,0.7955769230769232,171.72,0.8255769230769231,2328.5072463768115,6.5,3.25,5.171250000000001,2.5856250000000003
TXL,N166,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txl_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,31,0,31,[3],1,27.89999999999999,0.8999999999999997,28.83,0.9299999999999999,15733.2,7.75,0.484375,6.974999999999998,0.43593749999999987
