tx_id,node_id,role,policy,policy_code,threshold_family,schedule_csv,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,expected_rows_manifest,expected_send_rows_manifest,expected_skip_rows_manifest,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,delivered_priority_total,delivered_priority_mean_per_received_packet,mean_receiver_interarrival_ms,received_packets_per_scheduled_send_row,received_packets_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row
TXA,N01,fixed-all anchor,fixed_all,F,,traces/run035_reporting_txa_fixed_all_schedule.csv,64,64,0,1.0,64,64,0,33.6,0.525,usefulness,453,0,457,"[209, 323, 338, 357, 379]",5,238.64,0.5267991169977925,249.98000000000002,0.551832229580574,1011.0730088495575,7.078125,7.078125,3.72875,3.72875
TXB,N16,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txb_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,225,0,227,"[99, 194, 197]",3,182.16,0.8096,188.91000000000003,0.8396000000000001,2026.8125,7.03125,3.515625,5.6925,2.84625
TXC,N31,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txc_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,114,0,113,[],0,99.18000000000002,0.8700000000000002,102.6,0.8999999999999999,3982.283185840708,7.125,1.78125,6.198750000000001,1.5496875000000003
TXD,N46,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txd_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,56,0,56,[42],1,50.400000000000006,0.9000000000000001,52.08,0.9299999999999999,8145.545454545455,7.0,0.875,6.300000000000001,0.7875000000000001
TXE,N61,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txe_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,226,0,225,[],0,182.94,0.8094690265486726,189.72,0.8394690265486726,2000.0266666666666,7.0625,3.53125,5.716875,2.8584375
TXF,N76,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txf_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,114,0,113,[],0,99.18000000000002,0.8700000000000002,102.6,0.8999999999999999,3982.336283185841,7.125,1.78125,6.198750000000001,1.5496875000000003
TXG,N91,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txg_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,56,0,55,[],0,50.400000000000006,0.9000000000000001,52.08,0.9299999999999999,8000.0,7.0,0.875,6.300000000000001,0.7875000000000001
TXH,N106,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txh_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,27,0,28,"[3, 6]",2,24.299999999999997,0.8999999999999999,25.11,0.9299999999999999,17230.80769230769,6.75,0.421875,6.074999999999999,0.37968749999999996
TXI,N121,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txi_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,112,0,111,[],0,97.44000000000001,0.8700000000000001,100.79999999999998,0.8999999999999998,3982.018018018018,7.0,1.75,6.090000000000001,1.5225000000000002
TXJ,N136,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txj_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,56,0,55,[],0,50.400000000000006,0.9000000000000001,52.08,0.9299999999999999,8000.0,7.0,0.875,6.300000000000001,0.7875000000000001
TXK,N151,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txk_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,199,0,229,"[3, 7, 11, 15, 35, 39, 43, 47, 67, 71, 75, 79, 99, 103, 107, 108, 111, 116, 131, 135, 139, 143, 163, 167, 171, 175, 195, 199, 203, 207, 227]",31,158.64000000000001,0.7971859296482413,164.61,0.8271859296482412,2313.151515151515,6.21875,3.109375,4.9575000000000005,2.4787500000000002
TXL,N166,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txl_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,29,0,28,[],0,26.099999999999994,0.8999999999999998,26.97,0.9299999999999999,15999.964285714286,7.25,0.453125,6.524999999999999,0.4078124999999999
