tx_id,node_id,role,policy,policy_code,threshold_family,schedule_csv,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,expected_rows_manifest,expected_send_rows_manifest,expected_skip_rows_manifest,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,delivered_priority_total,delivered_priority_mean_per_received_packet,mean_receiver_interarrival_ms,received_packets_per_scheduled_send_row,received_packets_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row
TXA,N01,fixed-all anchor,fixed_all,F,,traces/run035_reporting_txa_fixed_all_schedule.csv,64,64,0,1.0,64,64,0,33.6,0.525,usefulness,455,0,457,"[333, 373, 404]",3,238.94,0.5251428571428571,250.32,0.5501538461538461,1006.6101321585903,7.109375,7.109375,3.7334375,3.7334375
TXB,N16,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txb_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,226,0,227,"[157, 159]",2,183.0,0.8097345132743363,189.78000000000003,0.8397345132743365,2017.7866666666666,7.0625,3.53125,5.71875,2.859375
TXC,N31,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txc_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,113,0,113,[47],1,98.28,0.8697345132743363,101.66999999999999,0.8997345132743362,4017.7946428571427,7.0625,1.765625,6.1425,1.535625
TXD,N46,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txd_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,57,0,56,[],0,51.300000000000004,0.9,53.01,0.9299999999999999,8000.0,7.125,0.890625,6.4125000000000005,0.8015625000000001
TXE,N61,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txe_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,226,0,225,[],0,182.94,0.8094690265486726,189.72,0.8394690265486726,2000.0044444444445,7.0625,3.53125,5.716875,2.8584375
TXF,N76,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txf_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,114,0,113,[],0,99.18000000000002,0.8700000000000002,102.6,0.8999999999999999,3982.3008849557523,7.125,1.78125,6.198750000000001,1.5496875000000003
TXG,N91,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txg_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,56,0,55,[],0,50.400000000000006,0.9000000000000001,52.08,0.9299999999999999,7999.927272727273,7.0,0.875,6.300000000000001,0.7875000000000001
TXH,N106,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txh_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,10,0,28,"[1, 2, 4, 6, 7, 8, 10, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 26, 27]",19,9.0,0.9,9.3,0.93,49777.333333333336,2.5,0.15625,2.25,0.140625
TXI,N121,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txi_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,113,0,112,[],0,98.28000000000002,0.8697345132743364,101.66999999999999,0.8997345132743362,3999.9910714285716,7.0625,1.765625,6.142500000000001,1.5356250000000002
TXJ,N136,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txj_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,56,0,55,[],0,50.400000000000006,0.9000000000000001,52.08,0.9299999999999999,7999.909090909091,7.0,0.875,6.300000000000001,0.7875000000000001
TXK,N151,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txk_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,199,0,229,"[3, 7, 11, 15, 35, 39, 43, 47, 67, 71, 75, 79, 93, 99, 103, 107, 111, 117, 131, 135, 139, 143, 163, 167, 171, 175, 195, 199, 203, 207, 227]",31,158.52,0.7965829145728643,164.49,0.8265829145728644,2313.126262626263,6.21875,3.109375,4.95375,2.476875
TXL,N166,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txl_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,29,0,28,[],0,26.099999999999994,0.8999999999999998,26.97,0.9299999999999999,15999.82142857143,7.25,0.453125,6.524999999999999,0.4078124999999999
