tx_id,node_id,role,policy,policy_code,threshold_family,schedule_csv,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,expected_rows_manifest,expected_send_rows_manifest,expected_skip_rows_manifest,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,delivered_priority_total,delivered_priority_mean_per_received_packet,mean_receiver_interarrival_ms,received_packets_per_scheduled_send_row,received_packets_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row
TXA,N01,fixed-all anchor,fixed_all,F,,traces/run035_reporting_txa_fixed_all_schedule.csv,64,64,0,1.0,64,64,0,33.6,0.525,usefulness,449,0.0,455.0,"[180, 184, 274, 328, 353, 354, 364]",7,234.54,0.5223608017817372,245.74,0.5473051224944321,1015.6316964285714,7.015625,7.015625,3.6646875,3.6646875
TXB,N16,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txb_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,226,0.0,226.0,[128],1,183.06,0.81,189.84,0.84,2008.9022222222222,7.0625,3.53125,5.720625,2.8603125
TXC,N31,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txc_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,112,0.0,111.0,[],0,97.44000000000001,0.8700000000000001,100.79999999999998,0.8999999999999998,3981.936936936937,7.0,1.75,6.090000000000001,1.5225000000000002
TXD,N46,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txd_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,57,0.0,56.0,[],0,51.300000000000004,0.9,53.01,0.9299999999999999,8000.053571428572,7.125,0.890625,6.4125000000000005,0.8015625000000001
TXE,N61,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txe_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,224,0.0,224.0,[140],1,181.44,0.8099999999999999,188.15999999999997,0.8399999999999999,2008.986547085202,7.0,3.5,5.67,2.835
TXF,N76,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txf_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,113,0.0,112.0,[],0,98.28000000000002,0.8697345132743364,101.66999999999999,0.8997345132743362,4000.0178571428573,7.0625,1.765625,6.142500000000001,1.5356250000000002
TXG,N91,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txg_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,56,0.0,55.0,[],0,50.400000000000006,0.9000000000000001,52.08,0.9299999999999999,7999.963636363636,7.0,0.875,6.300000000000001,0.7875000000000001
TXH,N106,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txh_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,0,,,[],0,,,,,,0.0,0.0,,
TXI,N121,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txi_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,112,0.0,111.0,[],0,97.44000000000001,0.8700000000000001,100.79999999999998,0.8999999999999998,3982.0,7.0,1.75,6.090000000000001,1.5225000000000002
TXJ,N136,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txj_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,55,0.0,54.0,[],0,49.49999999999999,0.8999999999999999,51.15,0.9299999999999999,7999.962962962963,6.875,0.859375,6.187499999999999,0.7734374999999999
TXK,N151,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txk_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,200,0.0,228.0,"[3, 7, 11, 15, 35, 39, 43, 47, 67, 71, 75, 79, 99, 103, 107, 111, 131, 135, 139, 143, 163, 167, 171, 175, 195, 199, 203, 207, 227]",29,159.29999999999998,0.7964999999999999,165.29999999999998,0.8264999999999999,2291.462311557789,6.25,3.125,4.9781249999999995,2.4890624999999997
TXL,N166,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txl_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,20,0.0,19.0,[],0,17.999999999999996,0.8999999999999998,18.6,0.93,14736.684210526315,5.0,0.3125,4.499999999999999,0.28124999999999994
