tx_id,node_id,role,policy,policy_code,threshold_family,schedule_csv,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,expected_rows_manifest,expected_send_rows_manifest,expected_skip_rows_manifest,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,delivered_priority_total,delivered_priority_mean_per_received_packet,mean_receiver_interarrival_ms,received_packets_per_scheduled_send_row,received_packets_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row
TXA,N01,fixed-all anchor,fixed_all,F,,traces/run035_reporting_txa_fixed_all_schedule.csv,64,64,0,1.0,64,64,0,33.6,0.525,usefulness,456,1,474,"[42, 50, 63, 83, 100, 150, 200, 236, 250, 282, 331, 341, 350, 373, 405, 409, 450, 462]",18,238.05999999999997,0.5220614035087718,249.44000000000005,0.5470175438596493,1039.5736263736264,7.125,7.125,3.7196874999999996,3.7196874999999996
TXB,N16,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txb_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,3,7,206,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205]",197,2.46,0.82,2.5500000000000003,0.8500000000000001,199000.5,0.09375,0.046875,0.076875,0.0384375
TXC,N31,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txc_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,109,0,117,"[7, 13, 16, 17, 19, 36, 49, 72, 79]",9,94.74000000000004,0.8691743119266059,98.01000000000002,0.8991743119266057,4314.7962962962965,6.8125,1.703125,5.921250000000002,1.4803125000000006
TXD,N46,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txd_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,57,1,58,[18],1,51.300000000000004,0.9,53.01,0.9299999999999999,8142.857142857143,7.125,0.890625,6.4125000000000005,0.8015625000000001
TXE,N61,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txe_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,226,0,233,"[13, 42, 43, 46, 47, 71, 184, 232]",8,182.82,0.8089380530973451,189.6,0.8389380530973451,2071.133333333333,7.0625,3.53125,5.713125,2.8565625
TXF,N76,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txf_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,85,0,117,"[11, 14, 15, 18, 19, 20, 22, 23, 24, 28, 29, 31, 33, 34, 35, 36, 37, 39, 40, 41, 45, 49, 52, 53, 55, 56, 60, 61, 74, 83, 94, 97, 102]",33,73.86000000000004,0.8689411764705888,76.41000000000003,0.8989411764705886,5547.666666666667,5.3125,1.328125,4.616250000000003,1.1540625000000007
TXG,N91,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txg_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,39,0,56,"[7, 8, 9, 10, 13, 14, 16, 19, 20, 25, 26, 36, 44, 45, 46, 51, 52, 54]",18,35.099999999999994,0.8999999999999998,36.27,0.93,11789.473684210527,4.875,0.609375,4.387499999999999,0.5484374999999999
TXH,N106,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txh_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,31,0,30,[],0,27.89999999999999,0.8999999999999997,28.83,0.9299999999999999,15466.666666666666,7.75,0.484375,6.974999999999998,0.43593749999999987
TXI,N121,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txi_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,110,0,116,"[17, 18, 19, 20, 21, 22, 30]",7,95.70000000000005,0.8700000000000004,99.00000000000001,0.9000000000000001,4256.917431192661,6.875,1.71875,5.981250000000003,1.4953125000000007
TXJ,N136,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txj_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,58,0,57,[],0,52.2,0.9,53.94,0.9299999999999999,8000.0,7.25,0.90625,6.525,0.815625
TXK,N151,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txk_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,200,0,237,"[3, 7, 11, 15, 35, 39, 43, 47, 49, 50, 60, 67, 71, 75, 76, 78, 79, 99, 103, 107, 111, 131, 135, 139, 143, 163, 167, 171, 175, 195, 199, 203, 207, 227, 231, 234, 235, 236]",38,159.3,0.7965000000000001,165.3,0.8265,2381.929648241206,6.25,3.125,4.978125,2.4890625
TXL,N166,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txl_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,29,0,30,"[7, 10]",2,26.099999999999994,0.8999999999999998,26.97,0.9299999999999999,16571.35714285714,7.25,0.453125,6.524999999999999,0.4078124999999999
