tx_id,node_id,role,policy,policy_code,threshold_family,schedule_csv,demand_rows,scheduled_send_rows,scheduled_skip_rows,send_fraction,expected_rows_manifest,expected_send_rows_manifest,expected_skip_rows_manifest,scheduled_send_usefulness_total,scheduled_send_usefulness_mean,usefulness_column,received_valid_packets,observed_sequence_min,observed_sequence_max,observed_missing_transmitted_sequences,observed_missing_transmitted_sequence_count,delivered_usefulness_total,delivered_usefulness_mean_per_received_packet,delivered_priority_total,delivered_priority_mean_per_received_packet,mean_receiver_interarrival_ms,received_packets_per_scheduled_send_row,received_packets_per_scheduled_demand_row,delivered_usefulness_per_scheduled_send_row,delivered_usefulness_per_scheduled_demand_row
TXA,N01,fixed-all anchor,fixed_all,F,,traces/run035_reporting_txa_fixed_all_schedule.csv,64,64,0,1.0,64,64,0,33.6,0.525,usefulness,473,0,474,"[42, 81]",2,248.51999999999998,0.5254122621564482,260.35,0.5504228329809726,1004.2372881355932,7.390625,7.390625,3.8831249999999997,3.8831249999999997
TXB,N16,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txb_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,223,0,236,"[23, 45, 64, 81, 86, 106, 136, 150, 181, 198, 200, 208, 209, 211]",14,180.72000000000003,0.8104035874439464,187.41000000000003,0.8404035874439463,2126.126126126126,6.96875,3.484375,5.647500000000001,2.8237500000000004
TXC,N31,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txc_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,117,0,117,[79],1,101.76000000000005,0.8697435897435901,105.27000000000001,0.8997435897435898,4017.1724137931033,7.3125,1.828125,6.360000000000003,1.5900000000000007
TXD,N46,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txd_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,59,0,58,[],0,53.1,0.9,54.87,0.9299999999999999,7999.9655172413795,7.375,0.921875,6.6375,0.8296875
TXE,N61,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txe_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,232,0,233,"[221, 232]",2,187.92000000000002,0.81,194.88,0.84,2017.3116883116884,7.25,3.625,5.8725000000000005,2.9362500000000002
TXF,N76,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txf_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,118,0,117,[],0,102.66000000000004,0.8700000000000003,106.20000000000002,0.9000000000000001,3982.897435897436,7.375,1.84375,6.4162500000000025,1.6040625000000006
TXG,N91,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txg_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,58,0,57,[],0,52.2,0.9,53.94,0.9299999999999999,7999.912280701755,7.25,0.90625,6.525,0.815625
TXH,N106,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txh_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,31,0,30,[],0,27.89999999999999,0.8999999999999997,28.83,0.9299999999999999,15466.466666666667,7.75,0.484375,6.974999999999998,0.43593749999999987
TXI,N121,strict threshold scheduled skipping,usefulness_threshold,U,strict,traces/run035_reporting_txi_strict_threshold_schedule.csv,64,16,48,0.25,64,16,48,13.92,0.87,usefulness,117,0,116,[],0,101.76000000000003,0.86974358974359,105.27000000000001,0.8997435897435898,3999.9827586206898,7.3125,1.828125,6.360000000000002,1.5900000000000005
TXJ,N136,very-strict threshold scheduled skipping,usefulness_threshold,U,very_strict,traces/run035_reporting_txj_very_strict_threshold_schedule.csv,64,8,56,0.125,64,8,56,7.2,0.9,usefulness,58,0,57,[],0,52.2,0.9,53.94,0.9299999999999999,7999.894736842105,7.25,0.90625,6.525,0.815625
TXK,N151,medium threshold scheduled skipping,usefulness_threshold,U,medium,traces/run035_reporting_txk_medium_threshold_schedule.csv,64,32,32,0.5,64,32,32,25.92,0.81,usefulness,206,0,237,"[3, 7, 11, 15, 35, 39, 43, 47, 67, 71, 75, 79, 99, 103, 107, 111, 115, 131, 135, 139, 143, 163, 167, 171, 175, 195, 199, 203, 207, 227, 231, 235]",32,163.86,0.7954368932038836,170.04000000000002,0.8254368932038836,2312.1853658536584,6.4375,3.21875,5.120625,2.5603125
TXL,N166,ultra-strict threshold scheduled skipping,usefulness_threshold,U,ultra_strict,traces/run035_reporting_txl_ultra_strict_threshold_schedule.csv,64,4,60,0.0625,64,4,60,3.6,0.9,usefulness,31,0,30,[],0,27.89999999999999,0.8999999999999997,28.83,0.9299999999999999,15466.433333333332,7.75,0.484375,6.974999999999998,0.43593749999999987
