seq,region,event,priority,usefulness,stale_after,policy
0,A,0,0.250,0.200,30,F
1,A,0,0.250,0.200,30,F
2,A,0,0.250,0.200,30,F
3,A,0,0.250,0.200,30,F
4,A,0,0.250,0.200,30,F
5,A,0,0.250,0.200,30,F
6,A,0,0.250,0.200,30,F
7,A,0,0.250,0.200,30,F
8,A,0,0.250,0.200,30,F
9,A,0,0.250,0.200,30,F
10,A,0,0.250,0.200,30,F
11,A,0,0.250,0.200,30,F
12,A,0,0.250,0.200,30,F
13,A,0,0.250,0.200,30,F
14,A,0,0.250,0.200,30,F
15,A,0,0.250,0.200,30,F
16,A,0,0.250,0.200,30,F
17,A,0,0.250,0.200,30,F
18,A,0,0.250,0.200,30,F
19,A,0,0.250,0.200,30,F
20,A,0,0.250,0.200,30,F
21,A,0,0.250,0.200,30,F
22,A,0,0.250,0.200,30,F
23,A,0,0.250,0.200,30,F
24,A,0,0.250,0.200,30,F
25,A,0,0.250,0.200,30,F
26,A,0,0.250,0.200,30,F
27,A,0,0.250,0.200,30,F
28,A,0,0.250,0.200,30,F
29,A,0,0.250,0.200,30,F
30,A,0,0.250,0.200,30,F
31,A,0,0.250,0.200,30,F
32,A,0,0.250,0.200,30,F
33,A,0,0.250,0.200,30,F
34,A,0,0.250,0.200,30,F
35,A,0,0.250,0.200,30,F
36,A,0,0.250,0.200,30,F
37,A,0,0.250,0.200,30,F
38,A,0,0.250,0.200,30,F
39,A,0,0.250,0.200,30,F
40,A,0,0.250,0.200,30,F
41,A,0,0.250,0.200,30,F
42,A,0,0.250,0.200,30,F
43,A,0,0.250,0.200,30,F
44,A,0,0.250,0.200,30,F
45,A,0,0.250,0.200,30,F
46,A,0,0.250,0.200,30,F
47,A,0,0.250,0.200,30,F
48,A,0,0.250,0.200,30,F
49,A,0,0.250,0.200,30,F
50,A,0,0.900,0.850,30,F
51,A,0,0.900,0.850,30,F
52,A,0,0.900,0.850,30,F
53,A,0,0.900,0.850,30,F
54,A,0,0.900,0.850,30,F
55,A,0,0.900,0.850,30,F
56,A,0,0.900,0.850,30,F
57,A,0,0.900,0.850,30,F
58,A,0,0.900,0.850,30,F
59,A,0,0.900,0.850,30,F
60,A,0,0.900,0.850,30,F
61,A,0,0.900,0.850,30,F
62,A,0,0.900,0.850,30,F
63,A,0,0.900,0.850,30,F
64,A,0,0.900,0.850,30,F
65,A,0,0.900,0.850,30,F
66,A,0,0.900,0.850,30,F
67,A,0,0.900,0.850,30,F
68,A,0,0.900,0.850,30,F
69,A,0,0.900,0.850,30,F
70,A,0,0.900,0.850,30,F
71,A,0,0.900,0.850,30,F
72,A,0,0.900,0.850,30,F
73,A,0,0.900,0.850,30,F
74,A,0,0.900,0.850,30,F
75,A,0,0.900,0.850,30,F
76,A,0,0.900,0.850,30,F
77,A,0,0.900,0.850,30,F
78,A,0,0.900,0.850,30,F
79,A,0,0.900,0.850,30,F
80,A,0,0.900,0.850,30,F
81,A,0,0.900,0.850,30,F
82,A,0,0.900,0.850,30,F
83,A,0,0.900,0.850,30,F
84,A,0,0.900,0.850,30,F
85,A,0,0.900,0.850,30,F
86,A,0,0.900,0.850,30,F
87,A,0,0.900,0.850,30,F
88,A,0,0.900,0.850,30,F
89,A,0,0.900,0.850,30,F
90,A,0,0.900,0.850,30,F
91,A,0,0.900,0.850,30,F
92,A,0,0.900,0.850,30,F
93,A,0,0.900,0.850,30,F
94,A,0,0.900,0.850,30,F
95,A,0,0.900,0.850,30,F
96,A,0,0.900,0.850,30,F
97,A,0,0.900,0.850,30,F
98,A,0,0.900,0.850,30,F
99,A,0,0.900,0.850,30,F
100,A,0,0.250,0.300,30,F
101,A,0,0.250,0.300,30,F
102,A,0,0.250,0.300,30,F
103,A,0,0.250,0.300,30,F
104,A,0,0.250,0.300,30,F
105,A,0,0.250,0.300,30,F
106,A,0,0.250,0.300,30,F
107,A,0,0.250,0.300,30,F
108,A,0,0.250,0.300,30,F
109,A,0,0.250,0.300,30,F
110,A,0,0.250,0.300,30,F
111,A,0,0.250,0.300,30,F
112,A,0,0.250,0.300,30,F
113,A,0,0.250,0.300,30,F
114,A,0,0.250,0.300,30,F
115,A,0,0.250,0.300,30,F
116,A,0,0.250,0.300,30,F
117,A,0,0.250,0.300,30,F
118,A,0,0.250,0.300,30,F
119,A,0,0.250,0.300,30,F
120,A,0,0.250,0.300,30,F
