seq,region,event,priority,usefulness,stale_after,policy,send
0,A,1,0.750,0.720,5,F,1
1,B,0,0.200,0.180,5,F,1
2,C,1,0.810,0.780,5,F,1
3,D,1,0.240,0.220,5,F,1
4,E,0,0.870,0.840,5,F,1
5,F,1,0.280,0.260,5,F,1
6,G,1,0.930,0.900,5,F,1
7,H,0,0.320,0.300,5,F,1
8,A,1,0.750,0.720,5,F,1
9,B,1,0.200,0.180,5,F,1
10,C,0,0.810,0.780,5,F,1
11,D,1,0.240,0.220,5,F,1
12,E,1,0.870,0.840,5,F,1
13,F,0,0.280,0.260,5,F,1
14,G,1,0.930,0.900,5,F,1
15,H,1,0.320,0.300,5,F,1
16,A,0,0.750,0.720,5,F,1
17,B,1,0.200,0.180,5,F,1
18,C,1,0.810,0.780,5,F,1
19,D,0,0.240,0.220,5,F,1
20,E,1,0.870,0.840,5,F,1
21,F,1,0.280,0.260,5,F,1
22,G,0,0.930,0.900,5,F,1
23,H,1,0.320,0.300,5,F,1
24,A,1,0.750,0.720,5,F,1
25,B,0,0.200,0.180,5,F,1
26,C,1,0.810,0.780,5,F,1
27,D,1,0.240,0.220,5,F,1
28,E,0,0.870,0.840,5,F,1
29,F,1,0.280,0.260,5,F,1
30,G,1,0.930,0.900,5,F,1
31,H,0,0.320,0.300,5,F,1
32,A,1,0.750,0.720,5,F,1
33,B,1,0.200,0.180,5,F,1
34,C,0,0.810,0.780,5,F,1
35,D,1,0.240,0.220,5,F,1
36,E,1,0.870,0.840,5,F,1
37,F,0,0.280,0.260,5,F,1
38,G,1,0.930,0.900,5,F,1
39,H,1,0.320,0.300,5,F,1
40,A,0,0.750,0.720,5,F,1
41,B,1,0.200,0.180,5,F,1
42,C,1,0.810,0.780,5,F,1
43,D,0,0.240,0.220,5,F,1
44,E,1,0.870,0.840,5,F,1
45,F,1,0.280,0.260,5,F,1
46,G,0,0.930,0.900,5,F,1
47,H,1,0.320,0.300,5,F,1
48,A,1,0.750,0.720,5,F,1
49,B,0,0.200,0.180,5,F,1
50,C,1,0.810,0.780,5,F,1
51,D,1,0.240,0.220,5,F,1
52,E,0,0.870,0.840,5,F,1
53,F,1,0.280,0.260,5,F,1
54,G,1,0.930,0.900,5,F,1
55,H,0,0.320,0.300,5,F,1
56,A,1,0.750,0.720,5,F,1
57,B,1,0.200,0.180,5,F,1
58,C,0,0.810,0.780,5,F,1
59,D,1,0.240,0.220,5,F,1
60,E,1,0.870,0.840,5,F,1
61,F,0,0.280,0.260,5,F,1
62,G,1,0.930,0.900,5,F,1
63,H,1,0.320,0.300,5,F,1
