seq,region,event,priority,usefulness,stale_after,policy
0,A,0,0.25,0.275,30,B
1,A,0,0.25,0.275,30,B
2,A,0,0.25,0.275,30,B
3,A,0,0.25,0.275,30,B
4,A,0,0.25,0.275,30,B
5,A,0,0.25,0.275,30,B
6,A,0,0.25,0.275,30,B
7,A,0,0.25,0.275,30,B
8,A,0,0.25,0.275,30,B
9,A,0,0.25,0.275,30,B
10,A,0,0.25,0.275,30,B
11,A,0,0.25,0.275,30,B
12,A,0,0.25,0.275,30,B
13,A,0,0.25,0.275,30,B
14,A,0,0.25,0.275,30,B
15,A,0,0.25,0.275,30,B
16,A,0,0.25,0.275,30,B
17,A,0,0.25,0.275,30,B
18,A,0,0.25,0.275,30,B
19,A,0,0.25,0.275,30,B
20,A,0,0.25,0.275,30,B
21,A,0,0.25,0.275,30,B
22,A,0,0.25,0.275,30,B
23,A,0,0.25,0.275,30,B
24,A,0,0.25,0.275,30,B
25,A,0,0.25,0.275,30,B
26,A,0,0.25,0.275,30,B
27,A,0,0.25,0.275,30,B
28,A,0,0.25,0.275,30,B
29,A,0,0.25,0.275,30,B
30,A,0,0.25,0.275,30,B
31,A,0,0.25,0.275,30,B
32,A,0,0.25,0.275,30,B
33,A,0,0.25,0.275,30,B
34,A,0,0.25,0.275,30,B
35,A,0,0.25,0.275,30,B
36,A,0,0.25,0.275,30,B
37,A,0,0.25,0.275,30,B
38,A,0,0.25,0.275,30,B
39,A,0,0.25,0.275,30,B
40,A,0,0.25,0.275,30,B
41,A,0,0.25,0.275,30,B
42,A,0,0.25,0.275,30,B
43,A,0,0.25,0.275,30,B
44,A,0,0.25,0.275,30,B
45,A,0,0.25,0.275,30,B
46,A,0,0.25,0.275,30,B
47,A,0,0.25,0.275,30,B
48,A,0,0.25,0.275,30,B
49,A,0,0.25,0.275,30,B
50,A,0,0.25,0.275,30,B
51,A,0,0.25,0.275,30,B
52,A,0,0.25,0.275,30,B
53,A,0,0.25,0.275,30,B
54,A,0,0.25,0.275,30,B
55,A,0,0.25,0.275,30,B
56,A,0,0.25,0.275,30,B
57,A,0,0.25,0.275,30,B
58,A,0,0.25,0.275,30,B
59,A,0,0.25,0.275,30,B
60,A,0,0.25,0.275,30,B
61,A,0,0.25,0.275,30,B
62,A,0,0.25,0.275,30,B
63,A,0,0.25,0.275,30,B
64,A,0,0.25,0.275,30,B
65,A,0,0.25,0.275,30,B
66,A,0,0.25,0.275,30,B
67,A,0,0.25,0.275,30,B
68,A,0,0.25,0.275,30,B
69,A,0,0.25,0.275,30,B
70,A,0,0.25,0.275,30,B
71,A,0,0.25,0.275,30,B
72,A,0,0.25,0.275,30,B
73,A,0,0.25,0.275,30,B
74,A,0,0.25,0.275,30,B
75,A,0,0.25,0.275,30,B
76,A,0,0.25,0.275,30,B
77,A,0,0.25,0.275,30,B
78,A,0,0.25,0.275,30,B
79,A,0,0.25,0.275,30,B
80,A,0,0.25,0.275,30,B
81,A,0,0.25,0.275,30,B
82,A,0,0.25,0.275,30,B
